CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
25291,3R PETROLEUM ÓLEO E GÁS S.A.,2019,2019-12-31,2020-08-31,96710,current_ibov
22357,ALLOS S.A.,2015,2015-12-31,2016-03-03,53830,current_ibov
22357,ALLOS S.A.,2016,2016-12-31,2017-03-06,62921,current_ibov
22357,ALLOS S.A.,2017,2017-12-31,2018-03-13,72215,current_ibov
22357,ALLOS S.A.,2018,2018-12-31,2019-04-08,82088,current_ibov
22357,ALLOS S.A.,2019,2019-12-31,2020-03-11,91493,current_ibov
22357,ALLOS S.A.,2020,2020-12-31,2021-03-10,100818,current_ibov
22357,ALLOS S.A.,2021,2021-12-31,2022-03-29,113219,current_ibov
22357,ALLOS S.A.,2022,2022-12-31,2023-03-30,124844,current_ibov
22357,ALLOS S.A.,2023,2023-12-31,2024-03-20,134911,current_ibov
22357,ALLOS S.A.,2024,2024-12-31,2025-03-17,145461,current_ibov
10456,ALPARGATAS S.A.,2015,2015-12-31,2016-03-04,53857,historical_ibov
10456,ALPARGATAS S.A.,2016,2016-12-31,2017-03-22,63433,historical_ibov
10456,ALPARGATAS S.A.,2017,2017-12-31,2018-02-09,71482,historical_ibov
10456,ALPARGATAS S.A.,2018,2018-12-31,2019-02-15,80705,historical_ibov
10456,ALPARGATAS S.A.,2019,2019-12-31,2020-02-07,90836,historical_ibov
10456,ALPARGATAS S.A.,2020,2020-12-31,2021-02-12,100169,historical_ibov
10456,ALPARGATAS S.A.,2021,2021-12-31,2022-02-23,111978,historical_ibov
10456,ALPARGATAS S.A.,2022,2022-12-31,2023-03-02,123822,historical_ibov
10456,ALPARGATAS S.A.,2023,2023-12-31,2024-02-28,134314,historical_ibov
10456,ALPARGATAS S.A.,2024,2024-12-31,2025-03-11,145308,historical_ibov
23264,AMBEV S.A.,2015,2015-12-31,2016-02-25,53611,current_ibov
23264,AMBEV S.A.,2016,2016-12-31,2018-07-05,76263,current_ibov
23264,AMBEV S.A.,2017,2017-12-31,2018-07-05,76265,current_ibov
23264,AMBEV S.A.,2018,2018-12-31,2019-02-28,80947,current_ibov
23264,AMBEV S.A.,2019,2019-12-31,2020-02-27,91199,current_ibov
23264,AMBEV S.A.,2020,2020-12-31,2021-02-25,100436,current_ibov
23264,AMBEV S.A.,2021,2021-12-31,2022-02-24,112011,current_ibov
23264,AMBEV S.A.,2022,2022-12-31,2023-03-02,123818,current_ibov
23264,AMBEV S.A.,2023,2023-12-31,2024-02-29,134335,current_ibov
23264,AMBEV S.A.,2024,2024-12-31,2025-02-26,145022,current_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2015,2015-12-31,2016-03-15,54096,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2016,2016-12-31,2017-02-20,62640,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2017,2017-12-31,2018-03-07,72061,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2018,2018-12-31,2019-03-20,81382,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2019,2019-12-31,2020-02-21,91171,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2020,2020-12-31,2021-03-04,100690,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2021,2021-12-31,2022-02-24,112049,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2022,2022-12-31,2023-11-16,132682,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2023,2023-12-31,2024-08-14,141202,historical_ibov
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2024,2024-12-31,2025-03-26,145807,historical_ibov
24171,ATACADÃO S.A.,2016,2016-12-31,2017-07-20,67242,historical_ibov
24171,ATACADÃO S.A.,2017,2017-12-31,2018-02-27,71848,historical_ibov
24171,ATACADÃO S.A.,2018,2018-12-31,2019-02-26,80891,historical_ibov
24171,ATACADÃO S.A.,2019,2019-12-31,2020-02-20,91144,historical_ibov
24171,ATACADÃO S.A.,2020,2020-12-31,2021-02-17,100225,historical_ibov
24171,ATACADÃO S.A.,2021,2021-12-31,2022-02-16,111823,historical_ibov
