CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA
010456,2015,53857,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121804120000000000000000.pdf.pdf', 'size_bytes': 472351}]",ALPARGATAS S.A.
010456,2016,63433,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00132304120000000000000000.pdf.pdf', 'size_bytes': 439097}]",ALPARGATAS S.A.
010456,2017,71482,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121304120000000000000000.pdf.pdf', 'size_bytes': 462944}]",ALPARGATAS S.A.
010456,2018,80705,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121616530000000000000000.pdf.pdf', 'size_bytes': 1482281}]",ALPARGATAS S.A.
010456,2019,90836,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121904120000000000000000.pdf.pdf', 'size_bytes': 640436}]",ALPARGATAS S.A.
010456,2020,100169,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122116530000000000000000.pdf.pdf', 'size_bytes': 3507493}]",ALPARGATAS S.A.
010456,2021,111978,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2021\\notas_explicativas.pdf', 'original_filename': 'ER_4T21_PORT_contabilidade.pdf', 'size_bytes': 3550736}]",ALPARGATAS S.A.
010456,2022,123822,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2022\\notas_explicativas.pdf', 'original_filename': 'ER_4T22_PORT_sem pag.pdf', 'size_bytes': 3520826}]",ALPARGATAS S.A.
010456,2023,134314,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2023\\notas_explicativas.pdf', 'original_filename': 'ER_4T23_PORT (2).pdf', 'size_bytes': 4823693}]",ALPARGATAS S.A.
010456,2024,145308,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\010456\\2024\\notas_explicativas.pdf', 'original_filename': 'DFP 2024_21022025_CVM.pdf', 'size_bytes': 1435920}]",ALPARGATAS S.A.
020990,2015,54096,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122516530000000000000000.pdf.pdf', 'size_bytes': 1161637}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2016,62640,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125016530000000000000000.pdf.pdf', 'size_bytes': 2409506}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2017,72061,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121216530000000000000000.pdf.pdf', 'size_bytes': 2180285}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2018,81382,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121916530000000000000000.pdf.pdf', 'size_bytes': 1190583}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2019,91171,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121616530000000000000000.pdf.pdf', 'size_bytes': 2391977}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2020,100690,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122804120000000000000000.pdf.pdf', 'size_bytes': 2048122}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2021,112049,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2021\\notas_explicativas.pdf', 'original_filename': '(Em 24.02.2022) NE Americanas S.A. - Dez 21 VF.pdf', 'size_bytes': 2497937}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2022,132682,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2022\\notas_explicativas.pdf', 'original_filename': '6060-23 (Em 16.11.2023) DFs e NE Americanas S.A.  Dez 22 - VFF 1 - ARL v2 vf.pdf', 'size_bytes': 2733189}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
020990,2023,141202,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\020990\\2023\\notas_explicativas.pdf', 'original_filename': '5180-24 DFs Americanas 31.12.23_14.08.2024 (1).pdf', 'size_bytes': 2415650}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
