COD,ASSET,CD_CVM,DENOM_CIA,SETOR_ATIV
ALOS3,ALLOS,22357,ALLOS S.A,Emp. Adm. Part. - Comércio (Atacado e Varejo)
ABEV3,AMBEV S/A,23264,AMBEV S.A.,Bebidas e Fumo
AURE3,AUREN,26620,AUREN ENERGIA S.A.,Energia Elétrica
AXIA3,AXIA ENERGIA,2437,AXIA ENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica
AZZA3,AZZAS 2154,22349,AZZAS 2154 S.A.,Têxtil e Vestuário
BRAP4,BRADESPAR,18724,BRADESPAR S.A.,Emp. Adm. Part. - Extração Mineral
BRKM5,BRASKEM,4820,BRASKEM S.A.,Petroquímicos e Borracha
BRAV3,BRAVA,25291,BRAVA ENERGIA S.A.,Petróleo e Gás
CEAB3,CEA MODAS,24848,CEA MODAS S.A.,Têxtil e Vestuário
CMIG4,CEMIG,2453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Energia Elétrica
CPLE3,COPEL,14311,CIA PARANAENSE DE ENERGIA - COPEL,Energia Elétrica
SBSP3,SABESP,14443,CIA SANEAMENTO BASICO EST SAO PAULO,"Saneamento, Serv. Água e Gás"
CSMG3,COPASA,19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,"Saneamento, Serv. Água e Gás"
CSNA3,SID NACIONAL,4030,CIA SIDERURGICA NACIONAL,Metalurgia e Siderurgia
COGN3,COGNA ON,17973,COGNA EDUCAÇÃO S.A.,Emp. Adm. Part. - Educação
CSAN3,COSAN,19836,COSAN S.A.,"Agricultura (Açúcar, Álcool e Cana)"
CPFE3,CPFL ENERGIA,18660,CPFL ENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica
CMIN3,CSNMINERACAO,25585,CSN MINERAÇÃO S.A.,Extração Mineral
CURY3,CURY S/A,25100,CURY CONSTRUTORA E INCORPORADORA S.A.,"Construção Civil, Mat. Constr. e Decoração"
CYRE3,CYRELA REALT,14460,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,"Construção Civil, Mat. Constr. e Decoração"
DIRR3,DIRECIONAL,21350,DIRECIONAL ENGENHARIA S.A.,"Construção Civil, Mat. Constr. e Decoração"
EMBJ3,EMBRAER,20087,EMBRAER S.A.,"Máquinas, Equipamentos, Veículos e Peças"
ENGI11,ENERGISA,15253,ENERGISA S.A.,Emp. Adm. Part. - Energia Elétrica
ENEV3,ENEVA,21237,ENEVA S.A,Energia Elétrica
EGIE3,ENGIE BRASIL,17329,ENGIE BRASIL ENERGIA S.A.,Energia Elétrica
EQTL3,EQUATORIAL,20010,EQUATORIAL S.A.,Energia Elétrica
FLRY3,FLEURY,21881,FLEURY S.A.,Serviços Médicos
GGBR4,GERDAU,3980,GERDAU S.A.,Metalurgia e Siderurgia
HAPV3,HAPVIDA,24392,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,Serviços Médicos
HYPE3,HYPERA,21431,HYPERA S.A.,Farmacêutico e Higiene
IGTI11,IGUATEMI S.A,8672,IGUATEMI S.A.,Emp. Adm. Part. - Comércio (Atacado e Varejo)
ISAE4,ISA ENERGIA,18376,ISA ENERGIA BRASIL S.A,Energia Elétrica
KLBN11,KLABIN S/A,12653,KLABIN S.A.,Papel e Celulose
RENT3,LOCALIZA,19739,LOCALIZA RENT A CAR S.A.,Serviços Transporte e Logística
LREN3,LOJAS RENNER,8133,LOJAS RENNER S.A.,Comércio (Atacado e Varejo)
MGLU3,MAGAZ LUIZA,22470,MAGAZINE LUIZA S.A.,Comércio (Atacado e Varejo)
POMO4,MARCOPOLO,8451,MARCOPOLO S.A.,"Máquinas, Equipamentos, Veículos e Peças"
MBRF3,MARFRIG,20788,MARFRIG GLOBAL FOODS S.A.,Alimentos
GOAU4,GERDAU MET,8656,METALURGICA GERDAU S.A.,Emp. Adm. Part. - Metalurgia e Siderurgia
BEEF3,MINERVA,20931,MINERVA S.A.,Alimentos
MOTV3,MOTIVA SA,18821,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,Emp. Adm. Part. - Serviços Transporte e Logística
MRVE3,MRV,20915,MRV ENGENHARIA E PARTICIPACOES S.A.,"Construção Civil, Mat. Constr. e Decoração"
MULT3,MULTIPLAN,20982,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
NATU3,NATURA,19550,NATURA COSMETICOS S.A.,Farmacêutico e Higiene
PETR3,PETROBRAS,9512,PETROLEO BRASILEIRO S.A. PETROBRAS,Petróleo e Gás
RECV3,PETRORECSA,25780,PETRORECÔNCAVO S.A.,Emp. Adm. Part. - Petróleo e Gás
PRIO3,PRIO,22187,PRIO S.A.,Petróleo e Gás
RADL3,RAIADROGASIL,5258,RAIA DROGASIL S.A.,Comércio (Atacado e Varejo)
RDOR3,REDE D OR,24821,REDE DOR SÃO LUIZ S.A.,Serviços Médicos
RAIL3,RUMO S.A.,17450,RUMO S.A.,Emp. Adm. Part. - Serviços Transporte e Logística
ASAI3,ASSAI,25372,SENDAS DISTRIBUIDORA S.A.,Comércio (Atacado e Varejo)
SLCE3,SLC AGRICOLA,20745,SLC AGRICOLA S.A.,"Agricultura (Açúcar, Álcool e Cana)"
SMFT3,SMART FIT,24260,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,Brinquedos e Lazer
SUZB3,SUZANO S.A.,13986,SUZANO S.A.,Papel e Celulose
VIVT3,TELEF BRASIL,17671,TELEFÔNICA BRASIL S.A,Telecomunicações
TIMS3,TIM,24929,TIM S.A.,Telecomunicações
TOTS3,TOTVS,19992,TOTVS S.A.,Comunicação e Informática
TAEE11,TAESA,20257,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Emp. Adm. Part. - Energia Elétrica
UGPA3,ULTRAPAR,18465,ULTRAPAR PARTICIPACOES S.A.,Emp. Adm. Part. - Petróleo e Gás
USIM5,USIMINAS,14320,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,Metalurgia e Siderurgia
VALE3,VALE,4170,VALE S.A.,Extração Mineral
VAMO3,VAMOS,24716,VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.,Serviços Transporte e Logística
VBBR3,VIBRA,24295,VIBRA ENERGIA S.A.,Comércio (Atacado e Varejo)
VIVA3,VIVARA S.A.,24805,VIVARA PARTICIPAÇOES S.A,Comércio (Atacado e Varejo)
WEGE3,WEG,5410,WEG S.A.,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças"
YDUQ3,YDUQS PART,21016,YDUQS PARTICIPACOES S.A.,Emp. Adm. Part. - Educação
