CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
25291,2019,96710,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\025291\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00130104120000000000000000.pdf.pdf', 'size_bytes': 2139008}]",3R PETROLEUM ÓLEO E GÁS S.A.,
22357,2015,53830,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121304120000000000000000.pdf.pdf', 'size_bytes': 285836}]",ALLOS S.A.,
22357,2016,62921,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121504120000000000000000.pdf.pdf', 'size_bytes': 384802}]",ALLOS S.A.,
22357,2017,72215,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121504120000000000000000.pdf.pdf', 'size_bytes': 686297}]",ALLOS S.A.,
22357,2018,82088,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121504120000000000000000.pdf.pdf', 'size_bytes': 585768}]",ALLOS S.A.,
22357,2019,91493,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121616530000000000000000.pdf.pdf', 'size_bytes': 3633988}]",ALLOS S.A.,
22357,2020,100818,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00123016530000000000000000.pdf.pdf', 'size_bytes': 1129028}]",ALLOS S.A.,
22357,2021,113219,1,notes_filename_match,"[{'path': 'data\\raw\\dfp\\022357\\2021\\notas_explicativas.pdf', 'original_filename': 'Apenas Notas explicativas PT 31.12.2021.pdf', 'size_bytes': 27369248}]",ALLOS S.A.,
22357,2022,124844,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2022\\notas_explicativas.pdf', 'original_filename': 'apenas notas.pdf', 'size_bytes': 1450354}]",ALLOS S.A.,
22357,2023,134911,1,statements_filename_match,"[{'path': 'data\\raw\\dfp\\022357\\2023\\notas_explicativas.pdf', 'original_filename': 'RDP0664_2024_RJO_ALLOS - 4T23 Demonstrações Financeiras _PT_vfinal.pdf', 'size_bytes': 880254}]",ALLOS S.A.,
22357,2024,145461,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2024\\notas_explicativas.pdf', 'original_filename': '2025RJ038244_ALLOS DFs Português 31.12.2024_1103_Limpa.pdf', 'size_bytes': 1673404}]",ALLOS S.A.,
23264,2015,53611,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\023264\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124604120000000000000000.pdf.pdf', 'size_bytes': 620712}]",AMBEV S.A.,
