CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
018970,2010,5659,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00000904120000000000000000.pdf.pdf', 'size_bytes': 1170102}]",AES TIETE ENERGIA SA,
018970,2011,15023,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00000804120000000000000000.pdf.pdf', 'size_bytes': 956763}]",AES TIETE ENERGIA SA,
018970,2012,24572,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000904120000000000000000.pdf.pdf', 'size_bytes': 892194}]",AES TIETE ENERGIA SA,
018970,2013,34956,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001504120000000000000000.pdf.pdf', 'size_bytes': 943062}]",AES TIETE ENERGIA SA,
018970,2014,44291,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000604120000000000000000.pdf.pdf', 'size_bytes': 922217}]",AES TIETE ENERGIA SA,
018970,2015,53577,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2015\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121204120000000000000000.pdf.pdf', 'size_bytes': 569250}]",AES TIETE ENERGIA SA,
018970,2016,62808,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00128816530000000000000000.pdf.pdf', 'size_bytes': 1419965}]",AES TIETE ENERGIA SA,
018970,2017,71802,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\EmpresasNet\\Temp\\files\\00121304120000000000000000.pdf.pdf', 'size_bytes': 1292096}]",AES TIETE ENERGIA SA,
018970,2018,80910,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13004\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1953907}]",AES TIETE ENERGIA SA,
018970,2019,91270,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2019\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15001\\Temp\\files\\00122404120000000000000000.pdf.pdf', 'size_bytes': 1010494}]",AES TIETE ENERGIA SA,
018970,2020,100848,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018970\\2020\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00123104120000000000000000.pdf.pdf', 'size_bytes': 1397630}]",AES TIETE ENERGIA SA,
018350,2010,5577,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018350\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00000304120000000000000000.pdf.pdf', 'size_bytes': 608771}]",AES TIETE SA,
018350,2011,15024,0,,[],AES TIETE SA,File is not a zip file
018350,2012,24466,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018350\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001104120000000000000000.pdf.pdf', 'size_bytes': 487151}]",AES TIETE SA,
018350,2013,34821,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018350\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00007016530000000000000000.doc.pdf', 'size_bytes': 554625}]",AES TIETE SA,
018350,2014,44287,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\018350\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001504120000000000000000.pdf.pdf', 'size_bytes': 477589}]",AES TIETE SA,
021300,2010,5804,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000204120000000000000000.docx.pdf', 'size_bytes': 2427065}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2011,23057,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00000204120000000000000000.pdf.pdf', 'size_bytes': 1826753}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2012,25291,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001816530000000000000000.pdf.pdf', 'size_bytes': 1504574}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2013,36079,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001104120000000000000000.pdf.pdf', 'size_bytes': 596733}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2014,45332,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120704120000000000000000.pdf.pdf', 'size_bytes': 729304}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2015,54538,0,,[],ALIANSCE SHOPPING CENTERS S.A.,File is not a zip file
021300,2016,63639,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2016\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1390858}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2017,72187,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2017\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00121704120000000000000000.pdf.pdf', 'size_bytes': 1457261}]",ALIANSCE SHOPPING CENTERS S.A.,
021300,2018,80906,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021300\\2018\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13003\\Temp\\files\\00122116530000000000000000.pdf.pdf', 'size_bytes': 3147899}]",ALIANSCE SHOPPING CENTERS S.A.,
021490,2010,6665,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\021490\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001404120000000000000000.pdf.pdf', 'size_bytes': 967255}]",ALUPAR INVESTIMENTO S/A,
