CD_CVM,DENOM_CIA,QUARTER_LABEL,period_end_date,filing_date,ID_DOC
18970,AES TIETE ENERGIA SA,2011Q1,2011-03-31,2011-05-12,7666
18970,AES TIETE ENERGIA SA,2011Q2,2011-06-30,2011-08-11,10784
18970,AES TIETE ENERGIA SA,2011Q3,2011-09-30,2011-11-10,12582
18970,AES TIETE ENERGIA SA,2012Q1,2012-03-31,2012-05-10,17275
18970,AES TIETE ENERGIA SA,2012Q2,2012-06-30,2012-09-18,21321
18970,AES TIETE ENERGIA SA,2012Q3,2012-09-30,2012-11-07,22198
18970,AES TIETE ENERGIA SA,2013Q1,2013-03-31,2013-05-10,27183
18970,AES TIETE ENERGIA SA,2013Q2,2013-06-30,2013-08-09,30395
18970,AES TIETE ENERGIA SA,2013Q3,2013-09-30,2013-11-08,32503
18970,AES TIETE ENERGIA SA,2014Q1,2014-03-31,2014-05-07,36904
18970,AES TIETE ENERGIA SA,2014Q2,2014-06-30,2014-08-06,40171
18970,AES TIETE ENERGIA SA,2014Q3,2014-09-30,2014-11-06,42073
18970,AES TIETE ENERGIA SA,2015Q1,2015-03-31,2015-05-08,46745
18970,AES TIETE ENERGIA SA,2015Q2,2015-06-30,2015-08-07,49567
18970,AES TIETE ENERGIA SA,2015Q3,2015-09-30,2015-11-04,51296
18970,AES TIETE ENERGIA SA,2016Q1,2016-03-31,2016-05-06,55728
18970,AES TIETE ENERGIA SA,2016Q2,2016-06-30,2016-08-04,58490
18970,AES TIETE ENERGIA SA,2016Q3,2016-09-30,2016-11-03,60349
18970,AES TIETE ENERGIA SA,2017Q1,2017-03-31,2017-05-05,64784
18970,AES TIETE ENERGIA SA,2017Q2,2017-06-30,2017-08-07,67576
18970,AES TIETE ENERGIA SA,2017Q3,2017-09-30,2017-11-01,69416
18970,AES TIETE ENERGIA SA,2018Q1,2018-03-31,2018-05-07,73869
18970,AES TIETE ENERGIA SA,2018Q2,2018-06-30,2018-08-06,76711
18970,AES TIETE ENERGIA SA,2018Q3,2018-09-30,2018-11-05,78653
18970,AES TIETE ENERGIA SA,2019Q1,2019-03-31,2019-05-06,82739
18970,AES TIETE ENERGIA SA,2019Q2,2019-06-30,2019-08-05,86053
18970,AES TIETE ENERGIA SA,2019Q3,2019-09-30,2019-11-05,89035
18970,AES TIETE ENERGIA SA,2020Q1,2020-03-31,2020-05-07,92806
18970,AES TIETE ENERGIA SA,2020Q2,2020-06-30,2020-08-05,95697
18970,AES TIETE ENERGIA SA,2020Q3,2020-09-30,2020-11-05,98065
18970,AES TIETE ENERGIA SA,2021Q1,2021-03-31,2021-05-13,103991
18970,AES TIETE ENERGIA SA,2021Q2,2021-06-30,2021-08-04,107266
18970,AES TIETE ENERGIA SA,2021Q3,2021-09-30,2021-11-12,109943
18350,AES TIETE SA,2011Q1,2011-03-31,2011-05-12,7665
18350,AES TIETE SA,2011Q3,2011-09-30,2011-11-10,12578
18350,AES TIETE SA,2012Q1,2012-03-31,2012-05-03,16735
18350,AES TIETE SA,2012Q2,2012-06-30,2012-08-03,20090
18350,AES TIETE SA,2012Q3,2012-09-30,2012-11-06,22144
18350,AES TIETE SA,2013Q1,2013-03-31,2013-05-08,26899
18350,AES TIETE SA,2013Q2,2013-06-30,2013-08-07,30274
18350,AES TIETE SA,2013Q3,2013-09-30,2013-11-06,32378
18350,AES TIETE SA,2014Q1,2014-03-31,2014-05-07,36869
18350,AES TIETE SA,2014Q2,2014-06-30,2014-08-06,40164
18350,AES TIETE SA,2014Q3,2014-09-30,2014-11-05,42052
18350,AES TIETE SA,2015Q1,2015-03-31,2015-05-08,46703
18350,AES TIETE SA,2015Q2,2015-06-30,2015-08-14,50033
18350,AES TIETE SA,2015Q3,2015-09-30,2015-11-04,51290
21300,ALIANSCE SHOPPING CENTERS S.A.,2011Q1,2011-03-31,2011-05-13,7766
21300,ALIANSCE SHOPPING CENTERS S.A.,2011Q2,2011-06-30,2011-08-08,10599
21300,ALIANSCE SHOPPING CENTERS S.A.,2011Q3,2011-09-30,2011-11-07,12391
21300,ALIANSCE SHOPPING CENTERS S.A.,2012Q1,2012-03-31,2012-12-05,23058
21300,ALIANSCE SHOPPING CENTERS S.A.,2012Q2,2012-06-30,2012-12-05,23059
21300,ALIANSCE SHOPPING CENTERS S.A.,2012Q3,2012-09-30,2012-12-05,23060
21300,ALIANSCE SHOPPING CENTERS S.A.,2013Q1,2013-03-31,2013-05-13,27282
21300,ALIANSCE SHOPPING CENTERS S.A.,2013Q2,2013-06-30,2013-08-13,30537
21300,ALIANSCE SHOPPING CENTERS S.A.,2013Q3,2013-09-30,2013-11-13,32737
21300,ALIANSCE SHOPPING CENTERS S.A.,2014Q1,2014-03-31,2014-05-12,37312
21300,ALIANSCE SHOPPING CENTERS S.A.,2014Q2,2014-06-30,2014-08-13,40487
21300,ALIANSCE SHOPPING CENTERS S.A.,2014Q3,2014-09-30,2014-11-11,42246
21300,ALIANSCE SHOPPING CENTERS S.A.,2015Q1,2015-03-31,2015-05-06,46510
21300,ALIANSCE SHOPPING CENTERS S.A.,2015Q2,2015-06-30,2015-08-13,49861
21300,ALIANSCE SHOPPING CENTERS S.A.,2015Q3,2015-09-30,2015-11-05,51342
21300,ALIANSCE SHOPPING CENTERS S.A.,2016Q1,2016-03-31,2016-05-09,55876
21300,ALIANSCE SHOPPING CENTERS S.A.,2016Q2,2016-06-30,2016-08-08,58563
21300,ALIANSCE SHOPPING CENTERS S.A.,2016Q3,2016-09-30,2016-11-07,60410
21300,ALIANSCE SHOPPING CENTERS S.A.,2017Q1,2017-03-31,2017-05-10,65151
21300,ALIANSCE SHOPPING CENTERS S.A.,2017Q2,2017-06-30,2017-08-09,67691
21300,ALIANSCE SHOPPING CENTERS S.A.,2017Q3,2017-09-30,2017-11-08,69596
21300,ALIANSCE SHOPPING CENTERS S.A.,2018Q1,2018-03-31,2018-05-04,73746
21300,ALIANSCE SHOPPING CENTERS S.A.,2018Q2,2018-06-30,2018-08-08,76814
21300,ALIANSCE SHOPPING CENTERS S.A.,2018Q3,2018-09-30,2018-11-08,78830
21300,ALIANSCE SHOPPING CENTERS S.A.,2019Q1,2019-03-31,2019-05-08,82918
21300,ALIANSCE SHOPPING CENTERS S.A.,2019Q2,2019-06-30,2019-07-29,85670
22357,ALLOS S.A.,2011Q1,2011-03-31,2011-05-16,8007
22357,ALLOS S.A.,2011Q2,2011-06-30,2011-08-10,10717
22357,ALLOS S.A.,2011Q3,2011-09-30,2011-11-08,12423
22357,ALLOS S.A.,2012Q1,2012-03-31,2012-05-10,17296
22357,ALLOS S.A.,2012Q2,2012-06-30,2012-08-09,20237
22357,ALLOS S.A.,2012Q3,2012-09-30,2012-11-05,22090
22357,ALLOS S.A.,2013Q1,2013-03-31,2013-05-08,26894
22357,ALLOS S.A.,2013Q3,2013-09-30,2013-11-06,32388
