cd_cvm,year_curr,ticker,window_start,window_end,TextChange,cosine_similarity,BHAR_raw,BHAR_ajustado
2437,2011,AXIA3,2012-04-17,2013-04-26,0.09299999999999997,0.907,-0.46981008380920175,-0.46981008380920175
2437,2012,AXIA3,2013-04-12,2014-04-16,0.06010000000000004,0.9399,1.6769257624500487,1.6769257624500487
2437,2013,AXIA3,2014-04-03,2015-04-10,0.07320000000000004,0.9268,-0.057335485513304474,-0.057335485513304474
2437,2014,AXIA3,2015-04-09,2016-04-19,0.048799999999999955,0.9512,0.28169757482785274,0.28169757482785274
2437,2015,AXIA3,2016-03-31,2017-04-03,0.05410000000000004,0.9459,0.009861916039992868,0.009861916039992868
2437,2018,AXIA3,2019-03-27,2020-03-31,0.08699999999999997,0.913,0.19770448805141494,0.19770448805141494
2437,2019,AXIA3,2020-03-27,2021-04-06,0.14559999999999995,0.8544,-0.13781134291256614,-0.13781134291256614
2437,2020,AXIA3,2021-03-19,2022-03-24,0.05730000000000002,0.9427,0.06949277925000685,0.06949277925000685
2437,2021,AXIA3,2022-03-18,2023-03-21,0.05569999999999997,0.9443,-0.09538890350990137,-0.09538890350990137
2437,2022,AXIA3,2023-03-13,2024-03-18,0.16590000000000005,0.8341,-0.08580191330556175,-0.08580191330556175
2437,2023,AXIA3,2024-05-14,2025-05-19,0.3647,0.6353,0.17515675334558534,0.17515675334558534
2437,2024,AXIA3,2025-03-17,2026-03-19,0.3719,0.6281,0.39399483382251765,0.39399483382251765
2453,2011,CMIG4,2012-03-28,2013-04-09,0.047900000000000054,0.9521,-0.4933423283044074,-0.4933423283044074
2453,2012,CMIG4,2013-04-16,2014-04-22,0.04630000000000001,0.9537,0.05176296982892348,0.05176296982892348
2453,2013,CMIG4,2014-04-04,2015-04-13,0.03210000000000002,0.9679,-0.09423266227755578,-0.09423266227755578
2453,2014,CMIG4,2015-03-27,2016-04-07,0.03090000000000004,0.9691,-0.3782775862033513,-0.3782775862033513
2453,2015,CMIG4,2016-11-14,2017-11-21,0.0504,0.9496,-0.3185660421174312,-0.3185660421174312
2453,2016,CMIG4,2017-04-11,2018-04-20,0.04710000000000003,0.9529,-0.36219742701373103,-0.36219742701373103
2453,2017,CMIG4,2018-03-29,2019-04-09,0.05610000000000004,0.9439,1.3157113341912727,1.3157113341912727
