cd_cvm,year_curr,ticker,TextChange,cosine_similarity,window_start,window_end,n_est_obs,n_event_days,BHAR_ajustado_raw,BHAR_ajustado
2453,2014,CMIG4,0.17159999999999997,0.8284,2015-03-27,2016-04-07,252,253,-0.3782775862033513,-0.3782775862033513
2453,2015,CMIG4,0.1351,0.8649,2016-11-14,2017-11-21,252,253,-0.3185660421174312,-0.3185660421174312
2577,2014,CESP6,0.9271,0.0729,2015-03-27,2016-04-07,252,253,-0.215534514403531,-0.215534514403531
2577,2015,CESP6,0.0736,0.9264,2016-03-24,2017-03-28,252,253,0.0010653186431344164,0.0010653186431344164
3980,2014,GGBR4,0.07589999999999997,0.9241,2015-03-05,2016-03-15,252,253,-0.3011878478772202,-0.3011878478772202
3980,2015,GGBR4,0.3016,0.6984,2016-03-15,2017-03-17,252,253,2.5029949136411105,2.5029949136411105
4030,2014,CSNA3,0.127,0.873,2015-03-12,2016-03-22,252,253,1.548879029254627,1.548879029254627
4030,2015,CSNA3,0.46950000000000003,0.5305,2016-11-14,2017-11-21,252,253,-0.5838452410391297,-0.5838452410391297
4170,2014,VALE3,0.22330000000000005,0.7767,2015-02-26,2016-03-08,252,253,-0.15155715564549677,-0.15155715564549677
4170,2015,VALE3,0.36140000000000005,0.6386,2016-02-25,2017-02-24,252,253,0.3972523949452773,0.3972523949452773
5410,2014,WEGE3,0.20789999999999997,0.7921,2015-02-25,2016-03-07,252,253,-0.32572192866616445,-0.32572192866616445
5410,2015,WEGE3,0.10189999999999999,0.8981,2016-02-24,2017-02-23,252,253,0.03808799265806129,0.03808799265806129
6505,2015,BHIA3,0.8412999999999999,0.1587,2016-07-27,2017-08-09,252,253,-0.13265548023457097,-0.13265548023457097
8133,2014,LREN3,0.015000000000000013,0.985,2015-02-12,2016-02-25,252,253,0.10811880869629498,0.10811880869629498
8133,2015,LREN3,0.9018,0.0982,2016-02-04,2017-02-07,252,253,-0.2535264432055432,-0.2535264432055432
8451,2014,POMO4,0.06930000000000003,0.9307,2015-02-24,2016-03-04,252,253,1.4628595458620985,1.4628595458620985
8451,2015,POMO4,0.06789999999999996,0.9321,2016-02-23,2017-02-22,252,253,-0.021650085921380624,-0.021650085921380624
8656,2014,GOAU4,0.08830000000000005,0.9117,2015-03-11,2016-03-21,252,253,-0.7430191187268903,-0.7430191187268903
8656,2015,GOAU4,0.23170000000000002,0.7683,2016-03-15,2017-03-17,252,253,6.781955347583263,5.831484476358658
10456,2012,ALPA4,0.15969999999999995,0.8403,2014-08-08,2015-08-13,147,253,0.44361042422538555,0.44361042422538555
10456,2013,ALPA4,0.13859999999999995,0.8614,2014-08-08,2015-08-13,147,253,0.44361042422538555,0.44361042422538555
10456,2014,ALPA4,0.06289999999999996,0.9371,2015-03-11,2016-03-21,252,253,-0.0369143778169444,-0.0369143778169444
10456,2015,ALPA4,0.1835,0.8165,2016-03-04,2017-03-08,252,253,-0.14757226587697303,-0.14757226587697303
11312,2014,OIBR3,0.0,1.0,2015-03-27,2016-04-07,252,253,-0.4293754766182769,-0.4293754766182769
11312,2015,OIBR3,0.0,1.0,2016-03-24,2017-03-28,252,253,16.267976050064,5.831484476358658
12653,2014,KLBN11,0.2754,0.7246,2015-02-11,2016-02-24,252,253,0.07788977076596537,0.07788977076596537
12653,2015,KLBN11,0.10309999999999997,0.8969,2016-02-03,2017-02-06,252,253,-0.601979971743741,-0.601979971743741
14176,2014,ELPL4,0.5212,0.4788,2015-02-25,2016-03-07,252,253,-0.19862490374260933,-0.19862490374260933
14176,2015,ELPL4,0.17279999999999995,0.8272,2016-02-25,2017-02-24,252,253,-0.5359599126316911,-0.5359599126316911
14311,2013,CPLE3,0.08330000000000004,0.9167,2014-09-30,2015-10-06,184,253,-0.13872806595019438,-0.13872806595019438
14320,2014,USIM5,0.11519999999999997,0.8848,2015-03-04,2016-03-14,252,253,-0.010137959303363142,-0.010137959303363142
14320,2015,USIM5,0.06940000000000002,0.9306,2016-02-18,2017-02-17,252,253,3.483225941665629,3.483225941665629
14443,2014,SBSP3,0.6859999999999999,0.314,2015-03-26,2016-04-06,252,253,0.6271112263500092,0.6271112263500092
14443,2015,SBSP3,0.06779999999999997,0.9322,2016-03-28,2017-03-29,252,253,-0.17375467348977913,-0.17375467348977913
14460,2014,CYRE3,0.08489999999999998,0.9151,2015-03-19,2016-03-30,252,253,-0.06836486287830379,-0.06836486287830379
14460,2015,CYRE3,0.7193,0.2807,2016-03-23,2017-03-27,252,253,-0.17126128583494893,-0.17126128583494893
16101,2014,GFSA3,0.1483,0.8517,2015-02-27,2016-03-09,252,253,0.24086530452314503,0.24086530452314503
16101,2015,GFSA3,0.07920000000000005,0.9208,2016-03-03,2017-03-07,252,253,-0.7743584450296541,-0.7743584450296541
16292,2014,BRFS3,0.06910000000000005,0.9309,2015-02-26,2016-03-08,252,253,-0.4546866148600054,-0.4546866148600054
16292,2015,BRFS3,0.05600000000000005,0.944,2016-02-25,2017-02-24,252,253,-0.41079558445007125,-0.41079558445007125
16306,2014,RSID3,0.24119999999999997,0.7588,2015-03-19,2016-03-30,252,253,-0.7265538515117935,-0.7265538515117935
16306,2015,RSID3,0.3831,0.6169,2016-03-30,2017-03-31,252,253,-0.46391512486104214,-0.46391512486104214
17329,2014,EGIE3,0.9587,0.0413,2015-03-30,2016-04-08,252,253,0.13970051420665186,0.13970051420665186
17329,2015,EGIE3,0.9547,0.0453,2016-02-23,2017-02-22,252,253,-0.4037053961798681,-0.4037053961798681
17450,2014,RAIL3,0.23429999999999995,0.7657,2016-03-01,2017-03-03,222,253,0.9619176511042047,0.9619176511042047
17450,2015,RAIL3,0.7829,0.2171,2016-03-30,2017-03-31,242,253,1.1545429185269422,1.1545429185269422
17671,2014,VIVT3,0.16790000000000005,0.8321,2015-02-24,2016-03-07,252,253,-0.2616982534622353,-0.2616982534622353
17671,2015,VIVT3,0.2047,0.7953,2016-02-24,2017-02-23,252,253,-0.1897546366347148,-0.1897546366347148
17973,2014,COGN3,0.4537,0.5463,2015-04-16,2016-04-27,252,253,0.6623436779080203,0.6623436779080203
17973,2015,COGN3,0.3198,0.6802,2016-03-15,2017-03-17,252,253,-0.2322131663164133,-0.2322131663164133
18376,2014,ISAE4,0.07430000000000003,0.9257,2015-02-26,2016-03-08,252,253,-0.31648590463084525,-0.31648590463084525
18376,2015,ISAE4,0.07050000000000001,0.9295,2016-04-20,2017-04-25,252,253,-0.33749125103927025,-0.33749125103927025
18465,2014,UGPA3,0.05730000000000002,0.9427,2015-02-25,2016-03-07,252,253,0.19280327484795112,0.19280327484795112
18465,2015,UGPA3,0.05349999999999999,0.9465,2016-02-17,2017-02-16,252,253,-0.339029402092218,-0.339029402092218
18660,2014,CPFE3,0.17069999999999996,0.8293,2015-03-26,2016-04-06,252,253,0.11240400647707771,0.11240400647707771
18660,2015,CPFE3,0.08930000000000005,0.9107,2016-03-21,2017-03-23,252,253,-0.06786188505198953,-0.06786188505198953
18724,2014,BRAP4,0.12719999999999998,0.8728,2015-03-19,2016-03-30,252,253,-0.14576805875627796,-0.14576805875627796
18724,2015,BRAP4,0.3647,0.6353,2016-03-21,2017-03-23,252,253,4.06632428694149,4.06632428694149
18821,2014,MOTV3,0.02429999999999999,0.9757,2015-04-02,2016-04-13,252,253,0.0026312993710340127,0.0026312993710340127
18821,2015,MOTV3,0.061899999999999955,0.9381,2016-02-25,2017-02-24,252,253,-0.09830360339810795,-0.09830360339810795
19445,2014,CSMG3,0.05840000000000001,0.9416,2015-04-06,2016-04-14,252,253,0.6789251331417356,0.6789251331417356
19445,2015,CSMG3,0.44079999999999997,0.5592,2016-03-11,2017-03-15,252,253,1.1705849304605098,1.1705849304605098
19453,2014,ECOR3,0.1724,0.8276,2015-03-17,2016-03-28,252,253,-0.13451759641770022,-0.13451759641770022
19453,2015,ECOR3,0.09289999999999998,0.9071,2016-03-15,2017-03-17,252,253,0.6687659412847458,0.6687659412847458
19550,2014,NATU3,0.24480000000000002,0.7552,2015-02-11,2016-02-24,252,253,0.4360737801895216,0.4360737801895216
19550,2015,NATU3,0.011099999999999999,0.9889,2016-02-17,2017-02-16,252,253,-0.4566954125842758,-0.4566954125842758
19836,2014,CSAN3,0.0766,0.9234,2015-03-18,2016-03-29,252,253,0.16430521395804631,0.16430521395804631
19836,2015,CSAN3,0.6273,0.3727,2016-02-18,2017-02-17,252,253,-0.0032925901403195734,-0.0032925901403195734
19879,2014,LIGT3,0.33330000000000004,0.6667,2015-03-06,2016-03-16,252,253,-0.2010733706879887,-0.2010733706879887
19879,2015,LIGT3,0.17269999999999996,0.8273,2016-11-10,2017-11-16,252,253,-0.2646448343213593,-0.2646448343213593
19909,2014,BRML3,0.11119999999999997,0.8888,2015-03-11,2016-03-21,252,253,0.07853868394690489,0.07853868394690489
19909,2015,BRML3,0.8472999999999999,0.1527,2016-03-14,2017-03-16,252,253,-0.13248679541455255,-0.13248679541455255
19992,2014,TOTS3,0.8091,0.1909,2015-01-28,2016-02-10,252,253,-0.12559207568389064,-0.12559207568389064
19992,2015,TOTS3,0.32920000000000005,0.6708,2016-03-16,2017-03-20,252,253,-0.38432687056004244,-0.38432687056004244
20010,2014,EQTL3,0.3065,0.6935,2015-02-24,2016-03-04,252,253,0.23297435323268112,0.23297435323268112
20010,2015,EQTL3,0.6448,0.3552,2017-09-25,2018-10-03,252,253,-0.1405900263161528,-0.1405900263161528
20087,2014,EMBJ3,0.05169999999999997,0.9483,2015-03-16,2016-03-24,252,253,-0.1973708891192102,-0.1973708891192102
20087,2015,EMBJ3,0.03490000000000004,0.9651,2016-03-18,2017-03-22,252,253,0.030523468964524847,0.030523468964524847
20257,2014,TAEE11,0.0,1.0,2015-03-12,2016-03-22,252,253,-0.06432548340740585,-0.06432548340740585
20257,2015,TAEE11,0.8914,0.1086,2016-03-14,2017-03-16,252,253,0.05098117401723212,0.05098117401723212
20478,2014,PDGR3,0.5173,0.4827,2015-03-18,2016-03-29,252,253,-0.49792769829051553,-0.49792769829051553
20478,2015,PDGR3,0.03259999999999996,0.9674,2016-03-29,2017-03-30,252,253,-0.8291122475122483,-0.7804443270953253
20494,2014,IGTA3,0.1985,0.8015,2015-03-19,2016-03-30,252,253,-0.3173215440082966,-0.3173215440082966
20494,2015,IGTA3,0.046699999999999964,0.9533,2016-03-08,2017-03-10,252,253,0.09280466402072407,0.09280466402072407
20516,2014,SMTO3,0.8415,0.1585,2014-06-16,2015-06-22,110,253,-0.4954505899136691,-0.4954505899136691
