cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2015,2016,0.9441,369414,320795,AXIA3,2017-03-27,2017-03-27,2018-04-05,0.24235686513462085,0.32501622261107777,-0.08265935747645692
2437,2016,2017,0.9492,320795,326087,AXIA3,2018-03-27,2018-03-27,2019-04-05,0.6125394678389464,0.158697404366287,0.45384206347265943
2437,2017,2018,0.9313,326087,312934,AXIA3,2019-03-27,2019-03-27,2020-03-31,-0.2874904405027696,-0.20547270285974184,-0.08201773764302778
2437,2018,2019,0.8618,312934,692624,AXIA3,2020-03-27,2020-03-27,2021-04-06,0.6603415559772299,0.6001746181810457,0.060166937796184206
2437,2019,2020,0.9297,692624,640997,AXIA3,2021-03-19,2021-03-19,2022-03-24,0.08910295003010238,0.0243614826093399,0.06474146742076248
2437,2020,2021,0.8941,640997,388979,AXIA3,2022-03-18,2022-03-18,2023-03-21,-0.12065031374786084,-0.12412338086656327,0.003473067118702433
2437,2021,2022,0.902,388979,267385,AXIA3,2023-03-13,2023-03-13,2024-03-18,0.29978049545312024,0.23111429096745817,0.06866620448566207
2437,2022,2023,0.8666,267385,237349,AXIA3,2024-05-14,2024-05-14,2025-05-19,0.10355648535564854,0.08653369333144201,0.017022792024206534
2437,2023,2024,0.8724,237349,251026,AXIA3,2025-03-16,2025-03-17,2026-03-19,0.7963813569051086,0.3778580117883765,0.41852334511673206
2453,2015,2016,0.9798,360670,363606,CMIG4,2017-04-11,2017-04-11,2018-04-20,-0.12084656799971338,0.3292475006521929,-0.45009406865190627
2453,2016,2017,0.9651,363606,357785,CMIG4,2018-03-29,2018-03-29,2019-04-09,0.6436915887906693,0.12799342029736582,0.5156981684933035
2453,2017,2018,0.9727,357785,421356,CMIG4,2019-04-01,2019-04-01,2020-04-03,-0.42764578841350065,-0.2760610258035937,-0.15158476260990694
2453,2018,2019,0.9777,421356,419576,CMIG4,2020-04-01,2020-04-01,2021-04-09,0.5536687995806324,0.6581002075621383,-0.10443140798150585
2453,2019,2020,0.9624,419576,490324,CMIG4,2021-03-30,2021-03-30,2022-04-04,0.3069675229082971,0.03791059059045687,0.2690569323178402
2453,2020,2021,0.9734,490324,466601,CMIG4,2022-03-29,2022-03-29,2023-03-30,0.007855191340609302,-0.13582329486593125,0.14367848620654056
2453,2021,2022,0.9772,466601,430756,CMIG4,2023-03-25,2023-03-27,2024-04-02,0.164370982560474,0.27970220266845347,-0.11533122010797947
2453,2022,2023,0.9693,430756,405851,CMIG4,2024-03-21,2024-03-21,2025-03-25,0.14800995023923713,0.030502213000660028,0.1175077372385771
2453,2023,2024,0.9686,405851,412561,CMIG4,2025-03-21,2025-03-21,2026-03-25,0.15370370370370368,0.4010687833182516,-0.2473650796145479
2577,2015,2016,0.9647,208879,214624,CESP6,2017-03-24,2017-03-24,2018-04-04,-0.1537199124726477,0.3211387518700932,-0.47485866434274093
2577,2016,2017,0.9695,214624,255415,CESP6,2018-03-21,2018-03-21,2019-04-01,0.5773324984345649,0.13036366839384828,0.44696883004071664
2577,2017,2018,0.9615,255415,235309,CESP6,2019-03-22,2019-03-22,2020-03-26,0.11260162601626011,-0.17096564095752753,0.28356726697378765
2577,2018,2019,0.8204,235309,134950,CESP6,2020-02-17,2020-02-17,2021-02-25,-0.21599768986427959,-0.02647440661665046,-0.18952328324762913
3980,2015,2016,0.991,203796,201424,GGBR4,2017-02-22,2017-02-22,2018-03-06,0.24485125892212878,0.24877652645337367,-0.0039252675312448915
3980,2016,2017,0.9829,201424,211551,GGBR4,2018-02-28,2018-02-28,2019-03-11,-0.10348977097846523,0.14847682446631705,-0.2519665954447823
3980,2017,2018,0.9855,211551,220360,GGBR4,2019-02-21,2019-02-21,2020-02-28,0.1211920536576292,0.07468441624239275,0.04650763741523645
3980,2018,2019,0.5646,220360,39264,GGBR4,2020-02-19,2020-02-19,2021-03-01,0.3054331870410838,-0.05306297074433397,0.35849615778541777
3980,2019,2020,0.7778,39264,39883,GGBR4,2021-02-24,2021-02-24,2022-02-25,-0.06190125260778345,-0.021837023240179776,-0.040064229367603676
3980,2020,2021,0.5008,39883,221121,GGBR4,2022-02-23,2022-02-23,2023-02-28,0.1661914461614744,-0.0631714220132008,0.22936286817467522
3980,2021,2022,0.9839,221121,226913,GGBR4,2023-03-01,2023-03-01,2024-03-06,-0.23953252022929683,0.23476205845168652,-0.47429457868098335
3980,2022,2023,0.9869,226913,225135,GGBR4,2024-02-20,2024-02-20,2025-02-19,-0.026542055892811556,-0.02006918156647397,-0.006472874326337585
3980,2023,2024,0.9726,225135,239444,GGBR4,2025-02-24,2025-02-24,2026-03-02,0.2784265519360787,0.509608745932461,-0.2311821939963823
4030,2015,2016,0.917,285063,323662,CSNA3,2017-10-28,2017-10-30,2018-11-08,0.14619883040935666,0.14464894143529317,0.0015498889740634958
4030,2016,2017,0.9262,323662,271289,CSNA3,2018-04-06,2018-04-06,2019-04-16,0.8120649651972158,0.11215329987755296,0.6999116653196629
4030,2017,2018,0.9792,271289,273985,CSNA3,2019-02-20,2019-02-20,2020-02-27,0.07400379506641386,0.06669120794789496,0.007312587118518898
4030,2018,2019,0.9764,273985,274698,CSNA3,2020-03-04,2020-03-04,2021-03-11,2.025974025974026,0.07236761850403162,1.9536064074699946
4030,2019,2020,0.7701,274698,108318,CSNA3,2021-02-22,2021-02-22,2022-02-23,-0.3376187814421465,-0.0058587332483045484,-0.33176004819384197
4030,2020,2021,0.7728,108318,277847,CSNA3,2022-03-09,2022-03-09,2023-03-10,-0.4308187343582409,-0.09027312824527123,-0.3405456061129697
4030,2021,2022,0.9608,277847,286438,CSNA3,2023-03-16,2023-03-16,2024-03-21,0.10216508795669821,0.23902925769756478,-0.13686416974086657
4030,2022,2023,0.9668,286438,247953,CSNA3,2024-03-06,2024-03-06,2025-03-10,-0.4798798798798798,-0.03391141438726575,-0.44596846549261404
4030,2023,2024,0.9658,247953,276107,CSNA3,2025-03-12,2025-03-12,2026-03-16,-0.2880755608028336,0.4522069859159479,-0.7402825467187815
4170,2015,2016,0.9052,224509,237390,VALE3,2017-02-23,2017-02-23,2018-03-07,0.29182996683750373,0.2671477714882542,0.024682195349249536
4170,2016,2017,0.9392,237390,227057,VALE3,2018-02-27,2018-02-27,2019-03-08,0.032114937671667176,0.09696172239997858,-0.0648467847283114
4170,2017,2018,0.8964,227057,248583,VALE3,2019-04-18,2019-04-18,2020-04-24,-0.16774438950171167,-0.20351029930134046,0.03576590979962879
4170,2018,2019,0.579,248583,90315,VALE3,2020-03-02,2020-03-02,2021-03-09,1.1283433994823122,0.04412850971719684,1.0842148897651154
4170,2019,2020,0.5645,90315,274603,VALE3,2021-02-25,2021-02-25,2022-03-02,0.0411660223592103,0.025987391716602914,0.015178630642607382
4170,2020,2021,0.9428,274603,306915,VALE3,2022-02-24,2022-02-24,2023-03-01,0.018962759881197222,-0.06458535016932687,0.0835481100505241
4170,2021,2022,0.9321,306915,323774,VALE3,2023-02-16,2023-02-16,2024-02-26,-0.26280973203273905,0.17889147551797113,-0.4417012075507102
4170,2022,2023,0.939,323774,344928,VALE3,2024-02-22,2024-02-22,2025-02-21,-0.13478131508479618,-0.023898010258709745,-0.11088330482608644
4170,2023,2024,0.9444,344928,322916,VALE3,2025-03-17,2025-03-17,2026-03-19,0.34203152364273204,0.3778580117883765,-0.035826488145644486
4820,2015,2016,0.8039,64386,296557,BRKM5,2017-08-15,2017-08-15,2018-08-23,0.5273396424815984,0.10648271753707439,0.420856924944524
4820,2016,2017,0.9885,296557,279551,BRKM5,2018-03-29,2018-03-29,2019-04-09,-0.006041666666666612,0.12799342029736582,-0.13403508696403243
4820,2017,2018,0.8387,279551,93770,BRKM5,2019-03-13,2019-03-13,2020-03-17,-0.6875800256081946,-0.24555801046430126,-0.4420220151438934
4820,2018,2019,0.8316,93770,315972,BRKM5,2020-04-03,2020-04-03,2021-04-13,2.003201024327785,0.7155783147985062,1.2876227095292787
4820,2019,2020,0.7571,315972,133746,BRKM5,2021-03-10,2021-03-10,2022-03-15,0.40330115228900665,-0.033847391419967066,0.4371485437089737
4820,2020,2021,0.7773,133746,343707,BRKM5,2022-03-16,2022-03-16,2023-03-17,-0.5865763008307827,-0.08217712455753146,-0.5043991762732513
4820,2021,2022,0.9889,343707,308708,BRKM5,2023-03-23,2023-03-23,2024-03-28,0.5865384615384615,0.3081883791429354,0.27835008239552606
4820,2022,2023,0.8016,308708,109681,BRKM5,2024-07-01,2024-07-01,2025-07-04,-0.4733257661748014,0.1326631337383588,-0.6059888999131602
4820,2023,2024,0.7925,109681,260453,BRKM5,2025-02-27,2025-02-27,2026-03-05,0.07535986452159182,0.44603640927776955,-0.37067654475617773
