cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return,extreme_ar,prev_ok,curr_ok,both_ok
2437,2021,2022,0.902,388979,267385,AXIA3,2023-03-13,2023-03-13,2024-03-18,0.2997804954531202,0.2311142909674581,0.068666204485662,False,True,True,True
2437,2022,2023,0.8666,267385,237349,AXIA3,2024-05-14,2024-05-14,2025-05-19,0.1035564853556485,0.086533693331442,0.0170227920242065,False,True,True,True
2437,2023,2024,0.8724,237349,251026,AXIA3,2025-03-16,2025-03-17,2026-03-19,0.7963813569051086,0.3778580117883765,0.418523345116732,False,True,True,True
2453,2015,2016,0.9798,360670,363606,CMIG4,2017-04-11,2017-04-11,2018-04-20,-0.1208465679997133,0.3292475006521929,-0.4500940686519062,False,True,True,True
2453,2016,2017,0.9651,363606,357785,CMIG4,2018-03-29,2018-03-29,2019-04-09,0.6436915887906693,0.1279934202973658,0.5156981684933035,True,True,True,True
2453,2017,2018,0.9727,357785,421356,CMIG4,2019-04-01,2019-04-01,2020-04-03,-0.4276457884135006,-0.2760610258035937,-0.1515847626099069,False,True,True,True
2453,2018,2019,0.9777,421356,419576,CMIG4,2020-04-01,2020-04-01,2021-04-09,0.5536687995806324,0.6581002075621383,-0.1044314079815058,False,True,True,True
2453,2019,2020,0.9624,419576,490324,CMIG4,2021-03-30,2021-03-30,2022-04-04,0.3069675229082971,0.0379105905904568,0.2690569323178402,False,True,True,True
2453,2020,2021,0.9734,490324,466601,CMIG4,2022-03-29,2022-03-29,2023-03-30,0.0078551913406093,-0.1358232948659312,0.1436784862065405,False,True,True,True
2453,2021,2022,0.9772,466601,430756,CMIG4,2023-03-25,2023-03-27,2024-04-02,0.164370982560474,0.2797022026684534,-0.1153312201079794,False,True,True,True
2453,2022,2023,0.9693,430756,405851,CMIG4,2024-03-21,2024-03-21,2025-03-25,0.1480099502392371,0.03050221300066,0.1175077372385771,False,True,True,True
2453,2023,2024,0.9686,405851,412561,CMIG4,2025-03-21,2025-03-21,2026-03-25,0.1537037037037036,0.4010687833182516,-0.2473650796145479,False,True,True,True
2577,2015,2016,0.9647,208879,214624,CESP6,2017-03-24,2017-03-24,2018-04-04,-0.1537199124726477,0.3211387518700932,-0.4748586643427409,False,True,True,True
2577,2016,2017,0.9695,214624,255415,CESP6,2018-03-21,2018-03-21,2019-04-01,0.5773324984345649,0.1303636683938482,0.4469688300407166,False,True,True,True
2577,2017,2018,0.9615,255415,235309,CESP6,2019-03-22,2019-03-22,2020-03-26,0.1126016260162601,-0.1709656409575275,0.2835672669737876,False,True,True,True
2577,2018,2019,0.8204,235309,134950,CESP6,2020-02-17,2020-02-17,2021-02-25,-0.2159976898642795,-0.0264744066166504,-0.1895232832476291,False,True,True,True
3980,2015,2016,0.991,203796,201424,GGBR4,2017-02-22,2017-02-22,2018-03-06,0.2448512589221287,0.2487765264533736,-0.0039252675312448,False,True,True,True
3980,2016,2017,0.9829,201424,211551,GGBR4,2018-02-28,2018-02-28,2019-03-11,-0.1034897709784652,0.148476824466317,-0.2519665954447823,False,True,True,True
3980,2017,2018,0.9855,211551,220360,GGBR4,2019-02-21,2019-02-21,2020-02-28,0.1211920536576292,0.0746844162423927,0.0465076374152364,False,True,True,True
3980,2021,2022,0.9839,221121,226913,GGBR4,2023-03-01,2023-03-01,2024-03-06,-0.2395325202292968,0.2347620584516865,-0.4742945786809833,False,True,True,True
3980,2022,2023,0.9869,226913,225135,GGBR4,2024-02-20,2024-02-20,2025-02-19,-0.0265420558928115,-0.0200691815664739,-0.0064728743263375,False,True,True,True
3980,2023,2024,0.9726,225135,239444,GGBR4,2025-02-24,2025-02-24,2026-03-02,0.2784265519360787,0.509608745932461,-0.2311821939963823,False,True,True,True
4170,2015,2016,0.9052,224509,237390,VALE3,2017-02-23,2017-02-23,2018-03-07,0.2918299668375037,0.2671477714882542,0.0246821953492495,False,True,True,True
4170,2016,2017,0.9392,237390,227057,VALE3,2018-02-27,2018-02-27,2019-03-08,0.0321149376716671,0.0969617223999785,-0.0648467847283114,False,True,True,True
4170,2017,2018,0.8964,227057,248583,VALE3,2019-04-18,2019-04-18,2020-04-24,-0.1677443895017116,-0.2035102993013404,0.0357659097996287,False,True,True,True
4170,2020,2021,0.9428,274603,306915,VALE3,2022-02-24,2022-02-24,2023-03-01,0.0189627598811972,-0.0645853501693268,0.0835481100505241,False,True,True,True
4170,2021,2022,0.9321,306915,323774,VALE3,2023-02-16,2023-02-16,2024-02-26,-0.262809732032739,0.1788914755179711,-0.4417012075507102,False,True,True,True
4170,2022,2023,0.939,323774,344928,VALE3,2024-02-22,2024-02-22,2025-02-21,-0.1347813150847961,-0.0238980102587097,-0.1108833048260864,False,True,True,True
4170,2023,2024,0.9444,344928,322916,VALE3,2025-03-17,2025-03-17,2026-03-19,0.342031523642732,0.3778580117883765,-0.0358264881456444,False,True,True,True
4820,2016,2017,0.9885,296557,279551,BRKM5,2018-03-29,2018-03-29,2019-04-09,-0.0060416666666666,0.1279934202973658,-0.1340350869640324,False,True,True,True
4820,2021,2022,0.9889,343707,308708,BRKM5,2023-03-23,2023-03-23,2024-03-28,0.5865384615384615,0.3081883791429354,0.278350082395526,False,True,True,True
5258,2019,2020,0.9354,166326,182671,RADL3,2021-03-09,2021-03-09,2022-03-14,-0.0456521737105088,-0.0126021035362957,-0.0330500701742131,False,True,True,True
5258,2020,2021,0.5221,182671,251661,RADL3,2022-02-22,2022-02-22,2023-02-27,-0.0400000000893305,-0.063607365636831,0.0236073655475004,False,True,True,True
5258,2021,2022,0.9492,251661,242447,RADL3,2023-03-07,2023-03-07,2024-03-12,0.1813937582078095,0.224890871381596,-0.0434971131737864,False,True,True,True
5258,2022,2023,0.9479,242447,249418,RADL3,2024-03-05,2024-03-05,2025-03-07,-0.2977129339591708,-0.0239151069442007,-0.2737978270149701,False,True,True,True
5258,2023,2024,0.9618,249418,249898,RADL3,2025-03-20,2025-03-20,2026-03-24,0.2243119264557418,0.3831175651680993,-0.1588056387123575,False,True,True,True
5410,2015,2016,0.9873,89851,91393,WEGE3,2017-02-22,2017-02-22,2018-03-06,0.3286549706745185,0.2487765264533736,0.0798784442211448,False,True,True,True
5410,2016,2017,0.9833,91393,94422,WEGE3,2018-02-28,2018-02-28,2019-03-11,0.053994019631713,0.148476824466317,-0.094482804834604,False,True,True,True
5410,2017,2018,0.9814,94422,100991,WEGE3,2019-04-10,2019-04-10,2020-04-15,1.0731042007637752,-0.1784405875974234,1.2515447883611983,True,True,True,True
