cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2021,2022,0.902,388979,267385,stayed,True,True,True,AXIA3,2023-03-13,2023-03-13,2023-03-15,0.06177485105048608,-0.00432412838620444,0.06609897943669052
2437,2022,2023,0.8666,267385,237349,stayed,True,True,True,AXIA3,2024-05-14,2024-05-14,2024-05-16,0.004968619246861872,-0.0018042183086257602,0.006772837555487632
2437,2023,2024,0.8724,237349,251026,stayed,True,True,True,AXIA3,2025-03-16,2025-03-17,2025-03-19,0.037348503586445814,0.012798588378736042,0.02454991520770977
2453,2015,2016,0.9798,360670,363606,stayed,True,True,True,CMIG4,2017-04-11,2017-04-11,2017-04-13,-0.08704453440424775,-0.023827144246430954,-0.0632173901578168
2453,2016,2017,0.9651,363606,357785,stayed,True,True,True,CMIG4,2018-03-29,2018-03-29,2018-04-03,-0.019859813149171957,-0.008693201333183964,-0.011166611815987992
2453,2017,2018,0.9727,357785,421356,stayed,True,True,True,CMIG4,2019-04-01,2019-04-01,2019-04-03,-0.014398848187938573,-0.016271708390397377,0.0018728602024588037
2453,2018,2019,0.9777,421356,419576,stayed,True,True,True,CMIG4,2020-04-01,2020-04-01,2020-04-03,-0.05693950188039654,-0.020138177483242092,-0.036801324397154445
2453,2019,2020,0.9624,419576,490324,stayed,True,True,True,CMIG4,2021-03-30,2021-03-30,2021-04-01,-0.013899613862647597,-0.013661656040620418,-0.0002379578220271794
2453,2020,2021,0.9734,490324,466601,stayed,True,True,True,CMIG4,2022-03-29,2022-03-29,2022-03-31,0.038934426288409485,-0.0001244853003607993,0.039058911588770284
2453,2021,2022,0.9772,466601,430756,stayed,True,True,True,CMIG4,2023-03-25,2023-03-27,2023-03-29,0.022956841101717584,0.021290659108961885,0.0016661819927556998
2453,2022,2023,0.9693,430756,405851,stayed,True,True,True,CMIG4,2024-03-21,2024-03-21,2024-03-25,0.03150912102793124,-0.0095748571476727,0.04108397817560394
2453,2023,2024,0.9686,405851,412561,stayed,True,True,True,CMIG4,2025-03-21,2025-03-21,2025-03-25,-0.01388888888888895,-0.0020944520105349307,-0.01179443687835402
