cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2015,2016,0.6321,9586,14143,regex_only,regex_only,current_66,,AXIA3,2017-03-27,2017-03-27,2018-10-04,0.028349082617622923,0.28992204594143933,-0.2615729633238164
2437,AXIA ENERGIA,2016,2017,0.8612,14143,10090,regex_only,regex_only,current_66,,AXIA3,2018-03-27,2018-03-27,2019-10-04,0.7523680646688593,0.22364498398423538,0.5287230806846239
2437,AXIA ENERGIA,2017,2018,0.0165,10090,1362,regex_only,regex_only,current_66,,AXIA3,2019-03-27,2019-03-27,2020-09-30,-0.09458131416781124,0.02937845607453049,-0.12395977024234173
2437,AXIA ENERGIA,2018,2019,0.0,1362,239,regex_only,font_heading,current_66,,AXIA3,2020-03-27,2020-03-27,2021-10-05,0.7362428842504745,0.5042826532049149,0.23196023104555952
2437,AXIA ENERGIA,2019,2020,0.4229,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2022-09-22,0.38771824202287775,-0.018508610879322096,0.40622685290219984
2437,AXIA ENERGIA,2020,2021,0.9383,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2023-09-20,0.03023388476896738,0.029350301719065497,0.0008835830499018815
2437,AXIA ENERGIA,2021,2022,0.1881,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2024-09-13,0.30197554092191914,0.3079923499845232,-0.006016809062604045
2437,AXIA ENERGIA,2022,2023,0.2172,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2025-11-12,0.6134937238493723,0.22656731885004677,0.3869264049993255
2453,CEMIG,2015,2016,0.9405,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2018-10-22,0.10155210295583661,0.32997155522104715,-0.22841945226521054
2453,CEMIG,2016,2017,0.8959,15122,17835,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2019-10-08,0.6133177571311661,0.17121471469290417,0.44210304243826193
2453,CEMIG,2017,2018,0.8551,17835,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2020-10-05,-0.21296792658069552,0.00036166986537322643,-0.21332959644606875
2453,CEMIG,2018,2019,0.9207,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2021-10-08,0.9457308187894713,0.5899457069301517,0.3557851118593196
2453,CEMIG,2019,2020,0.9429,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2022-10-03,0.33305521459521725,-0.006120770388140517,0.33917598498335777
2453,CEMIG,2020,2021,0.8919,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2023-09-29,0.10198087436165593,-0.028738273155578198,0.13071914751723412
2453,CEMIG,2021,2022,0.8023,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2024-09-27,0.3513314967736332,0.3316919243984702,0.019639572375163006
2453,CEMIG,2022,2023,0.8339,16412,11722,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2025-09-23,0.23101160861334158,0.14252944613848295,0.08848216247485863
3980,GERDAU,2015,2016,0.9105,6325,5022,font_heading,font_heading,current_66,,GGBR4,2017-02-22,2017-02-22,2018-09-04,0.1906941272726288,0.08925922389051966,0.10143490338210914
3980,GERDAU,2016,2017,0.8342,5022,5266,font_heading,font_heading,current_66,,GGBR4,2018-02-28,2018-02-28,2019-09-09,-0.2111913360726062,0.20886069349865677,-0.420052029571263
3980,GERDAU,2017,2018,0.8969,5266,5334,font_heading,font_heading,current_66,,GGBR4,2019-02-21,2019-02-21,2020-08-28,0.29801324585097144,0.05375536959982452,0.24425787625114692
3980,GERDAU,2018,2019,0.1099,5334,2727,font_heading,regex_only,current_66,,GGBR4,2020-02-19,2020-02-19,2021-08-30,0.4043073914725044,0.02765556448124573,0.37665182699125865
3980,GERDAU,2019,2020,0.8471,2727,3256,regex_only,regex_only,current_66,,GGBR4,2021-02-24,2021-02-24,2022-08-29,-0.11717022826651191,-0.028916090548292694,-0.08825413771821922
