cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2019,2020,0.4229,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2021-06-21,0.4319686935580975,0.112228555144406,0.3197401384136915
2437,AXIA ENERGIA,2020,2021,0.9383,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2022-06-20,0.2450085567598401,-0.1340570462933646,0.3790656030532048
2437,AXIA ENERGIA,2021,2022,0.1881,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2023-06-14,0.23769206647852,0.1546470100859802,0.0830450563925397
2437,AXIA ENERGIA,2022,2023,0.2172,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2024-08-12,0.0308577405857741,0.0202342145682203,0.0106235260175537
2437,AXIA ENERGIA,2023,2024,0.6798,16334,7881,font_heading,font_heading,current_66,,AXIA3,2025-03-16,2025-03-17,2025-06-17,0.0249814494187483,0.0611925221861355,-0.0362110727673872
2453,CEMIG,2015,2016,0.9405,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2017-07-13,-0.1082995951808847,0.0127185001691272,-0.1210180953500119
2453,CEMIG,2016,2017,0.8959,15122,17835,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2018-06-29,-0.1471962616656433,-0.1476362364400819,0.0004399747744385
2453,CEMIG,2017,2018,0.8551,17835,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2019-07-02,0.0583153347515594,0.0473767743191491,0.0109385604324103
2453,CEMIG,2018,2019,0.9207,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2020-07-03,0.320284697553618,0.3635247235675325,-0.0432400260139145
2453,CEMIG,2019,2020,0.9429,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2021-06-30,0.0443686464155523,0.0851691750605714,-0.040800528645019
2453,CEMIG,2020,2021,0.8919,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2022-06-29,-0.0773907103657264,-0.1699181854942628,0.0925274751285364
2453,CEMIG,2021,2022,0.8023,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2023-06-28,0.1496786042410498,0.1706709118558385,-0.0209923076147886
2453,CEMIG,2022,2023,0.8339,16412,11722,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2024-06-21,0.1329187396257636,-0.0531953501041717,0.1861140897299353
2453,CEMIG,2023,2024,0.8613,11722,15533,font_heading,font_heading,current_66,,CMIG4,2025-03-21,2025-03-21,2025-06-24,-0.0305555555555555,0.0364179558740767,-0.0669735114296322
3980,GERDAU,2015,2016,0.9105,6325,5022,font_heading,font_heading,current_66,,GGBR4,2017-02-22,2017-02-22,2017-05-29,-0.2517162467696642,-0.0703986248634085,-0.1813176219062556
3980,GERDAU,2016,2017,0.8342,5022,5266,font_heading,font_heading,current_66,,GGBR4,2018-02-28,2018-02-28,2018-05-30,-0.1095066181988991,-0.1007569804620989,-0.0087496377368002
3980,GERDAU,2017,2018,0.8969,5266,5334,font_heading,font_heading,current_66,,GGBR4,2019-02-21,2019-02-21,2019-05-27,-0.0847682114596553,-0.021334690707233,-0.0634335207524222
3980,GERDAU,2021,2022,0.7876,3332,3399,font_heading,font_heading,current_66,,GGBR4,2023-03-01,2023-03-01,2023-06-01,-0.1360264226746326,0.0592039999743256,-0.1952304226489583
3980,GERDAU,2022,2023,0.8014,3399,1936,font_heading,font_heading,current_66,,GGBR4,2024-02-20,2024-02-20,2024-05-21,0.0626168226285266,-0.019278286580471,0.0818951092089976
3980,GERDAU,2023,2024,0.7301,1936,3287,font_heading,font_heading,current_66,,GGBR4,2025-02-24,2025-02-24,2025-05-29,-0.0319606637984019,0.1047222925297952,-0.1366829563281971
4030,SID NACIONAL,2015,2016,0.7874,5211,5743,font_heading,font_heading,current_66,,CSNA3,2017-10-28,2017-10-30,2018-02-05,0.1871345029239766,0.0943946244094613,0.0927398785145152
4030,SID NACIONAL,2016,2017,0.65,5743,6926,font_heading,font_heading,current_66,,CSNA3,2018-04-06,2018-04-06,2018-07-06,-0.0754060324825985,-0.1156564657425652,0.0402504332599666
4030,SID NACIONAL,2017,2018,0.7251,6926,7544,font_heading,font_heading,current_66,,CSNA3,2019-02-20,2019-02-20,2019-05-24,0.6347248576850097,-0.0302140529356264,0.6649389106206361
4030,SID NACIONAL,2018,2019,0.7355,7544,5921,font_heading,font_heading,current_66,,CSNA3,2020-03-04,2020-03-04,2020-06-04,-0.148538961038961,-0.1249306593101183,-0.0236083017288426
4030,SID NACIONAL,2021,2022,0.7047,6982,4393,font_heading,font_heading,current_66,,CSNA3,2023-03-16,2023-03-16,2023-06-19,-0.0920162381596751,0.1587775316320465,-0.2507937697917217
4030,SID NACIONAL,2022,2023,0.989,4393,4389,font_heading,font_heading,current_66,,CSNA3,2024-03-06,2024-03-06,2024-06-06,-0.2384384384384383,-0.0464847490767919,-0.1919536893616464
4030,SID NACIONAL,2023,2024,0.8944,4389,4138,font_heading,font_heading,current_66,,CSNA3,2025-03-12,2025-03-12,2025-06-12,-0.0212514757969305,0.1125128871701508,-0.1337643629670813
4170,VALE,2015,2016,0.8446,5438,8641,font_heading,font_heading,current_66,,VALE3,2017-02-23,2017-02-23,2017-05-30,-0.1377750979801024,-0.0518684835874269,-0.0859066143926755
4170,VALE,2016,2017,0.9393,8641,9102,font_heading,font_heading,current_66,,VALE3,2018-02-27,2018-02-27,2018-05-29,0.0597929431650114,-0.1249600853230857,0.1847530284880972
4170,VALE,2017,2018,0.7651,9102,4664,font_heading,font_heading,current_66,,VALE3,2019-04-18,2019-04-18,2019-07-22,-0.0024724229745148,0.0990845041978991,-0.101556927172414
4170,VALE,2020,2021,0.9242,11224,12192,font_heading,font_heading,current_66,,VALE3,2022-02-24,2022-02-24,2022-05-30,-0.0101667809001598,-0.005016136032132,-0.0051506448680278
4170,VALE,2021,2022,0.4372,12192,2673,font_heading,font_heading,current_66,,VALE3,2023-02-16,2023-02-16,2023-05-23,-0.2537279964121538,-0.0001176080434078,-0.2536103883687459
4170,VALE,2022,2023,0.0607,2673,554,font_heading,font_heading,current_66,,VALE3,2024-02-22,2024-02-22,2024-05-23,-0.0322820589110384,-0.0423151622133045,0.0100331033022661
4170,VALE,2023,2024,1.0,554,554,font_heading,font_heading,current_66,,VALE3,2025-03-17,2025-03-17,2025-06-17,-0.0996497373029773,0.0611925221861355,-0.1608422594891129
5258,RAIA DROGASIL,2019,2020,0.6223,8158,25292,font_heading,font_heading,current_66,,RADL3,2021-03-09,2021-03-09,2021-06-09,0.2134782612622014,0.1668559826577811,0.0466222786044203
5258,RAIA DROGASIL,2020,2021,0.6294,25292,10190,font_heading,font_heading,current_66,,RADL3,2022-02-22,2022-02-22,2022-05-26,-0.1418947367311474,-0.0088750467261572,-0.1330196900049901
5258,RAIA DROGASIL,2021,2022,0.9063,10190,12138,font_heading,font_heading,current_66,,RADL3,2023-03-07,2023-03-07,2023-06-07,0.2596494227523689,0.1080346697857284,0.1516147529666405
5258,RAIA DROGASIL,2022,2023,0.7692,12138,5541,font_heading,font_heading,current_66,,RADL3,2024-03-05,2024-03-05,2024-06-05,-0.0161671926564537,-0.0522316839803491,0.0360644913238954
5258,RAIA DROGASIL,2023,2024,0.7601,5541,14023,font_heading,font_heading,current_66,,RADL3,2025-03-20,2025-03-20,2025-06-23,-0.2604485218030032,0.0348270507574937,-0.2952755725604969
5410,WEG,2015,2016,0.9901,2516,2501,font_heading,font_heading,current_66,,WEGE3,2017-02-22,2017-02-22,2017-05-29,0.1087719297648095,-0.0703986248634085,0.179170554628218
5410,WEG,2016,2017,0.9851,2501,2524,font_heading,font_heading,current_66,,WEGE3,2018-02-28,2018-02-28,2018-05-30,-0.0459632635788814,-0.1007569804620989,0.0547937168832174
5410,WEG,2017,2018,0.9839,2524,2615,font_heading,font_heading,current_66,,WEGE3,2019-04-10,2019-04-10,2019-07-12,0.2596835788325151,0.0828792503031419,0.1768043285293732
5410,WEG,2018,2019,0.9799,2615,2633,font_heading,font_heading,current_66,,WEGE3,2020-02-19,2020-02-19,2020-05-25,-0.2208111429741909,-0.2648022273029997,0.0439910843288088
5410,WEG,2019,2020,0.9697,2633,2695,font_heading,font_heading,current_66,,WEGE3,2021-02-24,2021-02-24,2021-05-26,-0.243367935409458,0.0719421605567254,-0.3153100959661834
5410,WEG,2020,2021,0.8928,2695,2214,font_heading,font_heading,current_66,,WEGE3,2022-02-16,2022-02-16,2022-05-20,-0.1696485623003195,-0.0581091751717622,-0.1115393871285572
5410,WEG,2021,2022,0.8959,2214,2482,font_heading,font_heading,current_66,,WEGE3,2023-02-15,2023-02-15,2023-05-22,0.0380658436213992,0.0055928760674941,0.032472967553905
5410,WEG,2022,2023,0.9747,2482,2322,font_heading,font_heading,current_66,,WEGE3,2024-02-21,2024-02-21,2024-05-22,0.0723450723450722,-0.0336960452222452,0.1060411175673174
5410,WEG,2023,2024,0.9107,2322,2484,font_heading,font_heading,current_66,,WEGE3,2025-02-26,2025-02-26,2025-06-02,-0.1253918495297805,0.0963217460531569,-0.2217135955829374
8133,LOJAS RENNER,2017,2018,0.6408,6401,4064,font_heading,font_heading,current_66,,LREN3,2019-02-07,2019-02-07,2019-05-13,0.0264129181987951,-0.0283780865094959,0.054791004708291
8133,LOJAS RENNER,2022,2023,0.0771,2231,3472,font_heading,font_heading,current_66,,LREN3,2024-03-14,2024-03-14,2024-06-14,-0.2253179889627306,-0.0628678196102637,-0.1624501693524668
8133,LOJAS RENNER,2023,2024,0.0479,3472,4613,font_heading,font_heading,current_66,,LREN3,2025-02-20,2025-02-20,2025-05-27,0.3092633114514951,0.0935783363994113,0.2156849750520837
8451,MARCOPOLO,2015,2016,1.0,703,703,font_heading,font_heading,current_66,,POMO4,2017-02-23,2017-02-23,2017-05-30,-0.024390244206874,-0.0518684835874269,0.0274782393805528
8451,MARCOPOLO,2016,2017,1.0,703,703,font_heading,font_heading,current_66,,POMO4,2018-02-22,2018-02-22,2018-05-24,-0.0455696202480623,-0.0757227917396548,0.0301531714915924
8451,MARCOPOLO,2017,2018,1.0,703,703,font_heading,font_heading,current_66,,POMO4,2019-02-26,2019-02-26,2019-05-30,-0.0856423175093301,-0.0014870520734612,-0.0841552654358689
8451,MARCOPOLO,2018,2019,1.0,703,703,font_heading,font_heading,current_66,,POMO4,2020-02-27,2020-02-27,2020-05-29,-0.4666666666666667,-0.1512952074846941,-0.3153714591819725
