cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2019,2020,0.4072,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2022-03-24,0.0891029500301023,0.0243614826093399,0.0647414674207624
2437,AXIA ENERGIA,2020,2021,0.9366,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2023-03-21,-0.1206503137478608,-0.1241233808665632,0.0034730671187024
2437,AXIA ENERGIA,2021,2022,0.1851,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2024-03-18,0.2997804954531202,0.2311142909674581,0.068666204485662
2437,AXIA ENERGIA,2022,2023,0.2157,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2025-05-19,0.1035564853556485,0.086533693331442,0.0170227920242065
2437,AXIA ENERGIA,2023,2024,0.6708,16334,7881,font_heading,font_heading,current_66,,AXIA3,2025-03-16,2025-03-17,2026-03-19,0.7963813569051086,0.3778580117883765,0.418523345116732
2453,CEMIG,2015,2016,0.9415,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2018-04-20,-0.1208465679997133,0.3292475006521929,-0.4500940686519062
2453,CEMIG,2016,2017,0.8388,15122,1941,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2019-04-09,0.6436915887906693,0.1279934202973658,0.5156981684933035
2453,CEMIG,2017,2018,0.5779,1941,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2020-04-03,-0.4276457884135006,-0.2760610258035937,-0.1515847626099069
2453,CEMIG,2018,2019,0.9205,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2021-04-09,0.5536687995806324,0.6581002075621383,-0.1044314079815058
2453,CEMIG,2019,2020,0.9419,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2022-04-04,0.3069675229082971,0.0379105905904568,0.2690569323178402
2453,CEMIG,2020,2021,0.8916,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2023-03-30,0.0078551913406093,-0.1358232948659312,0.1436784862065405
2453,CEMIG,2021,2022,0.8024,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2024-04-02,0.164370982560474,0.2797022026684534,-0.1153312201079794
2453,CEMIG,2022,2023,0.4892,16412,2587,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2025-03-25,0.1480099502392371,0.03050221300066,0.1175077372385771
2453,CEMIG,2023,2024,0.4062,2587,2392,font_heading,font_heading,current_66,,CMIG4,2025-03-21,2025-03-21,2026-03-25,0.1537037037037036,0.4010687833182516,-0.2473650796145479
3980,GERDAU,2015,2016,0.9111,6325,5022,font_heading,font_heading,current_66,,GGBR4,2017-02-22,2017-02-22,2018-03-06,0.2448512589221287,0.2487765264533736,-0.0039252675312448
3980,GERDAU,2016,2017,0.8321,5022,5266,font_heading,font_heading,current_66,,GGBR4,2018-02-28,2018-02-28,2019-03-11,-0.1034897709784652,0.148476824466317,-0.2519665954447823
3980,GERDAU,2017,2018,0.8958,5266,5334,font_heading,font_heading,current_66,,GGBR4,2019-02-21,2019-02-21,2020-02-28,0.1211920536576292,0.0746844162423927,0.0465076374152364
3980,GERDAU,2021,2022,0.7895,3332,3399,font_heading,font_heading,current_66,,GGBR4,2023-03-01,2023-03-01,2024-03-06,-0.2395325202292968,0.2347620584516865,-0.4742945786809833
3980,GERDAU,2022,2023,0.8007,3399,1936,font_heading,font_heading,current_66,,GGBR4,2024-02-20,2024-02-20,2025-02-19,-0.0265420558928115,-0.0200691815664739,-0.0064728743263375
3980,GERDAU,2023,2024,0.729,1936,3287,font_heading,font_heading,current_66,,GGBR4,2025-02-24,2025-02-24,2026-03-02,0.2784265519360787,0.509608745932461,-0.2311821939963823
4030,SID NACIONAL,2015,2016,0.7888,5211,5743,font_heading,font_heading,current_66,,CSNA3,2017-10-28,2017-10-30,2018-11-08,0.1461988304093566,0.1446489414352931,0.0015498889740634
4030,SID NACIONAL,2016,2017,0.6488,5743,6926,font_heading,font_heading,current_66,,CSNA3,2018-04-06,2018-04-06,2019-04-16,0.8120649651972158,0.1121532998775529,0.6999116653196629
4030,SID NACIONAL,2017,2018,0.7259,6926,7544,font_heading,font_heading,current_66,,CSNA3,2019-02-20,2019-02-20,2020-02-27,0.0740037950664138,0.0666912079478949,0.0073125871185188
4030,SID NACIONAL,2018,2019,0.7347,7544,5921,font_heading,font_heading,current_66,,CSNA3,2020-03-04,2020-03-04,2021-03-11,2.025974025974026,0.0723676185040316,1.9536064074699944
4030,SID NACIONAL,2021,2022,0.7027,6982,4393,font_heading,font_heading,current_66,,CSNA3,2023-03-16,2023-03-16,2024-03-21,0.1021650879566982,0.2390292576975647,-0.1368641697408665
4030,SID NACIONAL,2022,2023,0.9889,4393,4389,font_heading,font_heading,current_66,,CSNA3,2024-03-06,2024-03-06,2025-03-10,-0.4798798798798798,-0.0339114143872657,-0.445968465492614
