family,scenario,controls,n,coef,p_value
H1_return,narrow_annual,none,704,-0.03521387961102169,0.5785576828993689
H1_return,narrow_annual,full_with_size,671,-0.026556500622127485,0.6096893089570632
H1_return,narrow_annual,no_size,671,-0.026507779494687533,0.6103516051657498
H1_return,narrow_quarterly,none,2245,0.0018618087832381052,0.8985261531174348
H1_return,narrow_quarterly,full_with_size,2138,-0.00038237986221917645,0.9764787483592603
H1_return,narrow_quarterly,no_size,2138,0.00020673198484284403,0.9871823224021716
H1_return,whole_notes,none,429,-0.07084189049588334,0.6405430881017977
H1_return,whole_notes,full_with_size,411,-0.07106855743004344,0.6250942399303407
H1_return,whole_notes,no_size,411,-0.09344271969185351,0.5130268109170559
H1_return,mgmt_report,none,504,0.18697649389745707,0.13955787815207837
H1_return,mgmt_report,full_with_size,484,0.25322910555086475,0.03392516724190116
H1_return,mgmt_report,no_size,484,0.2577825953142957,0.030876541331515347
H1_delisting,narrow_annual,none,816,-0.021623137949229362,0.771242429757498
H1_delisting,narrow_annual,full_with_size,683,-0.01435030921837203,0.8298692643515423
H1_delisting,narrow_annual,no_size,683,-0.015910969053945442,0.8276980884003583
H1_delisting,whole_notes,none,487,-0.3777636939099615,0.08636422633002473
H1_delisting,whole_notes,full_with_size,415,-0.20530777865823405,0.3912512933411696
H1_delisting,whole_notes,no_size,415,-0.3542769999353523,0.1250737046325507
H1_delisting,mgmt_report,none,562,-0.46375598660861134,0.03272565223689645
H1_delisting,mgmt_report,full_with_size,491,-0.34111145290897055,0.11328429693265898
H1_delisting,mgmt_report,no_size,491,-0.4435304347856267,0.05916694396000478
H2_revision,narrow_annual,none,528,-0.1715063974702945,0.6152653350994883
H2_revision,narrow_annual,full_with_size,518,-0.17139461805519965,0.6225536532690816
H2_revision,narrow_annual,no_size,518,-0.17888407450276436,0.6046286767575839
H2_revision,narrow_quarterly,none,1704,0.029116446399082813,0.9224472556703373
H2_revision,narrow_quarterly,full_with_size,1678,-0.07512471289422988,0.7863837778790705
H2_revision,narrow_quarterly,no_size,1678,-0.08143393037001383,0.7672519243591926
H2_revision,whole_notes,none,323,-0.3391147943946488,0.5687113278895558
H2_revision,whole_notes,full_with_size,316,-0.07559535647357304,0.9018499534169819
H2_revision,whole_notes,no_size,316,-0.11320869803328862,0.8544697680827991
H2_revision,mgmt_report,none,391,-0.2555391310177948,0.6891771491313681
H2_revision,mgmt_report,full_with_size,386,-0.22101717281001892,0.7214816762448746
H2_revision,mgmt_report,no_size,386,-0.25118295641595506,0.6929606427460508
