cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
002437,2015,2016,0.9441,369414,320795
002437,2016,2017,0.9492,320795,326087
002437,2017,2018,0.9313,326087,312934
002437,2018,2019,0.8618,312934,692624
002437,2019,2020,0.9297,692624,640997
002437,2020,2021,0.8941,640997,388979
002437,2021,2022,0.902,388979,267385
002437,2022,2023,0.8666,267385,237349
002437,2023,2024,0.8724,237349,251026
002453,2015,2016,0.9798,360670,363606
002453,2016,2017,0.9651,363606,357785
002453,2017,2018,0.9727,357785,421356
002453,2018,2019,0.9777,421356,419576
002453,2019,2020,0.9624,419576,490324
002453,2020,2021,0.9734,490324,466601
002453,2021,2022,0.9772,466601,430756
002453,2022,2023,0.9693,430756,405851
002453,2023,2024,0.9686,405851,412561
002577,2015,2016,0.9647,208879,214624
002577,2016,2017,0.9695,214624,255415
002577,2017,2018,0.9615,255415,235309
002577,2018,2019,0.8204,235309,134950
002577,2019,2020,0.8674,134950,154352
002577,2020,2021,0.0069,154352,161841
002577,2021,2022,0.0075,161841,134711
002577,2022,2023,0.7919,134711,124831
002577,2023,2024,0.9125,124831,138135
003980,2015,2016,0.991,203796,201424
003980,2016,2017,0.9829,201424,211551
003980,2017,2018,0.9855,211551,220360
003980,2018,2019,0.5646,220360,39264
003980,2019,2020,0.7778,39264,39883
003980,2020,2021,0.5008,39883,221121
003980,2021,2022,0.9839,221121,226913
003980,2022,2023,0.9869,226913,225135
003980,2023,2024,0.9726,225135,239444
004030,2015,2016,0.917,285063,323662
004030,2016,2017,0.9262,323662,271289
004030,2017,2018,0.9792,271289,273985
004030,2018,2019,0.9764,273985,274698
004030,2019,2020,0.7701,274698,108318
004030,2020,2021,0.7728,108318,277847
004030,2021,2022,0.9608,277847,286438
004030,2022,2023,0.9668,286438,247953
004030,2023,2024,0.9658,247953,276107
004170,2015,2016,0.9052,224509,237390
004170,2016,2017,0.9392,237390,227057
004170,2017,2018,0.8964,227057,248583
004170,2018,2019,0.579,248583,90315
004170,2019,2020,0.5645,90315,274603
004170,2020,2021,0.9428,274603,306915
004170,2021,2022,0.9321,306915,323774
004170,2022,2023,0.939,323774,344928
004170,2023,2024,0.9444,344928,322916
004820,2015,2016,0.8039,64386,296557
004820,2016,2017,0.9885,296557,279551
004820,2017,2018,0.8387,279551,93770
004820,2018,2019,0.8316,93770,315972
004820,2019,2020,0.7571,315972,133746
004820,2020,2021,0.7773,133746,343707
004820,2021,2022,0.9889,343707,308708
004820,2022,2023,0.8016,308708,109681
004820,2023,2024,0.7925,109681,260453
005258,2015,2016,0.8694,50853,41986
005258,2016,2017,0.7544,41986,43769
005258,2017,2018,0.7994,43769,48943
005258,2018,2019,0.2671,48943,166326
005258,2019,2020,0.9354,166326,182671
005258,2020,2021,0.5221,182671,251661
005258,2021,2022,0.9492,251661,242447
