cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_bad,curr_bad,either_bad
2437,2015,2016,0.9441,369414,320795,stayed,False,False,False
2437,2016,2017,0.9492,320795,326087,stayed,False,False,False
2437,2017,2018,0.9313,326087,312934,stayed,False,False,False
2437,2018,2019,0.8618,312934,692624,stayed,False,False,False
2437,2019,2020,0.9297,692624,640997,stayed,False,False,False
2437,2020,2021,0.8941,640997,388979,stayed,False,False,False
2437,2021,2022,0.902,388979,267385,stayed,False,False,False
2437,2022,2023,0.8666,267385,237349,stayed,False,False,False
2437,2023,2024,0.8724,237349,251026,stayed,False,False,False
2453,2015,2016,0.9798,360670,363606,stayed,False,False,False
2453,2016,2017,0.9651,363606,357785,stayed,False,False,False
2453,2017,2018,0.9727,357785,421356,stayed,False,False,False
2453,2018,2019,0.9777,421356,419576,stayed,False,False,False
2453,2019,2020,0.9624,419576,490324,stayed,False,False,False
2453,2020,2021,0.9734,490324,466601,stayed,False,False,False
2453,2021,2022,0.9772,466601,430756,stayed,False,False,False
2453,2022,2023,0.9693,430756,405851,stayed,False,False,False
2453,2023,2024,0.9686,405851,412561,stayed,False,False,False
2577,2015,2016,0.9647,208879,214624,dropped_or_delisted,False,False,False
2577,2016,2017,0.9695,214624,255415,dropped_or_delisted,False,False,False
2577,2017,2018,0.9615,255415,235309,dropped_or_delisted,False,False,False
2577,2018,2019,0.8204,235309,134950,dropped_or_delisted,False,False,False
2577,2019,2020,0.8674,134950,154352,dropped_or_delisted,False,False,False
2577,2020,2021,0.0069,154352,161841,dropped_or_delisted,False,False,False
2577,2021,2022,0.0075,161841,134711,dropped_or_delisted,False,False,False
2577,2022,2023,0.7919,134711,124831,dropped_or_delisted,False,False,False
2577,2023,2024,0.9125,124831,138135,dropped_or_delisted,False,False,False
3980,2015,2016,0.991,203796,201424,stayed,False,False,False
3980,2016,2017,0.9829,201424,211551,stayed,False,False,False
3980,2017,2018,0.9855,211551,220360,stayed,False,False,False
3980,2018,2019,0.5646,220360,39264,stayed,False,False,False
3980,2019,2020,0.7778,39264,39883,stayed,False,False,False
3980,2020,2021,0.5008,39883,221121,stayed,False,False,False
3980,2021,2022,0.9839,221121,226913,stayed,False,False,False
3980,2022,2023,0.9869,226913,225135,stayed,False,False,False
3980,2023,2024,0.9726,225135,239444,stayed,False,False,False
4030,2015,2016,0.917,285063,323662,stayed,False,False,False
4030,2016,2017,0.9262,323662,271289,stayed,False,False,False
