cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,group,prev_ok,curr_ok,both_ok
2437,2021,2022,0.902,388979,267385,stayed,True,True,True
2437,2022,2023,0.8666,267385,237349,stayed,True,True,True
2437,2023,2024,0.8724,237349,251026,stayed,True,True,True
2453,2015,2016,0.9798,360670,363606,stayed,True,True,True
2453,2016,2017,0.9651,363606,357785,stayed,True,True,True
2453,2017,2018,0.9727,357785,421356,stayed,True,True,True
2453,2018,2019,0.9777,421356,419576,stayed,True,True,True
2453,2019,2020,0.9624,419576,490324,stayed,True,True,True
2453,2020,2021,0.9734,490324,466601,stayed,True,True,True
2453,2021,2022,0.9772,466601,430756,stayed,True,True,True
2453,2022,2023,0.9693,430756,405851,stayed,True,True,True
2453,2023,2024,0.9686,405851,412561,stayed,True,True,True
2577,2015,2016,0.9647,208879,214624,dropped_or_delisted,True,True,True
2577,2016,2017,0.9695,214624,255415,dropped_or_delisted,True,True,True
2577,2017,2018,0.9615,255415,235309,dropped_or_delisted,True,True,True
2577,2018,2019,0.8204,235309,134950,dropped_or_delisted,True,True,True
3980,2015,2016,0.991,203796,201424,stayed,True,True,True
3980,2016,2017,0.9829,201424,211551,stayed,True,True,True
3980,2017,2018,0.9855,211551,220360,stayed,True,True,True
3980,2021,2022,0.9839,221121,226913,stayed,True,True,True
3980,2022,2023,0.9869,226913,225135,stayed,True,True,True
3980,2023,2024,0.9726,225135,239444,stayed,True,True,True
4170,2015,2016,0.9052,224509,237390,stayed,True,True,True
4170,2016,2017,0.9392,237390,227057,stayed,True,True,True
4170,2017,2018,0.8964,227057,248583,stayed,True,True,True
4170,2020,2021,0.9428,274603,306915,stayed,True,True,True
4170,2021,2022,0.9321,306915,323774,stayed,True,True,True
4170,2022,2023,0.939,323774,344928,stayed,True,True,True
4170,2023,2024,0.9444,344928,322916,stayed,True,True,True
4820,2016,2017,0.9885,296557,279551,stayed,True,True,True
4820,2021,2022,0.9889,343707,308708,stayed,True,True,True
5258,2019,2020,0.9354,166326,182671,stayed,True,True,True
5258,2020,2021,0.5221,182671,251661,stayed,True,True,True
5258,2021,2022,0.9492,251661,242447,stayed,True,True,True
5258,2022,2023,0.9479,242447,249418,stayed,True,True,True
5258,2023,2024,0.9618,249418,249898,stayed,True,True,True
5410,2015,2016,0.9873,89851,91393,stayed,True,True,True
5410,2016,2017,0.9833,91393,94422,stayed,True,True,True
5410,2017,2018,0.9814,94422,100991,stayed,True,True,True
5410,2018,2019,0.9844,100991,96003,stayed,True,True,True
5410,2019,2020,0.9854,96003,96144,stayed,True,True,True
5410,2020,2021,0.9819,96144,98694,stayed,True,True,True
5410,2021,2022,0.9764,98694,99119,stayed,True,True,True
5410,2022,2023,0.9767,99119,103611,stayed,True,True,True
5410,2023,2024,0.9627,103611,112878,stayed,True,True,True
6505,2015,2016,0.8717,140191,143638,dropped_or_delisted,True,True,True
6505,2016,2017,0.9138,143638,142991,dropped_or_delisted,True,True,True
6505,2017,2018,0.8055,142991,158243,dropped_or_delisted,True,True,True
6505,2018,2019,0.7641,158243,166276,dropped_or_delisted,True,True,True
6505,2019,2020,0.7428,166276,165875,dropped_or_delisted,True,True,True
6505,2020,2021,0.7945,165875,164701,dropped_or_delisted,True,True,True
6505,2021,2022,0.9027,164701,164368,dropped_or_delisted,True,True,True
6505,2022,2023,0.8896,164368,153589,dropped_or_delisted,True,True,True
6505,2023,2024,0.9063,153589,162067,dropped_or_delisted,True,True,True
8087,2015,2016,0.8802,181928,166065,dropped_or_delisted,True,True,True
8087,2019,2020,0.8584,170120,206208,dropped_or_delisted,True,True,True
8133,2019,2020,0.7729,139213,180180,stayed,True,True,True
8133,2020,2021,0.6466,180180,150743,stayed,True,True,True
8133,2021,2022,0.9279,150743,143572,stayed,True,True,True
8133,2022,2023,0.9495,143572,138987,stayed,True,True,True
8451,2015,2016,0.9828,136443,141275,stayed,True,True,True
8451,2016,2017,0.9861,141275,148495,stayed,True,True,True
8451,2017,2018,0.9573,148495,144360,stayed,True,True,True
8451,2018,2019,0.9799,144360,148462,stayed,True,True,True
8451,2019,2020,0.8842,148462,164141,stayed,True,True,True
