cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
002437,2010,2011,0.5489,379764,179105
002437,2011,2012,0.4979,179105,409024
002437,2012,2013,0.4034,409024,127800
002437,2013,2014,0.442,127800,561300
002437,2014,2015,0.4787,561300,369414
002437,2015,2016,0.9451,369414,320795
002437,2016,2017,0.9491,320795,326087
002437,2017,2018,0.534,326087,541186
002437,2018,2019,0.869,541186,386984
002437,2019,2020,0.8939,386984,376382
002437,2020,2021,0.9159,376382,388979
002437,2021,2022,0.9026,388979,267385
002437,2022,2023,0.8669,267385,237349
002437,2023,2024,0.873,237349,251026
002453,2010,2011,0.956,282344,284443
002453,2011,2012,0.9737,284443,359267
002453,2012,2013,0.9344,359267,307925
002453,2013,2014,0.9639,307925,317761
002453,2014,2015,0.9647,317761,360670
002453,2015,2016,0.9793,360670,363606
002453,2016,2017,0.9633,363606,357785
002453,2017,2018,0.9708,357785,421356
002453,2018,2019,0.9776,421356,419576
002453,2019,2020,0.9587,419576,490324
002453,2020,2021,0.9717,490324,466601
002453,2021,2022,0.9753,466601,430756
002453,2022,2023,0.9678,430756,405851
002453,2023,2024,0.9675,405851,412561
002461,2010,2011,0.6337,44084,124274
002461,2011,2012,0.8866,124274,152510
002461,2012,2013,0.8454,152510,197667
002461,2013,2014,0.8503,197667,173116
002461,2014,2015,0.9612,173116,196011
002461,2015,2016,0.9415,196011,199011
002461,2016,2017,0.9284,199011,201075
002461,2017,2018,0.9601,201075,221446
002461,2018,2019,0.9591,221446,229123
002461,2019,2020,0.9543,229123,240044
002461,2020,2021,0.96,240044,256188
002461,2021,2022,0.9774,256188,263171
002461,2022,2023,0.9562,263171,280413
002461,2023,2024,0.9846,280413,265778
002461,2024,2025,0.9708,265778,303343
002577,2010,2011,0.9362,200128,183262
002577,2011,2012,0.9807,183262,174865
002577,2012,2013,0.9553,174865,207883
002577,2013,2014,0.9597,207883,195854
002577,2014,2015,0.9361,195854,208879
002577,2015,2016,0.9642,208879,214624
002577,2016,2017,0.9688,214624,255415
002577,2017,2018,0.9587,255415,235309
002577,2018,2019,0.8313,235309,134950
002577,2019,2020,0.8605,134950,154352
002577,2020,2021,0.0074,154352,161841
