Fonte,Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
narrow_annual,M0,diagnóstico,344,78,0.20582406147887586,0.5401537447191889,-0.8578669463528305,1.2695150693105821,0.703483042214526,1.0331359242221616e-05
narrow_annual,M1,baseline,339,78,0.12664852046580352,0.5764167271179212,-1.008647831608039,1.2619448725396458,0.8262723504251128,0.10410814278548863
narrow_annual,M2,PRINCIPAL,339,78,0.11753827144646486,0.576718336147351,-1.0184203291284812,1.2534968720214108,0.838674809016033,0.13684377382074908
narrow_annual,M3,robustez econômica,339,78,0.18223855994572677,0.5623668130064321,-0.9254971891515964,1.28997430904305,0.7461740916112274,0.0836784720946
narrow_quarterly,M0,diagnóstico,422,81,-0.8407517744072242,0.9274899601982083,-2.6652699561817697,0.9837664073673216,0.36534086586146586,0.0033220481567004523
narrow_quarterly,M1,baseline,414,81,-0.805835255608055,0.854059774159434,-2.4861366994005643,0.8744661881844544,0.3461213848694389,0.04930283007446201
narrow_quarterly,M2,PRINCIPAL,378,80,-0.9464863254474768,0.9374219195422002,-2.7917187876644394,0.8987461367694859,0.31351919257322947,0.06342710112210992
narrow_quarterly,M3,robustez econômica,378,80,-1.0609687059596842,0.9559709400432388,-2.942771211982138,0.8208338000627697,0.2680229560686165,0.0639556869234692
whole_notes,M0,diagnóstico,323,73,0.07967466832476053,0.7309352253728926,-1.3601626263807005,1.5195119630302214,0.9132902331435646,0.00015759476975452102
whole_notes,M1,baseline,316,73,-0.09313616642647483,0.7208640275439608,-1.5134774641065567,1.3272051312536068,0.8973117225145764,0.008400519144866614
whole_notes,M2,PRINCIPAL,316,73,0.06401194645913161,0.7451600455898789,-1.4043032054207991,1.5323270983390622,0.9316187533725269,0.011876606306198911
whole_notes,M3,robustez econômica,316,73,0.22055884819327007,0.7875133183071952,-1.3312860662298045,1.7724037626163447,0.7796811248432061,-0.007933782909736342
mgmt_report,M0,diagnóstico,391,73,-0.3881104226967225,0.801569562237164,-1.965335512898147,1.189114667504702,0.6285953905400143,5.776029409021444e-05
mgmt_report,M1,baseline,386,73,0.02497536422119795,0.7166106595773138,-1.3852449106625748,1.4351956391049705,0.9722208783178001,0.05729139821216167
mgmt_report,M2,PRINCIPAL,386,73,0.23545387850402552,0.6936137361329209,-1.129566527179988,1.6004742841880388,0.7345033994559569,0.06186882439076413
mgmt_report,M3,robustez econômica,386,73,0.3500688762853775,0.7284573544143993,-1.083562962274196,1.7837007148449509,0.631184055975837,0.031076732660143436
