cd_cvm,name,quarter_prev,quarter_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
002437,AXIA ENERGIA S.A.,2015Q1,2015Q2,0.982,7416,7685,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2015Q2,2015Q3,0.9656,7685,8021,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2015Q3,2016Q1,0.9572,8021,7773,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q1,2016Q2,0.992,7773,7935,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q2,2016Q3,0.986,7935,8036,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q3,2017Q1,0.9816,8036,8032,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q1,2017Q2,0.9575,8032,7646,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q2,2017Q3,0.9346,7646,7767,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q3,2018Q1,0.8288,7767,10553,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q1,2018Q2,0.934,10553,9288,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q2,2018Q3,0.9537,9288,9358,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q3,2019Q1,0.6535,9358,5749,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q1,2019Q2,0.7542,5749,7169,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q2,2019Q3,0.9497,7169,8496,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q3,2020Q1,0.8358,8496,5545,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q1,2020Q2,0.9595,5545,6390,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q2,2020Q3,0.0691,6390,430,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q3,2021Q1,0.11,430,8727,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q1,2021Q2,0.5628,8727,6966,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q2,2021Q3,0.1995,6966,15470,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q3,2022Q1,0.1763,15470,6189,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q1,2022Q2,0.602,6189,14862,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q2,2022Q3,0.6093,14862,7483,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q3,2023Q1,0.1853,7483,2506,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q1,2023Q2,0.2675,2506,10782,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q2,2023Q3,0.9523,10782,12333,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q3,2024Q1,0.1038,12333,1472,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2024Q1,2024Q2,0.4495,1472,1101,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2024Q2,2024Q3,0.2506,1101,82493,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q1,2015Q2,0.9728,9457,11239,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q2,2015Q3,0.9647,11239,13314,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q3,2016Q1,0.2553,13314,15985,font_heading,regex_only
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q1,2016Q2,0.9927,15985,15720,regex_only,regex_only
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q2,2016Q3,0.2815,15720,14677,regex_only,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q3,2017Q1,0.8895,14677,11348,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q1,2017Q2,0.9753,11348,12297,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q2,2017Q3,0.9736,12297,12762,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q3,2018Q1,0.8619,12762,12681,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018Q1,2018Q2,0.9709,12681,14449,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018Q2,2018Q3,0.9316,14449,16170,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018Q3,2019Q1,0.8608,16170,12754,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2019Q1,2019Q2,0.9532,12754,14460,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2019Q2,2019Q3,0.9189,14460,16209,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2019Q3,2020Q1,0.9439,16209,13663,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2020Q1,2020Q2,0.9715,13663,14903,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2020Q2,2020Q3,0.9554,14903,15856,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2020Q3,2021Q1,0.9285,15856,12738,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2021Q1,2021Q2,0.9123,12738,15369,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2021Q2,2021Q3,0.9823,15369,15613,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2021Q3,2022Q1,0.8386,15613,9225,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022Q1,2022Q2,0.9429,9225,11319,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022Q2,2022Q3,0.9677,11319,11936,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2022Q3,2023Q1,0.8878,11936,8436,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023Q1,2023Q2,0.9438,8436,10474,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023Q2,2023Q3,0.9268,10474,8620,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2023Q3,2024Q1,0.8987,8620,10410,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024Q1,2024Q2,0.9861,10410,10746,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2024Q2,2024Q3,0.9638,10746,13071,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2015Q1,2015Q2,0.9075,687,686,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2015Q2,2015Q3,1.0,686,686,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2015Q3,2016Q1,0.0419,686,101,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2016Q1,2016Q2,1.0,101,101,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2016Q2,2016Q3,1.0,101,101,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2016Q3,2017Q1,0.3227,101,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2017Q1,2017Q2,1.0,154,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2017Q2,2017Q3,0.2622,154,1676,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2017Q3,2018Q1,0.2622,1676,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2018Q1,2018Q2,1.0,154,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2018Q2,2018Q3,1.0,154,154,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2018Q3,2019Q1,0.0506,154,1494,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2019Q1,2019Q2,0.7021,1494,2061,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2019Q2,2019Q3,0.8328,2061,2128,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2019Q3,2020Q1,0.039,2128,1459,font_heading,regex_only
002577,CESP - Companhia Energética de São Paulo,2020Q1,2020Q2,0.0085,1459,304,regex_only,font_heading
002577,CESP - Companhia Energética de São Paulo,2020Q2,2020Q3,0.4332,304,1529,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2020Q3,2021Q1,0.3787,1529,1841,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2021Q1,2021Q2,0.7449,1841,835,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2021Q2,2021Q3,0.1274,835,281,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2021Q3,2022Q1,0.0973,281,1116,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,2022Q1,2022Q3,0.9185,1116,1152,font_heading,font_heading
