cd_cvm,name,quarter_prev,quarter_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
2437,AXIA ENERGIA S.A.,2015Q1,2015Q2,0.982,7416,7685,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2015Q2,2015Q3,0.9659,7685,8021,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2015Q3,2016Q1,0.9569,8021,7773,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2016Q1,2016Q2,0.9921,7773,7935,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2016Q2,2016Q3,0.9863,7935,8036,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2016Q3,2017Q1,0.9818,8036,8032,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2017Q1,2017Q2,0.9576,8032,7646,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2017Q2,2017Q3,0.9347,7646,7767,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2017Q3,2018Q1,0.8274,7767,10553,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2018Q1,2018Q2,0.9341,10553,9288,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2018Q2,2018Q3,0.9534,9288,9358,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2018Q3,2019Q1,0.651,9358,5749,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2019Q1,2019Q2,0.7512,5749,7169,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2019Q2,2019Q3,0.95,7169,8496,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2019Q3,2020Q1,0.8358,8496,5545,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2020Q1,2020Q2,0.9598,5545,6390,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2020Q2,2020Q3,0.0696,6390,430,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2020Q3,2021Q1,0.1104,430,8727,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2021Q1,2021Q2,0.5561,8727,6966,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2021Q2,2021Q3,0.1968,6966,15470,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2021Q3,2022Q1,0.1731,15470,6189,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2022Q1,2022Q2,0.5942,6189,14862,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2022Q2,2022Q3,0.6038,14862,7483,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2022Q3,2023Q1,0.1862,7483,2506,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2023Q1,2023Q2,0.2678,2506,10782,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2023Q2,2023Q3,0.9498,10782,12333,font_heading,font_heading
2437,AXIA ENERGIA S.A.,2023Q3,2024Q1,0.1063,12333,1472,font_heading,font_heading
