Fonte,Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
narrow_annual,M0,diagnóstico,437,86,0.17477216002646803,0.13958883491648083,-0.0997885596046362,0.4493328796575723,0.2114073335034632,0.004351122148832265
narrow_annual,M1,baseline,432,86,0.11717571200182468,0.10499466467775206,-0.08936070452666413,0.3237121285303135,0.2652200093247785,0.2004454555665902
narrow_annual,M2,PRINCIPAL,432,86,0.10556650909761474,0.09519243295877451,-0.08169401501675834,0.29282703321198783,0.2682463186796804,0.20019558756405387
narrow_annual,M3,robustez econômica,418,83,0.07826672395268146,0.09723077844981311,-0.11303246585836711,0.26956591376373,0.4214470531842016,0.23654402283478404
narrow_quarterly,M0,diagnóstico,504,87,-0.015446135798777096,0.026660763997162912,-0.06785612528109111,0.03696385368353691,0.5626679376924257,0.001030372315793504
narrow_quarterly,M1,baseline,501,87,-0.018489407394641853,0.02775652449050812,-0.07305630149568065,0.03607748670639695,0.5057130572571173,0.11209147647755435
narrow_quarterly,M2,PRINCIPAL,456,87,-0.03114146814235991,0.029128422474979782,-0.0884285407759238,0.026145604491203973,0.28575092615300113,0.20215870299579142
narrow_quarterly,M3,robustez econômica,437,84,-0.024929265586428096,0.028972429056409486,-0.08192007927381402,0.03206154810095782,0.39015757286054553,0.2077281143232953
whole_notes,M0,diagnóstico,416,82,-0.18529142477996408,0.23123179711550804,-0.6401914447575368,0.2696085951976086,0.4235299643278121,0.0018016180267091952
whole_notes,M1,baseline,411,81,-0.06816234114355839,0.16654055859975905,-0.3958268362628464,0.2595021539757296,0.6826078515038598,0.24909461156174684
whole_notes,M2,PRINCIPAL,411,81,-0.07842817825193274,0.1632283270040004,-0.39958769731095634,0.24273134080709083,0.6312196878536742,0.25022248441060335
whole_notes,M3,robustez econômica,404,80,-0.08455552525631774,0.16607795605621292,-0.4113548814714183,0.2422438309587828,0.6110269527486683,0.24795270651836454
mgmt_report,M0,diagnóstico,489,77,0.07641375098294471,0.2751860894454136,-0.4645657575110637,0.6173932594769531,0.781400192161883,0.0005497049704999979
mgmt_report,M1,baseline,484,77,0.028029890959854677,0.24108326060305416,-0.4459405711773544,0.5020003530970638,0.9075006243321162,0.22772411094309852
mgmt_report,M2,PRINCIPAL,484,77,0.022188629206914633,0.24393097784395376,-0.457391791548406,0.5017690499622353,0.9275687813936766,0.23459343171644675
mgmt_report,M3,robustez econômica,462,75,-0.016005149202642663,0.25078181090301893,-0.5091459338468739,0.47713563544158855,0.9491473045761603,0.23952425819918255
risk_factors,M0,diagnóstico,677,93,0.1835661297655627,0.22768577001481308,-0.263631086739831,0.6307633462709563,0.4204460052545338,0.0006684069852885832
risk_factors,M1,baseline,672,93,0.1982554458482467,0.21418406167295245,-0.22243719911413437,0.6189480908106277,0.35503217112835617,0.16602179335995482
risk_factors,M2,PRINCIPAL,672,93,0.21134228737292554,0.23024198276111585,-0.24089591361379875,0.6635804883596499,0.35905706576902396,0.173581157339474
risk_factors,M3,robustez econômica,650,90,0.29842642964699007,0.2309317374753419,-0.15520444267683492,0.752057301970815,0.19681392903629757,0.18754958881825645
