Fonte,Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
whole_notes,M0,diagnóstico,1528,152,-0.030637018407115888,0.09124107107379961,-0.20962529019407047,0.1483512533798387,0.7370877328493632,9.24834341305969e-05
whole_notes,M1,baseline,1505,151,-0.0420394248717122,0.08938954398104947,-0.2173985778518395,0.1333197281084151,0.6382212765181308,0.13202382681760083
whole_notes,M2,PRINCIPAL,1505,151,-0.04251407161956172,0.08942087562009034,-0.21793504715045806,0.1329069039113346,0.6345527956322736,0.13427195781432721
whole_notes,M3,robustez econômica,1445,144,-0.10769561809339978,0.08996595498618522,-0.28419280344120823,0.06880156725440864,0.2315009561975807,0.16990698477110233
mgmt_report,M0,diagnóstico,1081,135,-0.0859062582992416,0.130415874299798,-0.34184905387281245,0.17003653727432927,0.5102446172369564,0.00015995537292157191
mgmt_report,M1,baseline,1066,133,-0.0575690624709267,0.14189209449924065,-0.33604081220148124,0.22090268725962786,0.6850400827438805,0.12889522598162018
mgmt_report,M2,PRINCIPAL,1066,133,-0.06802628365517308,0.1418255351889409,-0.3463686194515596,0.21031605214121343,0.6315929648850869,0.13077602184273673
mgmt_report,M3,robustez econômica,1013,127,-0.12862851623637664,0.15782238941825988,-0.4383891467647967,0.18113211429204337,0.41528531280239234,0.16112128331980147
risk_factors,M0,diagnóstico,1456,152,0.04373208865352625,0.14644117294632678,-0.24355688564592387,0.33102106295297634,0.7652685875258325,-9.889227422155145e-05
risk_factors,M1,baseline,1445,151,0.0560313472907659,0.1373253017182198,-0.2133768443560964,0.3254395389376282,0.6833280978432383,0.14731748908907705
risk_factors,M2,PRINCIPAL,1445,151,0.039064298325400905,0.14045973076066343,-0.23649371070919403,0.31462230735999586,0.780967385961399,0.15258985265553848
risk_factors,M3,robustez econômica,1391,144,0.042406437341202904,0.1336811274764998,-0.21986310137694942,0.30467597605935526,0.7511301510061315,0.18918169281683428
