VD,Modelo,Status,n,n_companies,beta,se,ci_low,ci_high,p,r2_within
Ajustado ao mercado (original),M0,diagnóstico,437,86,0.15353931928788433,0.11414645905787285,-0.0709781642273514,0.37805680280312004,0.17948159882732662,0.004456347185989085
Ajustado ao mercado (original),M1,baseline,432,86,0.12711498313996877,0.10334004151550844,-0.07616660191985733,0.3303965681997949,0.21954099028507423,0.0694253672636117
Ajustado ao mercado (original),M2,PRINCIPAL,432,86,0.11873774288040997,0.09641074699434658,-0.07091942262389297,0.30839490838471295,0.21898217107763251,0.06849784719504026
Ajustado ao mercado (original),M3,robustez econômica,418,83,0.056939586106871505,0.08352659890432716,-0.10739696403519841,0.2212761362489414,0.49593015845671085,0.08987414214693001
Ajustado ao mercado (original),M4,robustez/mecanismo (parcial: sem AnalystCoverage),418,83,0.054731042422546186,0.08194798978952567,-0.10650158805692529,0.21596367290201768,0.5047006482282193,0.0975504023452245
Ajustado ao mercado (original),M5,robustez exigente (FE setor×ano),418,83,0.01414172531377956,0.11660671830013887,-0.21440324290990026,0.24268669353745936,0.9034715530689275,
"CAR (alpha, soma dos resíduos)",M0,diagnóstico,437,86,0.12314893189524133,0.15914859074635243,-0.1898843535372139,0.4361822173276966,0.43958453957570875,0.0020234324238739276
"CAR (alpha, soma dos resíduos)",M1,baseline,432,86,0.08434816747843679,0.12528651700799645,-0.16210462459043695,0.33080095954731054,0.5012601983885583,0.250579328531797
"CAR (alpha, soma dos resíduos)",M2,PRINCIPAL,432,86,0.10424292454074996,0.1208410338169334,-0.13347298021904944,0.3419588293005493,0.38895909702585874,0.25531944272488316
"CAR (alpha, soma dos resíduos)",M3,robustez econômica,418,83,0.06043705939498905,0.11981439757011664,-0.17529485130541567,0.2961689700953938,0.6143150487495719,0.29116205017839614
"CAR (alpha, soma dos resíduos)",M4,robustez/mecanismo (parcial: sem AnalystCoverage),418,83,0.059679794884879754,0.11909357224457036,-0.17463675120132288,0.2939963409710824,0.6166377831094008,0.2915367446962407
"CAR (alpha, soma dos resíduos)",M5,robustez exigente (FE setor×ano),418,83,0.07402685591687497,0.17339402402263757,-0.2658191863019676,0.41387289813571754,0.6694313840385508,
"BHAR (alpha, resíduo composto)",M0,diagnóstico,437,86,0.4172676592813625,0.3573302715774594,-0.2855740584605036,1.1201093770232287,0.24372645022649597,0.012278710754809796
"BHAR (alpha, resíduo composto)",M1,baseline,432,86,0.36381889078249957,0.332075143185185,-0.28941058808821046,1.0170483696532095,0.27404907401404577,0.1355295662299345
"BHAR (alpha, resíduo composto)",M2,PRINCIPAL,432,86,0.3537406418081066,0.33436918584055364,-0.3040232900720139,1.011504573688227,0.29085917353787805,0.1362814950901453
"BHAR (alpha, resíduo composto)",M3,robustez econômica,418,83,0.26855681029863043,0.28025553242688844,-0.28283912777874143,0.8199527483760023,0.3386634726689479,0.2089768297273933
"BHAR (alpha, resíduo composto)",M4,robustez/mecanismo (parcial: sem AnalystCoverage),418,83,0.2726630527609335,0.2853867984257523,-0.2888353358204062,0.8341614413422732,0.3400977880504761,0.21947430962768877
"BHAR (alpha, resíduo composto)",M5,robustez exigente (FE setor×ano),418,83,0.2434254997110657,0.4168966570348624,-0.5736769333524117,1.060527932774543,0.559288332886881,
