cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
2437,2015,2018,0.9156,369414,312934
2437,2018,2019,0.855,312934,692624
2437,2019,2020,0.9443,692624,640997
2437,2020,2021,0.9461,640997,608744
2437,2021,2022,0.8359,608744,161659
2437,2022,2023,0.7069,161659,400841
2437,2023,2024,0.6985,400841,98617
2453,2015,2016,0.9518,112760,120701
2453,2016,2017,0.9424,120701,103430
2453,2017,2018,0.5449,103430,6226
2453,2018,2019,0.5518,6226,129256
2453,2019,2020,0.9557,129256,133202
2453,2020,2021,0.9539,133202,127131
2453,2021,2022,0.9512,127131,145632
2453,2022,2023,0.9573,145632,172598
2453,2023,2024,0.9694,172598,232098
2577,2015,2016,0.9491,49106,55268
2577,2016,2017,0.9446,55268,50127
2577,2017,2018,0.8922,50127,46664
2577,2018,2023,0.4094,46664,9404
3980,2018,2019,0.8086,28622,39264
3980,2019,2022,0.7214,39264,38250
3980,2022,2023,0.8514,38250,45753
3980,2023,2024,0.8965,45753,42643
4030,2015,2016,0.824,34094,31064
4030,2016,2017,0.9171,31064,33223
4030,2017,2018,0.9384,33223,37556
4030,2018,2019,0.941,37556,45318
4030,2019,2020,0.9012,45318,108318
4030,2020,2021,0.9343,108318,136925
4030,2021,2022,0.9535,136925,159185
4030,2022,2023,0.9712,159185,146853
4030,2023,2024,0.9351,146853,76538
4170,2015,2016,0.8122,33615,26615
4170,2016,2017,0.7992,26615,42195
4170,2017,2018,0.411,42195,67137
4170,2018,2019,0.6444,67137,90315
4170,2019,2020,0.8199,90315,122425
4170,2020,2021,0.8141,122425,71028
4170,2021,2022,0.793,71028,90523
4170,2022,2023,0.6847,90523,141526
4170,2023,2024,0.7652,141526,120130
4820,2015,2016,0.905,64386,103178
4820,2016,2017,0.929,103178,95352
4820,2017,2018,0.9417,95352,93770
4820,2018,2019,0.9145,93770,123768
4820,2019,2020,0.9003,123768,133746
4820,2020,2021,0.9299,133746,153279
4820,2021,2022,0.9176,153279,135512
4820,2022,2023,0.9323,135512,109681
5410,2015,2016,0.5556,25191,23517
5410,2016,2017,0.4826,23517,17168
5410,2017,2018,0.6233,17168,19623
5410,2018,2019,0.5735,19623,22402
5410,2019,2020,0.6666,22402,24910
5410,2020,2021,0.7089,24910,23057
5410,2021,2022,0.7451,23057,27543
5410,2022,2023,0.7494,27543,27253
5410,2023,2024,0.8175,27253,28251
6505,2017,2018,0.3048,6628,20543
6505,2018,2019,0.731,20543,23443
6505,2019,2020,0.5058,23443,33975
6505,2020,2021,0.5871,33975,24588
6505,2021,2022,0.6594,24588,27241
6505,2022,2023,0.3841,27241,23246
6505,2023,2024,0.5691,23246,17871
8087,2015,2016,0.9157,66797,70625
8087,2016,2018,0.8791,70625,87315
8087,2018,2020,0.7446,87315,75754
8133,2015,2017,0.8412,35487,58968
8133,2017,2018,0.8963,58968,60721
8133,2018,2019,0.9029,60721,75046
8133,2019,2020,0.8595,75046,89551
8133,2020,2021,0.844,89551,111097
8133,2021,2022,0.898,111097,103582
8133,2022,2023,0.9069,103582,84379
8133,2023,2024,0.8766,84379,59942
