n_months,avg_n_active,mean_monthly_ls_return,annualized_ls_return,t_stat_newey_west,p_value,mean_high_sim_return,mean_low_sim_return,scenario,holding_months,n_groups,n_size_buckets_used,months_skipped_thin_cross_section
41,34.51219512195122,0.0017910526747391,0.0217056206063692,0.2591243792962761,0.7955392750863416,0.0080329341525794,0.0062418814778403,whole_annual_CLEAN,3,2,,
36,38.333333333333336,0.0098219249551739,0.1244432683557561,1.040739648004632,0.2979963967955604,0.0060672318998607,-0.0037546930553132,whole_annual_CLEAN,3,3,,
36,38.333333333333336,0.0101764590458374,0.1291897388204317,0.9474536676961628,0.3434076549506922,0.007153932917293,-0.0030225261285444,whole_annual_CLEAN,3,4,,
35,39.02857142857143,0.0077189965549697,0.0966633922437747,0.5324203139357029,0.5944349188308071,0.0053629482486126,-0.0023560483063571,whole_annual_CLEAN,3,5,,
74,37.62162162162162,-0.0002813131164845,-0.0033705392458343,-0.0654144516502133,0.9478440179713838,0.0030780261353893,0.0033593392518738,whole_annual_CLEAN,6,2,,
67,40.76119402985075,0.0058929979943168,0.0730536113428326,0.8916128538225491,0.3726004781113221,0.0104752353633663,0.0045822373690494,whole_annual_CLEAN,6,3,,
63,42.76190476190476,0.0061373772301943,0.0761861437709856,0.8826140457316247,0.3774448370684706,0.0111531754330313,0.0050157982028369,whole_annual_CLEAN,6,4,,
63,42.76190476190476,0.0015353367651636,0.01858041925313,0.1628332463508577,0.8706497308003387,0.0116302645003521,0.0100949277351884,whole_annual_CLEAN,6,5,,
109,47.8348623853211,0.0042598976936572,0.0523336272229744,1.518046996711798,0.1290025514997795,0.0103597193972511,0.0060998217035939,whole_annual_CLEAN,12,2,,
109,47.8348623853211,0.0071253740605706,0.0889362500657571,1.640848538846725,0.1008288596169236,0.0128414075572642,0.0057160334966935,whole_annual_CLEAN,12,3,,
109,47.8348623853211,0.0084950631875471,0.1068412063028578,1.5396603133463855,0.1236431754283709,0.0141127185127026,0.0056176553251554,whole_annual_CLEAN,12,4,,
109,47.8348623853211,0.0033893291614548,0.0414387597790975,0.5251902855895695,0.5994509173726196,0.0147537341049139,0.0113644049434591,whole_annual_CLEAN,12,5,,
38,36.578947368421055,0.0016843708249758,0.0204007541519677,0.2589351385144758,0.7956852858904893,0.0060738702719028,0.0043894994469269,narrow_annual_RELIABLE,3,2,,
36,38.16666666666666,-0.000259196395209,-0.0031059265083479,-0.0269803018748186,0.9784754451388252,0.0077118841639981,0.0079710805592071,narrow_annual_RELIABLE,3,3,,
35,38.94285714285714,-0.0046112624847287,-0.0539530922869341,-0.4106566326490219,0.6813243307832126,0.0041053870766435,0.0087166495613722,narrow_annual_RELIABLE,3,4,,
35,38.94285714285714,-0.0068872371239839,-0.079586969274121,-0.7260997513811872,0.467777621441052,0.0047636813146703,0.0116509184386542,narrow_annual_RELIABLE,3,5,,
76,36.03947368421053,0.0055846646960768,0.0691132208295932,0.6463062537762679,0.5180810386003882,0.0112454762415838,0.0056608115455069,narrow_annual_RELIABLE,6,2,,
64,41.5625,-0.0028759818764971,-0.0339710782387016,-0.5185194261052485,0.6040959098961329,0.0110493883733348,0.0139253702498319,narrow_annual_RELIABLE,6,3,,
63,42.07936507936508,-0.0015675197785582,-0.0186489119046681,-0.2326311505436136,0.8160478361982701,0.0120109399325039,0.0135784597110621,narrow_annual_RELIABLE,6,4,,
62,42.564516129032256,0.0006576846967785,0.0079208272844504,0.092996257127077,0.925906534717941,0.0121819990660381,0.0115243143692595,narrow_annual_RELIABLE,6,5,,
109,46.40366972477064,-0.0058097553276893,-0.0675319318306862,-1.935307117703543,0.0529526194268679,0.0058609047651622,0.0116706600928515,narrow_annual_RELIABLE,12,2,,
109,46.40366972477064,-0.0068736686464465,-0.0794360553901668,-1.7958183209996514,0.0725234159782005,0.0053645481209297,0.0122382167673763,narrow_annual_RELIABLE,12,3,,
109,46.40366972477064,-0.0052409320861788,-0.0611096383436505,-1.1686774126011708,0.2425336256965757,0.0053539439377151,0.010594876023894,narrow_annual_RELIABLE,12,4,,
109,46.40366972477064,-0.0034182622677831,-0.0402566888462838,-0.6896921759350576,0.490387787166625,0.0066370981505387,0.0100553604183218,narrow_annual_RELIABLE,12,5,,
95,37.31578947368421,-0.0024633957072182,-0.0291635100223492,-0.5849083299828977,0.5586093572144109,0.0083874987541892,0.0108508944614075,narrow_quarterly_RELIABLE,3,2,,
90,38.98888888888889,0.0026805741122224,0.0326453939988442,0.5213453242517295,0.6021262324247914,0.015342151319281,0.0126615772070585,narrow_quarterly_RELIABLE,3,3,,
87,40.05747126436781,0.0078253996315633,0.0980537339731966,1.6786584394396609,0.0932186301280319,0.0183185871032525,0.0104931874716892,narrow_quarterly_RELIABLE,3,4,,
87,40.05747126436781,0.0092068103896554,0.116251539977715,1.7111666368441103,0.0870503556783439,0.0162196342763116,0.0070128238866562,narrow_quarterly_RELIABLE,3,5,,
119,42.747899159663866,-0.0031460443178621,-0.0371060927259133,-0.9826800210803278,0.3257649466990124,0.0096611786212515,0.0128072229391136,narrow_quarterly_RELIABLE,6,2,,
119,42.747899159663866,0.0011375203531027,0.0137359697534948,0.2741714227457416,0.7839528883001421,0.0155494910611013,0.0144119707079985,narrow_quarterly_RELIABLE,6,3,,
118,43.03389830508475,0.0026969551548219,0.0328478592147056,0.5781153945629484,0.5631862142014549,0.0158911917575034,0.0131942366026814,narrow_quarterly_RELIABLE,6,4,,
118,43.03389830508475,0.0049138802316929,0.0605866074747993,0.958274514115065,0.337924351668938,0.0172831646175055,0.0123692843858126,narrow_quarterly_RELIABLE,6,5,,
124,49.96774193548387,-0.0033383608065793,-0.0393329065076161,-1.0950458569064128,0.2734965469904737,0.00927919349431,0.0126175543008893,narrow_quarterly_RELIABLE,12,2,,
124,49.96774193548387,0.0018929604623232,0.0229535219472378,0.5436276788361492,0.5866977088036467,0.0137299462033574,0.0118369857410342,narrow_quarterly_RELIABLE,12,3,,
123,50.300813008130085,0.0007371427191956,0.0088816639369073,0.2026988884584683,0.839370392024567,0.01506154109407,0.0143243983748743,narrow_quarterly_RELIABLE,12,4,,
123,50.300813008130085,0.0004875815147105,0.0058666942643554,0.115731161168187,0.9078656091412224,0.0150324869975532,0.0145449054828427,narrow_quarterly_RELIABLE,12,5,,
109,,0.0057452631051573,0.0711639535312818,1.3221589104176834,0.1861152403938945,,,whole_annual_CLEAN_SIZE_NEUTRAL,12,3,2.0,
109,,-0.0081825421369563,-0.0938898795467764,-2.2837775840672414,0.0223846057072597,,,narrow_annual_RELIABLE_SIZE_NEUTRAL,12,3,2.0,
43,39.02325581395349,0.0050009208151892,0.0616894848672673,0.792025674789032,0.4283457058165958,0.0112009607964369,0.0062000399812476,mgmt_report_annual,3,2,,
37,44.35135135135136,0.0052511401797917,0.0648658323769135,0.6273883597154578,0.530404696076756,0.0076541577895922,0.0024030176098004,mgmt_report_annual,3,3,,
36,45.30555555555556,0.0039060673541891,0.0478930212894581,0.3272748360135946,0.7434600233367884,0.0044184274156868,0.0005123600614976,mgmt_report_annual,3,4,,
77,42.50649350649351,-0.0029763373268961,-0.0351371432753597,-0.5012692169843709,0.6161816666202387,0.0040746576815247,0.0070509950084209,mgmt_report_annual,6,2,,
72,45.013888888888886,-0.0006401107380895,-0.0076543435197136,-0.0849839147274283,0.932274178630254,0.0050082170557796,0.0056483277938692,mgmt_report_annual,6,3,,
63,50.17460317460318,0.0046148161621593,0.0568052124815481,0.5914080736093729,0.5542470321150674,0.0061651127087614,0.0015502965466021,mgmt_report_annual,6,4,,
109,55.63302752293578,0.0015692298876286,0.018994135625969,0.470751860815729,0.6378179450663443,0.0089714004791107,0.0074021705914821,mgmt_report_annual,12,2,,
