scenario,window,n_simple,p_simple,n_nocontrols,p_nocontrols,n_controls,p_controls,n_fe,p_fe
narrow_annual,3d,711,0.5366137771281956,711,0.5523699824177533,678,0.4362683148795403,678,0.3206531996114548
narrow_annual,3m,710,0.19830167884917166,710,0.21583949792561297,677,0.22245991698891487,677,0.39661680884210826
narrow_annual,12m,704,0.4885880408296381,704,0.5785576828993689,671,0.6103516051657498,671,0.5850818095194814
narrow_annual,18m,630,0.6046085137523239,630,0.6934683963301518,598,0.5851226625985176,598,0.5955578041996366
whole_notes,3d,431,0.01704939794075777,431,0.011047059423435755,413,0.02624489224300913,413,0.19055042741617423
whole_notes,3m,430,0.4981713372719511,430,0.39523116512055834,412,0.5279261965612305,412,0.6643998313775796
whole_notes,12m,429,0.6277865705844539,429,0.6405430881017977,411,0.5130268109170559,411,0.6599257230641924
whole_notes,18m,382,0.4555241089079137,382,0.5906302230223475,364,0.48999175115427873,364,0.1822291339442017
mgmt_report,3d,508,0.06619363719578543,508,0.0907575145311678,488,0.10981775745097118,488,0.9155423072678057
mgmt_report,3m,508,0.20288205845417961,508,0.16395171940311626,488,0.06670555032931405,488,0.5233646954016797
mgmt_report,12m,504,0.15300463320076008,504,0.13955787815207837,484,0.030876541331515347,484,0.4778364474514638
mgmt_report,18m,451,0.8688952391771352,451,0.8825907063248242,431,0.8506460119151695,431,0.683013587678265
risk_factors,3d,703,0.043817724086417334,703,0.04248605793965851,679,0.04857509179901494,679,0.10613133152599774
risk_factors,3m,702,0.41280321881863685,702,0.35683608036709047,678,0.5538184060268421,678,0.8530196152482343
risk_factors,12m,696,0.22571931218729854,696,0.15125667457174288,672,0.3080071085256224,672,0.7582429281012621
risk_factors,18m,622,0.08875548274938383,622,0.018698251786335805,598,0.045164672693814405,598,0.42601145307043486
