family,scenario,controles,n,coef,p_valor
H1_return,narrow_annual,atual (c/ ROA),671,-0.015256089301557545,0.7791330699790426
H1_return,narrow_annual,sem ROA,671,-0.015346056027537056,0.7769450698587562
H1_return,narrow_quarterly,atual (c/ ROA),2138,0.0017251713415297233,0.8965977908624446
H1_return,narrow_quarterly,sem ROA,2138,0.0015604195267715196,0.9054399380025815
H1_return,whole_notes,atual (c/ ROA),411,-0.09344271969185351,0.5130268109170559
H1_return,whole_notes,sem ROA,411,-0.0964730854871144,0.5053938855317056
H1_return,mgmt_report,atual (c/ ROA),484,0.2577825953142957,0.030876541331515347
H1_return,mgmt_report,sem ROA,484,0.23547924812682383,0.04441119890087332
H1_return,risk_factors,atual (c/ ROA),672,0.13897840750934937,0.3080071085256224
H1_return,risk_factors,sem ROA,672,0.13457574989449964,0.32501450714881897
H1_delisting,narrow_annual,atual (c/ ROA),683,-0.025004427705703925,0.7449696020510103
H1_delisting,narrow_annual,sem ROA,683,-0.026623047932034453,0.7373612602402438
H1_delisting,whole_notes,atual (c/ ROA),415,-0.3542769999353523,0.1250737046325507
H1_delisting,whole_notes,sem ROA,415,-0.3861126904845217,0.08831181288180034
H1_delisting,mgmt_report,atual (c/ ROA),491,-0.4435304347856267,0.05916694396000478
H1_delisting,mgmt_report,sem ROA,491,-0.507738841492914,0.039170481763088426
H1_delisting,risk_factors,atual (c/ ROA),685,-0.3143268189574676,0.06652621470471581
H1_delisting,risk_factors,sem ROA,685,-0.34682019802220504,0.04507009916062701
H2_revision,narrow_annual,atual (c/ ROA),518,-0.2695275340812055,0.4516610216448793
H2_revision,narrow_annual,sem ROA,518,-0.27817263902832123,0.4411472651842009
H2_revision,narrow_quarterly,atual (c/ ROA),1678,-0.06721293801730427,0.8019198940877552
H2_revision,narrow_quarterly,sem ROA,1678,-0.0672841810978025,0.8054894151584455
H2_revision,whole_notes,atual (c/ ROA),316,-0.11320869803328862,0.8544697680827991
H2_revision,whole_notes,sem ROA,316,-0.10754847264459066,0.8626740304378806
H2_revision,mgmt_report,atual (c/ ROA),386,-0.25118295641595506,0.6929606427460508
H2_revision,mgmt_report,sem ROA,386,0.183227194156079,0.7780558219023332
