cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
002453,CEMIG,2015,2016,0.9412,15917,15122,font_heading,font_heading
002453,CEMIG,2016,2017,0.8946,15122,17835,font_heading,font_heading
002453,CEMIG,2017,2018,0.8656,17835,16893,font_heading,font_heading
002453,CEMIG,2018,2019,0.9206,16893,15903,font_heading,font_heading
002453,CEMIG,2019,2020,0.9465,15903,15944,font_heading,font_heading
002453,CEMIG,2020,2021,0.8999,15944,15904,font_heading,font_heading
002453,CEMIG,2021,2022,0.8178,15904,16412,font_heading,font_heading
002453,CEMIG,2022,2023,0.8458,16412,11722,font_heading,font_heading
002453,CEMIG,2023,2024,0.8783,11722,15533,font_heading,font_heading
003980,GERDAU,2015,2016,0.9176,17066,21919,regex_only,regex_only
003980,GERDAU,2016,2017,0.9389,21919,25772,regex_only,regex_only
003980,GERDAU,2017,2018,0.911,25772,24797,regex_only,regex_only
003980,GERDAU,2018,2021,0.84,24797,32644,regex_only,regex_only
003980,GERDAU,2021,2022,0.9574,32644,30652,regex_only,regex_only
003980,GERDAU,2022,2023,0.4461,30652,12322,regex_only,regex_only
003980,GERDAU,2023,2024,0.8425,12322,9767,regex_only,regex_only
004170,VALE,2015,2016,0.0,5438,31,font_heading,font_heading
004170,VALE,2016,2017,0.0,31,31,font_heading,font_heading
004170,VALE,2017,2018,0.0,31,356,font_heading,font_heading
004170,VALE,2018,2019,0.0733,356,20656,font_heading,regex_only
004170,VALE,2019,2020,0.0072,20656,47,regex_only,font_heading
004170,VALE,2020,2021,1.0,47,47,font_heading,font_heading
004170,VALE,2021,2022,1.0,47,47,font_heading,font_heading
004170,VALE,2022,2023,0.0,47,3101,font_heading,font_heading
004170,VALE,2023,2024,0.9417,3101,3459,font_heading,font_heading
004820,BRASKEM,2017,2019,0.7681,14000,15282,regex_only,regex_only
004820,BRASKEM,2019,2021,0.8985,15282,18691,regex_only,regex_only
004820,BRASKEM,2021,2022,0.9926,18691,18541,regex_only,regex_only
004820,BRASKEM,2022,2024,0.0877,18541,1199,regex_only,font_heading
005258,RAIA DROGASIL,2015,2016,0.9794,2768,2725,regex_only,regex_only
005258,RAIA DROGASIL,2016,2017,0.304,2725,520,regex_only,regex_only
005258,RAIA DROGASIL,2017,2018,0.9816,520,553,regex_only,regex_only
005258,RAIA DROGASIL,2018,2019,0.1578,553,11319,regex_only,regex_only
005258,RAIA DROGASIL,2019,2020,0.652,11319,6646,regex_only,regex_only
005258,RAIA DROGASIL,2020,2021,0.1136,6646,10190,regex_only,font_heading
005258,RAIA DROGASIL,2021,2022,0.9091,10190,12138,font_heading,font_heading
005258,RAIA DROGASIL,2022,2023,0.7782,12138,5541,font_heading,font_heading
005258,RAIA DROGASIL,2023,2024,0.7736,5541,14023,font_heading,font_heading
