cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cd_cvm_int
002453,CEMIG,2010,2011,0.734,14034,18058,font_heading,font_heading,2453
002453,CEMIG,2011,2012,0.8483,18058,22412,font_heading,font_heading,2453
002453,CEMIG,2012,2013,0.641,22412,11131,font_heading,font_heading,2453
002453,CEMIG,2013,2014,0.8284,11131,17321,font_heading,font_heading,2453
002453,CEMIG,2014,2015,0.8649,17321,15917,font_heading,font_heading,2453
002461,Centrais Eletricas de Santa Catarina SA,2011,2012,0.5529,4455,861,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2012,2013,0.0623,861,438,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2013,2014,1.0,438,438,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2014,2015,1.0,438,438,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2015,2016,0.084,438,707,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2016,2017,0.5421,707,1499,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2017,2018,0.0474,1499,1301,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2018,2019,1.0,1301,1301,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2019,2020,0.0852,1301,16564,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2020,2021,0.9025,16564,17899,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2021,2022,0.5925,17899,6314,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2022,2023,0.6304,6314,20237,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2023,2024,0.8247,20237,15420,font_heading,font_heading,2461
002461,Centrais Eletricas de Santa Catarina SA,2024,2025,0.9122,15420,18800,font_heading,font_heading,2461
002577,CESP - Companhia Energética de São Paulo,2010,2011,0.9288,86509,90356,font_heading,font_heading,2577
002577,CESP - Companhia Energética de São Paulo,2011,2012,0.9799,90356,95178,font_heading,font_heading,2577
002577,CESP - Companhia Energética de São Paulo,2012,2013,0.9437,95178,111842,font_heading,font_heading,2577
002577,CESP - Companhia Energética de São Paulo,2013,2014,0.0729,111842,687,font_heading,font_heading,2577
002577,CESP - Companhia Energética de São Paulo,2014,2015,0.9264,687,686,font_heading,font_heading,2577
003980,GERDAU,2010,2011,0.497,5663,13622,font_heading,font_heading,3980
003980,GERDAU,2011,2012,0.9743,13622,13586,font_heading,font_heading,3980
003980,GERDAU,2012,2013,0.8412,13586,11407,font_heading,font_heading,3980
003980,GERDAU,2013,2014,0.9241,11407,10165,font_heading,font_heading,3980
