CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,despesas_financeiras,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,roa,past_12m_return
2437,9,0.1111111111111111,0.0,11,0.18181818181818182,0.0,2023,0,0,5305593.0,0.03431974705712761,0.3139948222870105,19.402975125638708,0.5788750394699416,0.0164566000418771,0.0363947239863213
2453,11,0.0,0.09090909090909091,7,0.14285714285714285,0.0,2023,1,0,3134.0,0.00010327934323828591,0.2687996740624014,17.82284519774114,0.5517244156735772,0.1048513929434284,0.04840182652099
2577,3,0.0,0.0,4,0.5,0.0,2023,0,0,685354.0,0.12223196204027291,,16.423237977137106,0.4132458875659162,-0.0331193989820743,
3980,7,0.14285714285714285,0.0,8,0.0,0.0,2023,0,0,408205.0,0.015916732722377955,0.29171540667401974,18.131466084355303,0.3424748839369261,0.1006472391907265,-0.1730858467142618
4030,5,0.0,0.2,6,0.0,0.0,2023,1,0,2929830.0,0.04077994031641669,0.4057447219387455,18.33217428624998,0.7849350134579238,0.0043991066508233,0.413371675053918
4170,12,0.16666666666666666,0.16666666666666666,9,0.2222222222222222,0.0,2023,1,0,13069000.0,0.050722078405955155,0.2756958107024408,19.93796827914377,0.5650614933857329,0.0889373311344257,-0.0989729225023343
4820,11,0.09090909090909091,0.0,6,0.0,0.0,2023,0,0,5198000.0,0.058759693427686464,0.5222556127432142,18.334479947444503,0.9642580743615178,-0.0533022312815426,-0.0310283687943262
5258,10,0.3,0.0,5,0.2,0.0,2023,0,0,1203131.0,0.08553401860684876,0.2327235780868046,16.815952324427126,0.7000011246907847,0.0541017572447504,0.3961643834822845
5410,7,0.14285714285714285,0.14285714285714285,13,0.0,0.0,2023,1,0,101246.0,0.007421914344572522,0.25259353827212305,17.265379684086113,0.4331145878543713,0.1862955518224856,-0.014419225634179
6505,5,0.2,,4,0.0,,2023,0,0,0.0,0.0,0.6964911629966176,17.28112145295085,0.8920490061257658,-0.0820415051881485,-0.761675392670157
8133,8,0.25,0.0,5,0.4,0.0,2023,0,0,388813.0,0.03723043904116823,0.47892185127422,16.8354786568704,0.5096677321613899,0.0476441485130916,-0.1039094646765291
8451,7,0.14285714285714285,0.0,3,0.0,0.0,2023,0,0,292378.0,0.06688132520998062,0.35951122967328136,15.889851991172648,0.5492433194213111,0.1018695983806622,2.065217392102836
8656,3,0.0,0.0,8,0.0,0.0,2023,0,0,5710.0,0.00022253380419044014,0.28033973940974455,18.136093371306902,0.3410631836028442,0.1008220892731119,-0.1778955337212889
8672,8,0.125,0.0,5,0.6,0.0,2023,0,0,87375.0,0.024175735391976174,0.2908169433296236,15.868566927357364,0.4638488058863821,0.0396492206621961,0.4494649227110581
9512,11,0.09090909090909091,0.18181818181818182,9,0.1111111111111111,0.125,2023,1,1,35469000.0,0.053053782226556656,0.33808362007744064,20.77290135798673,0.6361743592085931,0.1191049854979788,0.5604483586869493
10456,8,0.125,0.0,3,0.0,0.0,2023,0,0,193927.0,0.07458954537866905,0.5344993101137903,15.660398228774216,0.41089966177202,-0.2951429096583124,-0.2368024132730015
11312,9,0.1111111111111111,0.0,3,0.3333333333333333,0.0,2023,0,0,7491807.0,0.14027668772818486,1.049762145716521,17.078363497123462,2.044382013891385,-0.2077692582683001,-0.68
12653,11,0.36363636363636365,0.0,6,0.0,0.0,2023,0,0,1055552.0,0.025311687099941277,0.2277301205965133,17.83071612903802,0.7522754975269096,0.0513647320838269,0.0978260870877834
13986,9,0.3333333333333333,0.0,7,0.0,0.0,2023,0,0,4606858.0,0.046636271676044574,0.26242298018390914,18.78249364097532,0.6879353993691546,0.0982386226629044,0.0816643982111609
14176,6,0.3333333333333333,0.0,9,0.4444444444444444,0.1111111111111111,2023,0,1,2411645.0,0.09344567684060932,,17.169997286773796,0.9014031865216976,0.0454656253443612,
14311,9,0.1111111111111111,0.1111111111111111,7,0.14285714285714285,0.0,2023,1,0,115669.0,0.0036572394316106913,0.22420231203072408,17.83762619689866,0.5666057269240977,0.0416912684721355,0.4968454258675079
14320,8,0.0,0.0,6,0.0,0.0,2023,0,0,0.0,0.0,0.30659428374952613,17.50842563299488,0.3389372639654083,0.0408440359086933,0.2639455782312925
14443,11,0.2727272727272727,0.18181818181818182,6,0.5,0.0,2023,1,0,2398668.0,0.07587460591699498,0.28541184144982906,17.934075377332036,0.5142848353572891,0.0573202561333151,0.4014503531071958
14460,9,0.1111111111111111,0.1111111111111111,6,0.16666666666666666,0.0,2023,1,0,334413.0,0.037695739126768865,0.3961371396192088,16.670324220459726,0.5106943676890485,0.0636513309385649,0.9900826446280993
14826,8,0.0,0.0,4,0.0,0.0,2023,0,0,0.0,0.0,0.5452458298664877,16.90882315985713,0.7858503401360544,-0.0967800453514739,-0.207268252019779
15253,7,0.14285714285714285,0.16666666666666666,5,0.2,0.0,2023,1,0,770118.0,0.014710165793503783,0.2949966331701552,18.03602468300056,0.7691193034143518,0.0379549292358866,0.2915067179772435
16101,5,0.0,0.0,7,0.42857142857142855,0.0,2023,0,0,142547.0,0.04169169781057678,1.2069656298687037,15.449907388989567,0.6669587514739976,-0.0381303321164216,0.8409893990849842
16292,9,0.2222222222222222,0.0,8,0.0,0.0,2023,0,0,3613947.0,0.08681438749293331,0.6157840532424372,17.86332397750545,0.7268537607061311,-0.0326311122922177,1.01018922852984
16306,5,0.2,0.0,2,0.5,0.0,2023,0,0,66841.0,0.0478721423251017,0.5154560327923433,13.203906497357725,2.573809172688394,0.4695159268544462,0.6144578313253009
17329,9,0.2222222222222222,0.0,8,0.125,0.0,2023,0,0,1362450.0,0.0420402043762728,0.17731597092274015,17.558510539822407,0.7675232086377963,0.0812102497999205,0.2257977287548616
17450,10,0.3,0.1,5,0.0,0.0,2023,1,0,913434.0,0.02737505829420655,0.27038143162271516,17.712185095981603,0.6776693922609565,0.0146616557845176,0.338192419825073
17671,12,0.3333333333333333,0.08333333333333333,5,0.0,0.0,2023,1,0,4343439.0,0.0849810783112564,0.22059831602435157,18.609133301028614,0.4233188264372155,0.0417430952546994,0.4498100922409116
17892,8,0.25,,3,0.0,,2023,0,0,126912.0,0.05095175216905871,0.3224284026133647,15.364740824135549,0.5290800780399525,0.107119924296573,0.3540462427745663
17973,6,0.3333333333333333,0.0,6,0.0,0.0,2023,0,0,560821.0,0.045119852764179395,0.459105118605218,17.03980618911259,0.4944960115353907,-0.0203435625027077,0.7715736041232704
18376,9,0.0,0.1111111111111111,5,0.6,0.0,2023,1,0,1032950.0,0.05700781988674708,0.21230659449867842,17.396558557274215,0.5045630945436566,0.0805421579856688,0.2200736648250461
18465,9,0.2222222222222222,0.0,5,0.0,0.0,2023,0,0,115732.0,0.004777941246168589,0.3212839857961701,17.459705724748318,0.6332260918090136,0.0658202110040125,1.2485156912637834
18627,9,0.1111111111111111,0.0,8,0.125,0.0,2023,0,0,618671.0,0.0682882058521773,0.24124344934443756,16.749575118996827,0.4817991262985002,0.0799495104873163,0.7323442136498515
18660,4,0.25,0.0,8,0.125,0.125,2023,0,1,2210.0,4.0201938155448485e-05,0.24104255589797433,18.13261495789193,0.7332476231181331,0.0738571612280001,0.2794019933554816
18724,9,0.1111111111111111,0.0,2,0.0,0.0,2023,0,0,528.0,0.009355233083506087,0.29260151040150517,15.88116473929956,0.0071528167312974,0.240368683288093,-0.1179099346854589
18821,11,0.18181818181818182,0.0,7,0.0,0.0,2023,0,0,0.0,0.0,0.25909515885919104,17.81633409222826,0.7606793658899347,0.0339384096797379,0.399802566633761
19445,6,0.0,0.0,5,0.2,0.25,2023,0,1,329589.0,0.04981667275792551,0.32070784353517146,16.46803839440322,0.4662510131352219,0.0972064353264016,0.3571901921802518
19453,9,0.1111111111111111,0.0,5,0.2,0.0,2023,0,0,144185.0,0.006276105733523041,0.44137407213061347,17.07206363623357,0.8849664334236097,0.0229828303274346,1.3432835820895526
19550,3,0.0,0.0,4,0.5,0.0,2023,0,0,1877004.0,0.18430256112263096,0.5164626967043792,16.788862448663174,0.5207430817363731,0.3292850713419252,0.7043390514631684
19569,9,0.1111111111111111,0.0,3,0.3333333333333333,0.0,2023,0,0,1390864.0,0.03486459433246298,,16.63248655156494,2.385079833463608,-0.0730745440355409,
19623,7,0.14285714285714285,0.0,13,0.15384615384615385,0.0,2023,0,0,892042.0,0.047249536412237246,,17.08177365865215,0.7202242000213633,-0.0430992782262371,
19739,8,0.25,0.0,8,0.125,0.16666666666666666,2023,0,1,2899111.0,0.05218990370512346,0.3253374818211839,18.209306215203156,0.68624175516934,0.0222749222195576,0.2850334411291422
19763,3,0.0,0.0,2,0.5,0.0,2023,0,0,38821.0,0.0015307102766172994,,17.437861859602926,0.6776517100135808,0.0370097492180657,
19836,10,0.2,0.0,4,0.25,0.0,2023,0,0,3033265.0,0.03412603063028006,0.31693793755631583,18.75619096083809,0.6354982250003793,0.0349246105801934,0.2331210191082802
19879,9,0.0,0.0,7,0.14285714285714285,1.0,2023,0,1,909.0,4.408074622835631e-05,0.8079235869614512,16.981699950057074,0.8694735272718196,0.0107586409981457,0.7543859649122808
19909,3,0.3333333333333333,0.0,4,0.25,0.0,2023,0,0,304616.0,0.039616378574309254,,16.851488884215865,0.3692914931787765,0.1229944012243593,0.0727272727272727
19925,3,0.0,0.0,2,0.0,0.0,2023,0,0,,,,,,,
19992,7,0.42857142857142855,0.0,8,0.125,0.0,2023,0,0,272335.0,0.07136307976360709,0.3304856245748494,15.99353645892257,0.4322402892332645,0.086583658592389,0.3248132127408571
20010,7,0.2857142857142857,0.0,9,0.0,0.1111111111111111,2023,0,1,1243559.0,0.015869860707773947,0.2287210792685407,18.456467220706735,0.7560515545159573,0.0277517194236255,0.3631871907915371
20087,11,0.09090909090909091,0.09090909090909091,4,0.0,0.0,2023,1,0,1391858.0,0.03712908673028446,0.32846563963818254,17.770616577480375,0.7181248303200837,0.0150256043785023,0.6523985239852399
20257,11,0.09090909090909091,0.0,4,0.0,0.0,2023,0,0,935726.0,0.07327908571041931,0.15755786377641862,16.783288525384126,0.65656701419368,0.0703305153836851,0.1662108781525373
20362,9,0.1111111111111111,0.0,4,0.25,0.0,2023,0,0,325218.0,0.10893593702163124,0.5540046981101124,15.33760969436498,0.6515745990742133,0.0547558149762333,-0.0781456953642384
20478,3,0.0,0.0,2,0.0,0.0,2023,0,0,638272.0,0.15993809675589313,1.4917431227282214,13.415332946376148,5.954547963969018,1.670236242560068,-0.9625
20494,3,0.0,0.0,5,0.6,0.0,2023,0,0,325770.0,0.13140857308127024,,15.631069069936348,0.4034598707430881,0.0506055245766666,
20524,5,0.2,0.0,9,0.1111111111111111,0.0,2023,0,0,53546.0,0.012117999889560678,0.4479331110460405,15.803197080261269,0.6054172639820438,0.0467613849121526,0.8303571428571426
