CD_CVM,board_size,pct_female_board,pct_black_brown_board,exec_size,pct_female_exec,pct_black_brown_exec,year,has_black_brown_board,has_black_brown_exec,leadership_n,pct_female_leadership,pct_black_brown_leadership,cost_of_debt_proxy,return_volatility,ln_total_assets,leverage,sector_group,market_cap,roa,roe,past_12m_return,total_equity,market_to_book
2437,9,0.1111111111111111,0.0,11,0.1818181818181818,0.0,2023,0,0,907.0,0.2403528114663726,0.237045203969129,0.1055012965980803,0.3139948222870105,19.402975125638708,0.5788750394699416,Utilities/Energy,77931892416.61302,0.0164566000418771,0.039077712280848,0.0363947239863213,112464644.0,692.9457084896212
2453,11,0.0,0.0909090909090909,7,0.1428571428571428,0.0,2023,1,0,199.0,0.185929648241206,0.1708542713567839,0.0544093309690031,0.2687996740624014,17.82284519774114,0.5517244156735772,Utilities/Energy,25271735504.19887,0.1048513929434284,0.2338994061007756,0.04840182652099,24655193.0,1025.0065981717876
2577,3,0.0,0.0,4,0.5,0.0,2023,0,0,,,,0.1250111690843312,,16.423237977137106,0.4132458875659162,Utilities/Energy,,-0.0331193989820743,-0.0564451075505584,,7961186.0,
3980,7,0.1428571428571428,0.0,8,0.0,0.0,2023,0,0,4610.0,0.2438177874186551,0.1427331887201735,0.0882054984892351,0.2917154066740197,18.131466084355303,0.3424748839369261,Industrials/Materials,41747913108.0,0.1006472391907265,0.1530698017945702,-0.1730858467142618,49238863.0,847.8650920107558
4030,5,0.0,0.2,6,0.0,0.0,2023,1,0,1269.0,0.1331757289204097,0.3246650906225374,0.0808287081604504,0.4057447219387455,18.33217428624998,0.7849350134579238,Industrials/Materials,26071006998.02,0.0043991066508233,0.0204547784442015,0.413371675053918,19684838.0,1324.4207037934475
4170,12,0.1666666666666666,0.1666666666666666,9,0.2222222222222222,0.0,2023,1,0,5355.0,0.2070961718020541,0.2907563025210084,0.0460958088015555,0.2756958107024408,19.93796827914377,0.5650614933857329,Industrials/Materials,,0.0889373311344257,0.2044825412832472,-0.0989729225023343,198325000.0,
4820,11,0.0909090909090909,0.0,6,0.0,0.0,2023,0,0,981.0,0.3312945973496432,0.1223241590214067,0.0498519138161018,0.5222556127432142,18.334479947444503,0.9642580743615178,Industrials/Materials,17426963251.239998,-0.0533022312815426,-1.4913083257090576,-0.0310283687943262,3279000.0,5314.718893333333
5258,10,0.3,0.0,5,0.2,0.0,2023,0,0,3630.0,0.6286501377410468,0.4019283746556474,0.0918897199090779,0.2327235780868046,16.815952324427126,0.7000011246907847,Commerce/Retail,49519031055.79175,0.0541017572447504,0.1803398669044561,0.3961643834822845,6028301.0,8214.42576536768
5410,7,0.1428571428571428,0.1428571428571428,13,0.0,0.0,2023,1,0,1869.0,0.1091492776886035,0.0219368646334938,0.1044590130670438,0.252593538272123,17.265379684086113,0.4331145878543713,Other,154923007306.18,0.1862955518224856,0.3286299979344462,-0.014419225634179,17854776.0,8676.838472024516
6505,5,0.2,,4,0.0,,2023,0,0,1596.0,0.3383458646616541,0.3170426065162907,0.0,0.6964911629966176,17.28112145295085,0.8920490061257658,Commerce/Retail,1082051356.6200001,-0.0820415051881485,-0.759988419224088,-0.761675392670157,3454000.0,313.27485715691955
8133,8,0.25,0.0,5,0.4,0.0,2023,0,0,3072.0,0.4892578125,0.2965494791666667,0.0631043460200813,0.47892185127422,16.8354786568704,0.5096677321613899,Commerce/Retail,15254012929.011734,0.0476441485130916,0.0971670673910726,-0.1039094646765291,10047221.0,1518.2320493409804
8451,7,0.1428571428571428,0.0,3,0.0,0.0,2023,0,0,527.0,0.0872865275142315,0.0588235294117647,0.150337153907705,0.3595112296732813,15.889851991172648,0.5492433194213111,Industrials/Materials,6068722559.876025,0.1018695983806622,0.2259968687538482,2.065217392102836,3587709.0,1691.5314368796426
8656,3,0.0,0.0,8,0.0,0.0,2023,0,0,4610.0,0.2438177874186551,0.1427331887201735,0.088384191401208,0.2803397394097445,18.136093371306902,0.3410631836028442,Industrials/Materials,8411599063.462868,0.1008220892731119,0.1530072182403968,-0.1778955337212889,49573439.0,169.6795548814531
8672,8,0.125,0.0,5,0.6,0.0,2023,0,0,173.0,0.5895953757225434,0.1387283236994219,0.1308779548005747,0.2908169433296236,15.868566927357364,0.4638488058863821,Commerce/Retail,29860862387.64,0.0396492206621961,0.0739515664564461,0.4494649227110581,4177518.0,7147.991316288762
