cd_cvm,fiscal_year,debt_line_item,fonte
8133,2015,1951528.0,con
23868,2015,305996.0,ind
16624,2015,0.0,ind
23035,2015,72177.0,con
19356,2015,6081.0,ind
23515,2015,3115720.0,ind
22985,2015,0.0,ind
17361,2015,0.0,ind
80110,2015,7792639.0,con
17558,2015,0.0,con
19119,2015,0.0,ind
20680,2015,1110366.0,ind
10880,2015,0.0,con
19704,2015,8757.0,ind
22519,2015,171621.0,con
19437,2015,1122925.0,con
4448,2015,4406724.0,con
22330,2015,28621.0,con
16616,2015,734288.0,ind
16772,2015,7905456.0,ind
4863,2015,0.0,con
17930,2015,758659.0,ind
20303,2015,6048250.0,ind
22870,2015,0.0,ind
23183,2015,58724.0,ind
20060,2015,273341.0,con
23671,2015,1007175.0,ind
19364,2015,204634.0,ind
3069,2015,13677.0,con
23779,2015,236116.0,con
21652,2015,1413430.0,con
21920,2015,0.0,ind
19186,2015,898960.0,ind
2038,2015,75758.0,ind
5207,2015,26175.0,con
3450,2015,13517.0,ind
20257,2015,3845394.0,con
1171,2015,348448.0,ind
23680,2015,948485.0,ind
22357,2015,913833.0,con
20346,2015,415790.0,con
23418,2015,34039.0,ind
24074,2015,1859244.0,ind
21555,2015,809967.0,con
22926,2015,727556.0,ind
4537,2015,0.0,con
23914,2015,0.0,ind
19100,2015,1413430.0,con
14966,2015,5295416.0,ind
23884,2015,234093.0,ind
8427,2015,71872.0,con
22144,2015,1168622.0,con
23272,2015,1034429.0,con
14460,2015,3875220.0,con
21180,2015,0.0,con
17922,2015,0.0,con
17418,2015,0.0,con
20800,2015,509355.0,con
22217,2015,52.0,con
1562,2015,21418.0,con
12319,2015,10573.0,con
1325,2015,4931774.0,ind
16233,2015,0.0,con
16985,2015,821821.0,ind
23221,2015,107937.0,con
22551,2015,859567.0,con
7811,2015,1529396.0,con
23825,2015,540371.0,con
23540,2015,0.0,ind
4146,2015,272727.0,con
21130,2015,410514.0,con
19720,2015,0.0,ind
20001,2015,0.0,ind
23957,2015,0.0,con
1309,2015,9221.0,ind
22659,2015,0.0,ind
13439,2015,62695.0,ind
21008,2015,1343630.0,con
23442,2015,500647.0,ind
6629,2015,304638.0,ind
20494,2015,2076366.0,con
8192,2015,36645.0,con
9040,2015,190715.0,con
23019,2015,0.0,ind
4693,2015,169876.0,ind
23701,2015,0.0,ind
13366,2015,52450378.0,con
13447,2015,0.0,ind
14869,2015,1265629.0,ind
20729,2015,603756.0,ind
11762,2015,719900.0,con
20630,2015,37647.0,con
19070,2015,0.0,ind
15636,2015,3133346.0,ind
23264,2015,2622623.0,con
19852,2015,1059755.0,ind
20389,2015,0.0,ind
19860,2015,0.0,ind
23736,2015,72897.0,con
701,2015,0.0,ind
12530,2015,86541.0,con
20265,2015,3230416.0,con
19992,2015,595344.0,con
19658,2015,46252.0,con
20338,2015,633421.0,con
18627,2015,1872493.0,ind
503711,2015,5706121.0,ind
19135,2015,0.0,ind
11215,2015,2343.0,ind
1384,2015,1590.0,con
21350,2015,948397.0,con
22136,2015,4233000.0,con
14206,2015,2415158.0,ind
21970,2015,319740.0,ind
4820,2015,20336563.0,con
21490,2015,3977037.0,con
19941,2015,17262.0,ind
23809,2015,531936.0,ind
19470,2015,0.0,ind
14664,2015,453836.0,con
20044,2015,76409.0,ind
23345,2015,7759538.0,ind
18716,2015,44186.0,ind
21466,2015,0.0,ind
24015,2015,0.0,ind
12190,2015,143102.0,con
21636,2015,2845692.0,con
22616,2015,1631840.0,ind
5762,2015,127924.0,con
6955,2015,0.0,ind
3115,2015,265140.0,con
20133,2015,0.0,ind
3654,2015,71137.0,con
21148,2015,438550.0,con
21687,2015,0.0,ind
6017,2015,31394.0,ind
13471,2015,386607.0,con
4774,2015,8003.0,con
21440,2015,1158587.0,con
15377,2015,257450.0,ind
22632,2015,0.0,ind
8605,2015,37375201.0,ind
18589,2015,89622.0,ind
22977,2015,714764.0,ind
23698,2015,3309974.0,ind
13765,2015,15932.0,con
23744,2015,467642.0,ind
23620,2015,1910709.0,con
21032,2015,1244160.0,con
19232,2015,17541.0,ind
24040,2015,0.0,ind
20648,2015,386406.0,ind
18430,2015,249915.0,ind
15024,2015,412125.0,ind
24066,2015,787230.0,ind
23930,2015,0.0,con
9342,2015,126376.0,con
23000,2015,1017180.0,con
23655,2015,0.0,ind
22268,2015,1716709.0,ind
17779,2015,0.0,ind
14320,2015,6684215.0,con
10561,2015,0.0,ind
19305,2015,46798.0,con
1694,2015,0.0,con
19380,2015,29089.0,ind
16241,2015,316516.0,ind
9954,2015,0.0,ind
3298,2015,76118.0,con
7595,2015,1713311.0,con
19739,2015,2712466.0,con
23817,2015,14905.0,con
23248,2015,129018.0,con
2577,2015,1755064.0,ind
14605,2015,1328195.0,ind
21016,2015,589173.0,con
6343,2015,2131502.0,con
11223,2015,319285.0,con
15253,2015,7248050.0,con
23175,2015,1151452.0,con
22489,2015,0.0,ind
80071,2015,8502640.0,con
17540,2015,0.0,ind
12262,2015,134323.0,con
17388,2015,0.0,ind
22934,2015,0.0,ind
11592,2015,650203.0,ind
17965,2015,0.0,ind
20192,2015,2216156.0,ind
22560,2015,504273.0,con
18660,2015,19149959.0,con
23787,2015,0.0,ind
15784,2015,0.0,ind
15261,2015,9515.0,ind
20397,2015,973279.0,ind
18333,2015,0.0,ind
23892,2015,521895.0,ind
16748,2015,446576.0,ind
4669,2015,1002858.0,con
22586,2015,0.0,con
11312,2015,35849395.0,con
21393,2015,1946047.0,con
8036,2015,5504241.0,ind
4081,2015,125373.0,con
22608,2015,972972.0,ind
20885,2015,684091.0,ind
20788,2015,11200899.0,con
19330,2015,2483433.0,con
18597,2015,4370.0,ind
14133,2015,68384.0,con
20842,2015,2509159.0,con
21610,2015,1666491.0,con
21814,2015,0.0,ind
23230,2015,7633519.0,con
20168,2015,0.0,ind
19771,2015,6052505.0,con
21989,2015,768978.0,ind
24104,2015,353463.0,ind
17671,2015,7799260.0,con
18538,2015,1583.0,ind
19593,2015,60650.0,ind
22055,2015,1147111.0,con
17329,2015,4052290.0,con
23590,2015,375.0,con
13773,2015,447368.0,con
16292,2015,11589335.0,con
11070,2015,0.0,con
3190,2015,2698216.0,con
4685,2015,12595.0,ind
5770,2015,251704.0,con
20818,2015,0.0,ind
22942,2015,1081840.0,con
22080,2015,6801326167.0,ind
6173,2015,616517.0,con
19275,2015,1564653.0,ind
23353,2015,8880383.0,ind
21741,2015,0.0,ind
11932,2015,2892406.0,con
22390,2015,0.0,ind
21091,2015,2807843.0,con
21881,2015,1038820.0,con
20796,2015,0.0,con
23310,2015,0.0,con
18406,2015,0.0,ind
16560,2015,0.0,ind
15083,2015,485434.0,con
20516,2015,1590821.0,con
7544,2015,61513.0,con
18724,2015,1165109.0,con
4707,2015,0.0,con
13030,2015,168148.0,con
19224,2015,0.0,ind
22349,2015,99410.0,con
1228,2015,5681548.0,ind
14451,2015,321111.0,con
15300,2015,2392517.0,ind
15458,2015,237375.0,con
21903,2015,2850471.0,con
22020,2015,5224058.0,con
11231,2015,415.0,con
16705,2015,0.0,ind
3980,2015,19521485.0,con
18953,2015,9553229.0,con
94,2015,200382.0,con
11975,2015,17989.0,con
23167,2015,921099.0,ind
23485,2015,784709.0,con
14613,2015,35763.0,ind
18236,2015,0.0,ind
19577,2015,890950.0,ind
2437,2015,41625709.0,con
22365,2015,250915.0,con
23795,2015,0.0,con
22772,2015,1031467.0,con
20532,2015,51419261.0,ind
15091,2015,0.0,con
1970,2015,0.0,ind
18414,2015,216919.0,con
23582,2015,193599.0,ind
8451,2015,2112867.0,con
20052,2015,0.0,ind
20877,2015,1453836.0,con
23132,2015,155569.0,ind
8397,2015,437488.0,con
22721,2015,1107232.0,ind
4359,2015,130658.0,ind
80128,2015,23941996.0,con
9083,2015,29147.0,ind
20362,2015,519149.0,con
4030,2015,30354058.0,con
12572,2015,14323.0,con
14362,2015,1391426.0,ind
22160,2015,0.0,ind
2453,2015,13508738.0,con
21512,2015,0.0,ind
8818,2015,3920.0,ind
23922,2015,517435.0,ind
9067,2015,13786071.0,con
8893,2015,0.0,con
15709,2015,1322879.0,ind
22683,2015,200567.0,ind
3158,2015,1093525.0,con
15865,2015,0.0,ind
23949,2015,0.0,ind
20451,2015,588834.0,con
19453,2015,4185907.0,con
19151,2015,253874.0,ind
18465,2015,8375212.0,con
19836,2015,7397602.0,con
22691,2015,878341.0,ind
19313,2015,3071892.0,con
22799,2015,3991077.0,con
14214,2015,0.0,ind
22446,2015,260770.0,ind
22004,2015,638358.0,ind
15741,2015,595297.0,ind
23140,2015,351379.0,con
22470,2015,1711627.0,con
11207,2015,51714.0,con
16993,2015,103149.0,con
23558,2015,0.0,ind
19550,2015,3981210.0,con
9512,2015,351035000.0,con
2429,2015,776845.0,con
22780,2015,0.0,con
15407,2015,687.0,ind
23663,2015,0.0,ind
4782,2015,2875824.0,ind
21946,2015,0.0,ind
22411,2015,678220.0,ind
20990,2015,1909567.0,con
16608,2015,2124709.0,ind
18104,2015,0.0,ind
22500,2015,655115.0,con
12653,2015,10985572.0,con
14303,2015,4698.0,ind
20354,2015,913439.0,con
1210,2015,18465618.0,ind
21733,2015,7339742.0,con
1570,2015,79.0,ind
23850,2015,0.0,ind
20567,2015,767368.0,ind
23833,2015,271507.0,ind
3271,2015,341412.0,ind
18759,2015,0.0,ind
21377,2015,114695.0,ind
20087,2015,6662022.0,con
20141,2015,329592.0,con
3328,2015,1207567.0,con
6815,2015,709212.0,con
18775,2015,8990300.0,con
20524,2015,1870272.0,con
21121,2015,1036624.0,con
15695,2015,0.0,ind
23531,2015,3967473.0,con
17337,2015,0.0,ind
23302,2015,1200000.0,con
23876,2015,0.0,ind
14311,2015,6054398.0,con
1597,2015,25619.0,con
20958,2015,892703.0,con
22187,2015,87568.0,con
16632,2015,220906.0,con
20575,2015,40079140.0,con
17949,2015,3072529.0,ind
20672,2015,0.0,ind
5410,2015,4077542.0,con
13285,2015,657948.0,con
16659,2015,0.0,con
9520,2015,51.0,ind
8745,2015,41070.0,con
14176,2015,3071892.0,ind
21628,2015,0.0,ind
5258,2015,0.0,con
22276,2015,0.0,ind
19062,2015,2441229.0,con
23450,2015,784709.0,con
18139,2015,691885.0,ind
15113,2015,430207.0,ind
21156,2015,387659.0,con
19011,2015,198613.0,ind
5983,2015,25126.0,con
22829,2015,726873.0,con
17590,2015,310221.0,ind
17434,2015,0.0,ind
8656,2015,21493232.0,con
22012,2015,745384.0,ind
21300,2015,0.0,con
15822,2015,3799.0,ind
3204,2015,434369.0,con
18066,2015,0.0,ind
20028,2015,479149.0,con
22233,2015,0.0,ind
22667,2015,0.0,con
23965,2015,26784.0,con
24058,2015,330368.0,con
16373,2015,1108767.0,ind
14346,2015,211195.0,con
20222,2015,0.0,ind
15652,2015,861355.0,con
20710,2015,1423027.0,con
21431,2015,4804899.0,con
21237,2015,5163697.0,con
19348,2015,17350000.0,con
22250,2015,0.0,ind
23566,2015,0.0,ind
16942,2015,0.0,ind
19640,2015,0.0,ind
19925,2015,4175196.0,con
19909,2015,5122187.0,con
80152,2015,3572602.0,con
21830,2015,295708.0,ind
21849,2015,998362.0,ind
15890,2015,0.0,ind
14818,2015,0.0,ind
19097,2015,0.0,ind
19879,2015,6582301.0,con
16586,2015,0.0,ind
17884,2015,0.0,ind
15717,2015,0.0,ind
13781,2015,1176522.0,con
3050,2015,1808535.0,ind
16446,2015,0.0,ind
23604,2015,117226.0,con
18996,2015,615478.0,ind
18287,2015,0.0,con
21482,2015,3161338.0,con
16497,2015,23843.0,con
16438,2015,0.0,ind
1120,2015,571453.0,ind
19844,2015,0.0,ind
9989,2015,42352.0,con
8753,2015,184586002.0,con
20605,2015,2465963.0,con
23493,2015,936574.0,con
23612,2015,51004.0,ind
14923,2015,602856.0,ind
6505,2015,3706000.0,con
23710,2015,106689.0,con
23477,2015,0.0,ind
20966,2015,860639.0,con
21997,2015,496853.0,ind
80101,2015,587283.0,con
20770,2015,506968.0,con
18309,2015,2250184.0,ind
19895,2015,23069.0,ind
20443,2015,4155600.0,ind
23329,2015,482417.0,ind
20230,2015,0.0,ind
20184,2015,0.0,con
1520,2015,164911.0,con
11398,2015,40212.0,con
22543,2015,607914.0,ind
19615,2015,171357.0,con
8087,2015,8015380.0,con
17850,2015,98293.0,ind
20702,2015,961418.0,con
21857,2015,568920.0,ind
16306,2015,2426745.0,con
20931,2015,5348940.0,con
20010,2015,4374893.0,con
23841,2015,0.0,ind
9393,2015,1333083.0,con
19429,2015,0.0,ind
21202,2015,572620.0,con
14850,2015,608276.0,ind
13986,2015,13760585.0,con
23370,2015,98625.0,ind
20559,2015,0.0,ind
21717,2015,0.0,con
23060,2015,670320.0,ind
22179,2015,4563.0,ind
16861,2015,489636.0,ind
8672,2015,2335079.0,con
4723,2015,0.0,con
20435,2015,2368932.0,con
7870,2015,106395.0,con
80047,2015,1062167.0,con
20125,2015,0.0,con
15199,2015,5649142.0,ind
4170,2015,76517311.0,con
22071,2015,1865566.0,ind
18821,2015,10450761.0,con
21105,2015,0.0,ind
17493,2015,0.0,con
5576,2015,850561.0,ind
20320,2015,7036700.0,ind
23574,2015,479434.0,con
21709,2015,617669.0,con
8575,2015,590305.0,con
19607,2015,345951.0,ind
21792,2015,789363.0,con
12823,2015,57022.0,con
1155,2015,2400824.0,ind
16101,2015,2586524.0,con
17450,2015,6793052.0,con
11258,2015,0.0,con
5380,2015,50765.0,ind
21725,2015,0.0,con
17639,2015,6754419.0,con
14761,2015,23422.0,con
19569,2015,6235239.0,con
16675,2015,14158829.0,ind
23728,2015,26906.0,con
22420,2015,0.0,ind
17914,2015,99181.0,con
21024,2015,914155.0,ind
19623,2015,1228257.0,con
906,2015,92620644.0,ind
23523,2015,0.0,ind
12696,2015,61573.0,con
22497,2015,551089.0,con
13854,2015,0.0,ind
18368,2015,0.0,con
23507,2015,215653.0,con
19747,2015,0.0,ind
15342,2015,866510.0,ind
16284,2015,0.0,ind
22810,2015,7166908.0,con
10472,2015,801243.0,con
7510,2015,498398.0,con
1724,2015,0.0,ind
14826,2015,9728000.0,con
23469,2015,224849.0,ind
23205,2015,317420.0,ind
18376,2015,1191875.0,con
17973,2015,942118.0,con
7617,2015,3025000.0,con
23396,2015,1343463.0,con
22853,2015,0.0,ind
21822,2015,481392.0,ind
22454,2015,43717.0,con
23760,2015,0.0,ind
80063,2015,0.0,con
14168,2015,41597.0,ind
10456,2015,514003.0,con
23280,2015,1929807.0,con
20745,2015,1331976.0,con
6700,2015,12903.0,con
15733,2015,41726.0,ind
15539,2015,8556561.0,con
11991,2015,75427.0,con
21199,2015,773610.0,con
21075,2015,0.0,ind
22225,2015,284621.0,ind
10960,2015,7406.0,con
9415,2015,0.0,con
22578,2015,0.0,ind
22764,2015,0.0,ind
3824,2015,4041032.0,ind
17892,2015,357949.0,con
11800,2015,1117369.0,con
15121,2015,0.0,ind
20036,2015,120162.0,con
18970,2015,4695930.0,con
21520,2015,449414.0,con
21644,2015,0.0,ind
80136,2015,123880107.0,con
19917,2015,32733.0,con
23426,2015,359454.0,con
18546,2015,447359.0,ind
20621,2015,1331501.0,ind
19763,2015,3358465.0,con
8540,2015,781269.0,ind
14443,2015,10785767.0,ind
3395,2015,82313.0,con
21342,2015,5893948.0,con
20370,2015,0.0,con
13412,2015,1374281.0,con
9539,2015,106395233.0,con
21938,2015,621650.0,ind
1023,2015,66572011.0,ind
21601,2015,33424.0,con
22950,2015,0.0,ind
22594,2015,858602.0,con
23388,2015,13049394.0,ind
20540,2015,5649534.0,con
17485,2015,2195851.0,ind
14524,2015,3811637.0,ind
20613,2015,704355.0,con
3077,2015,211953.0,con
5312,2015,138328.0,con
22675,2015,637028.0,con
21750,2015,0.0,ind
3549,2015,87603.0,con
23434,2015,761440.0,con
20478,2015,4934828.0,con
16535,2015,1688239.0,ind
20982,2015,2119051.0,con
23647,2015,0.0,ind
23906,2015,4786845.0,ind
12858,2015,11907.0,ind
922,2015,386136.0,ind
15369,2015,0.0,ind
2100,2015,152251.0,con
22845,2015,5321740.0,con
18708,2015,17812.0,con
3891,2015,1518270.0,ind
2461,2015,859353.0,con
23973,2015,6505349.0,ind
8117,2015,0.0,ind
16268,2015,14747.0,ind
9717,2015,3.0,ind
16527,2015,1296283.0,ind
22861,2015,91.0,ind
21067,2015,1097349.0,con
6041,2015,0.0,ind
18554,2015,68289.0,ind
23639,2015,0.0,ind
21962,2015,893956.0,ind
22993,2015,1111358.0,ind
21040,2015,2483827.0,con
12793,2015,8326519.0,con
19518,2015,0.0,ind
20915,2015,2502030.0,con
16209,2015,0.0,ind
23337,2015,0.0,ind
23752,2015,0.0,ind
22802,2015,0.0,ind
6211,2015,402150.0,con
19445,2015,3437330.0,con
16551,2015,2640.0,ind
23159,2015,1026776.0,con
19984,2015,141081.0,ind
21334,2015,27493.0,con
6076,2015,0.0,ind
80020,2015,289999.0,con
20150,2015,0.0,ind
15423,2015,0.0,ind
14109,2015,2573420.0,con
17868,2015,455961.0,ind
19208,2015,83342.0,ind
8133,2016,1903012.0,con
23868,2016,767660.0,con
16624,2016,0.0,ind
23035,2016,128338.0,con
19356,2016,0.0,ind
23515,2016,3378600.0,ind
22985,2016,0.0,ind
17361,2016,0.0,ind
80110,2016,17394544.0,con
17558,2016,0.0,con
24139,2016,0.0,ind
19119,2016,0.0,ind
10880,2016,0.0,con
22519,2016,167443.0,con
19437,2016,828619.0,con
4448,2016,5239033.0,con
16616,2016,877578.0,ind
16772,2016,4054792.0,ind
4863,2016,0.0,con
17930,2016,741610.0,ind
20303,2016,7020042.0,ind
23183,2016,59986.0,ind
20060,2016,200348.0,con
24180,2016,9938936.0,con
23671,2016,978068.0,ind
19364,2016,304265.0,ind
3069,2016,17828.0,con
21920,2016,0.0,ind
19186,2016,1123373.0,ind
5207,2016,29965.0,con
3450,2016,12333.0,ind
20257,2016,3672545.0,con
1171,2016,374549.0,ind
23680,2016,906656.0,ind
22357,2016,891347.0,con
20346,2016,527668.0,con
23418,2016,34657.0,ind
24074,2016,14501159.0,ind
21555,2016,917833.0,con
22926,2016,764268.0,ind
4537,2016,0.0,con
23914,2016,0.0,ind
19100,2016,1572330.0,con
14966,2016,4268751.0,ind
23884,2016,284873.0,ind
8427,2016,70907.0,con
22144,2016,1188341.0,con
23272,2016,964958.0,con
14460,2016,3741611.0,con
21180,2016,0.0,con
23990,2016,400.0,ind
17922,2016,0.0,ind
17418,2016,0.0,con
20800,2016,364297.0,con
22217,2016,1.0,con
1562,2016,27517.0,con
12319,2016,11960.0,con
1325,2016,5174526.0,ind
16233,2016,0.0,con
16985,2016,1003185.0,ind
23221,2016,382724.0,con
22551,2016,1583458.0,con
7811,2016,1245703.0,con
