CD_CVM,DENOM_CIA,fiscal_year,period_end_date,filing_date,ID_DOC,source
18970,AES TIETE ENERGIA SA,2010,2010-12-31,2011-03-28,5659,ibx_extension
18970,AES TIETE ENERGIA SA,2011,2011-12-31,2012-03-14,15023,ibx_extension
18970,AES TIETE ENERGIA SA,2012,2012-12-31,2013-02-28,24572,ibx_extension
18970,AES TIETE ENERGIA SA,2013,2013-12-31,2014-02-28,34956,ibx_extension
18970,AES TIETE ENERGIA SA,2014,2014-12-31,2015-02-25,44291,ibx_extension
18970,AES TIETE ENERGIA SA,2015,2015-12-31,2016-02-24,53577,ibx_extension
18970,AES TIETE ENERGIA SA,2016,2016-12-31,2017-02-24,62808,ibx_extension
18970,AES TIETE ENERGIA SA,2017,2017-12-31,2018-02-27,71802,ibx_extension
18970,AES TIETE ENERGIA SA,2018,2018-12-31,2019-02-26,80910,ibx_extension
18970,AES TIETE ENERGIA SA,2019,2019-12-31,2020-02-29,91270,ibx_extension
18970,AES TIETE ENERGIA SA,2020,2020-12-31,2021-03-11,100848,ibx_extension
18350,AES TIETE SA,2010,2010-12-31,2011-03-25,5577,ibx_extension
18350,AES TIETE SA,2012,2012-12-31,2013-02-26,24466,ibx_extension
18350,AES TIETE SA,2013,2013-12-31,2014-02-25,34821,ibx_extension
18350,AES TIETE SA,2014,2014-12-31,2015-02-25,44287,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2010,2010-12-31,2011-03-29,5804,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2011,2011-12-31,2012-12-05,23057,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2012,2012-12-31,2013-03-26,25291,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2013,2013-12-31,2014-04-03,36079,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2014,2014-12-31,2015-03-26,45332,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2016,2016-12-31,2017-03-27,63639,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2017,2017-12-31,2018-03-12,72187,ibx_extension
21300,ALIANSCE SHOPPING CENTERS S.A.,2018,2018-12-31,2019-02-26,80906,ibx_extension
22357,ALLOS S.A.,2010,2010-12-31,2011-05-10,7520,history_extension
22357,ALLOS S.A.,2011,2011-12-31,2012-04-12,16149,history_extension
22357,ALLOS S.A.,2012,2012-12-31,2013-03-07,24778,history_extension
22357,ALLOS S.A.,2013,2013-12-31,2014-03-13,35169,history_extension
22357,ALLOS S.A.,2014,2014-12-31,2015-03-04,44668,history_extension
10456,ALPARGATAS S.A.,2010,2010-12-31,2011-03-30,6003,history_extension
10456,ALPARGATAS S.A.,2011,2011-12-31,2012-12-10,23121,history_extension
10456,ALPARGATAS S.A.,2012,2012-12-31,2014-08-08,40224,history_extension
10456,ALPARGATAS S.A.,2013,2013-12-31,2014-08-08,40225,history_extension
10456,ALPARGATAS S.A.,2014,2014-12-31,2015-03-11,44912,history_extension
21490,ALUPAR INVESTIMENTO S/A,2010,2010-12-31,2011-04-25,6665,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2011,2011-12-31,2013-02-25,24446,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2012,2012-12-31,2013-02-23,24425,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2013,2013-12-31,2014-03-27,35636,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2014,2014-12-31,2015-03-05,44807,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2015,2015-12-31,2016-03-10,54006,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2016,2016-12-31,2017-03-20,63354,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2017,2017-12-31,2018-03-08,72116,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2018,2018-12-31,2019-05-15,83727,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2019,2019-12-31,2020-03-11,91503,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2020,2020-12-31,2021-03-23,102147,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2021,2021-12-31,2022-02-24,112043,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2022,2022-12-31,2023-03-02,123842,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2023,2023-12-31,2024-03-05,134463,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2024,2024-12-31,2025-02-26,145069,ibx_extension
21490,ALUPAR INVESTIMENTO S/A,2025,2025-12-31,2026-03-05,155099,ibx_extension
23264,AMBEV S.A.,2012,2012-12-31,2013-10-31,32204,history_extension
23264,AMBEV S.A.,2013,2013-12-31,2014-03-24,35475,history_extension
23264,AMBEV S.A.,2014,2014-12-31,2015-02-26,44295,history_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2019,2019-12-31,2020-02-20,91120,ibx_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2020,2020-12-31,2021-04-08,102743,ibx_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2021,2021-12-31,2022-03-14,112504,ibx_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2022,2022-12-31,2023-03-28,124738,ibx_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2023,2023-12-31,2024-07-12,139617,ibx_extension
24961,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,2024,2024-12-31,2026-02-04,154596,ibx_extension
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2010,2010-12-31,2011-03-23,5481,history_extension
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2011,2011-12-31,2012-04-11,16136,history_extension
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2012,2012-12-31,2013-03-07,24779,history_extension
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2013,2013-12-31,2014-03-19,35307,history_extension
20990,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,2014,2014-12-31,2015-03-18,45058,history_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2010,2010-12-31,2011-05-26,8548,ibx_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2011,2011-12-31,2012-03-31,15882,ibx_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2012,2012-12-31,2013-03-25,25251,ibx_extension
18961,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,2013,2013-12-31,2014-03-17,35221,ibx_extension
23248,ANIMA HOLDING S.A.,2012,2012-12-31,2013-10-25,32051,ibx_extension
23248,ANIMA HOLDING S.A.,2013,2013-12-31,2014-03-20,35381,ibx_extension
23248,ANIMA HOLDING S.A.,2014,2014-12-31,2015-02-26,44335,ibx_extension
23248,ANIMA HOLDING S.A.,2015,2015-12-31,2016-03-08,53928,ibx_extension
23248,ANIMA HOLDING S.A.,2016,2016-12-31,2017-03-14,63146,ibx_extension
23248,ANIMA HOLDING S.A.,2017,2017-12-31,2018-03-21,72485,ibx_extension
23248,ANIMA HOLDING S.A.,2018,2018-12-31,2019-03-21,81393,ibx_extension
23248,ANIMA HOLDING S.A.,2019,2019-12-31,2020-03-11,91479,ibx_extension
23248,ANIMA HOLDING S.A.,2020,2020-12-31,2021-03-17,101029,ibx_extension
23248,ANIMA HOLDING S.A.,2021,2021-12-31,2022-03-28,113046,ibx_extension
23248,ANIMA HOLDING S.A.,2022,2022-12-31,2023-03-27,124656,ibx_extension
23248,ANIMA HOLDING S.A.,2023,2023-12-31,2024-03-25,135077,ibx_extension
