CD_CVM,ANO,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,error
022357,2010,7520,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00001816530000000000000000.pdf.pdf', 'size_bytes': 2110918}]",ALLOS S.A.,
022357,2011,16149,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00002416530000000000000000.pdf.pdf', 'size_bytes': 1150206}]",ALLOS S.A.,
022357,2012,24778,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002504120000000000000000.pdf.pdf', 'size_bytes': 335736}]",ALLOS S.A.,
022357,2013,35169,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004704120000000000000000.pdf.pdf', 'size_bytes': 794436}]",ALLOS S.A.,
022357,2014,44668,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\022357\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122504120000000000000000.pdf.pdf', 'size_bytes': 829004}]",ALLOS S.A.,
010456,2010,6003,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2010\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001416530000000000000000.pdf.pdf', 'size_bytes': 1820570}]",ALPARGATAS S.A.,
010456,2011,23121,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2011\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\EmpresasNet\\Temp\\files\\00002604120000000000000000.pdf.pdf', 'size_bytes': 490246}]",ALPARGATAS S.A.,
010456,2012,40224,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2012\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00003004120000000000000000.pdf.pdf', 'size_bytes': 593590}]",ALPARGATAS S.A.,
010456,2013,40225,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2013\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002904120000000000000000.pdf.pdf', 'size_bytes': 1623568}]",ALPARGATAS S.A.,
010456,2014,44912,1,largest_attachment_fallback,"[{'path': 'data\\raw\\dfp\\010456\\2014\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00119904120000000000000000.pdf.pdf', 'size_bytes': 1609771}]",ALPARGATAS S.A.,
