ID,Name,CNPJ,CD_CVM
TIET11 BS Equity,AES Tiete Energia SA,04.128.563/0001-10,18970
GETI4 BS Equity,AES Tiete SA,02.998.609/0001-27,18350
AGEI3 BS Equity,Agre Empreendimentos Imobiliarios Ltda,11.040.082/0001-14,21911
KSSA3 BS Equity,Agre KS Empreendimentos Imobiliarios SA,00.187.032/0001-48,20249
ALSC3 BS Equity,Aliansce Shopping Centers SA,06.082.980/0001-03,21300
ALUP11 BS Equity,Alupar Investimento SA,08.364.948/0001-38,21490
AMBP3 BS Equity,Ambipar Participacoes e Empreendimentos S/A,12.648.266/0001-24,24961
AEDU3 BS Equity,Anhanguera Educacional Participacoes S/A,04.310.392/0001-46,18961
ANIM3 BS Equity,Anima Holding SA,09.288.252/0001-32,23248
ARTR3 BS Equity,Arteris SA,02.919.555/0001-67,19771
ODPV3 BS Equity,Bradsaude S A,58.119.199/0001-51,20125
0927042D BS Equity,CCX Carvao da Colombia SA,07.950.674/0001-04,20184
CLSC4 BS Equity,Centrais Eletricas de Santa Catarina SA,83.878.892/0001-55,2461
CBAV3 BS Equity,Cia Brasileira de Aluminio,61.409.892/0001-73,25984
AMBV3 BS Equity,Cia de Bebidas das Americas-Ambev,02.808.708/0001-07,18112
CGAS5 BS Equity,Cia de Gas de Sao Paulo SA,61.856.571/0001-17,15636
CNFB4 BS Equity,Confab Industrial SA,60.882.628/0001-90,4650
TEND3 BS Equity,Construtora Tenda S/A,71.476.527/0001-35,21148
RLOG3 BS Equity,Cosan Logistica SA,17.346.997/0001-39,23485
ENAT3 BS Equity,Enauta Participacoes SA,11.669.021/0001-10,22365
FHER3 BS Equity,Fertilizantes Heringer SA,22.266.175/0001-88,20621
GGPS3 BS Equity,GPS Participacoes e Empreendimentos SA,09.229.201/0001-30,25712
GVTT3 BS Equity,GVT Holding SA,03.420.904/0001-64,20117
GRND3 BS Equity,Grendene SA,89.850.341/0001-60,19615
GMAT3 BS Equity,Grupo Mateus SA,24.990.777/0001-09,25186
SBFG3 BS Equity,Grupo SBF SA,13.217.485/0001-11,24694
INTB3 BS Equity,Intelbras SA Industria de Telecomunicacao Eletronica Brasileira,82.901.000/0001-27,25453
MEAL3 BS Equity,International Meal Co Alimentacao SA,17.314.329/0001-20,23574
MYPK3 BS Equity,Iochpe Maxion SA,61.156.113/0001-75,11932
JBSS3 BS Equity,JBS S/A,02.916.265/0001-60,20575
KEPL3 BS Equity,Kepler Weber SA,91.983.056/0001-69,7870
LWSA3 BS Equity,LWSA SA,02.351.877/0001-52,21407
LUPA3 BS Equity,Lupatech S/A,89.463.822/0001-12,20060
MDIA3 BS Equity,M Dias Branco SA,07.206.816/0001-15,20338
MAGG3 BS Equity,Magnesita Refratarios SA,08.684.547/0001-65,20842
LEVE3 BS Equity,Mahle Metal Leve SA,60.476.884/0001-87,8575
AMAR3 BS Equity,Marisa Lojas SA,61.189.288/0001-89,22055
MILS3 BS Equity,Mills Locacao Servicos e Logistica SA,27.093.558/0001-15,22012
MOVI3 BS Equity,Movida Participacoes SA,21.314.559/0001-66,23825
MPLU3 BS Equity,Multiplus SA,11.094.546/0001-75,21946
NETC4 BS Equity,NET Servicos de Comunicacao SA,00.108.786/0001-65,14621
NEOE3 BS Equity,Neoenergia SA,01.083.200/0001-18,15539
NEXP3 BS Equity,Nexpe Participacoes SA,08.613.550/0001-98,21180
OSXB3 BS Equity,OSX Brasil SA,09.112.685/0001-32,21342
OGXP3 BS Equity,Oleo e Gas Participacoes SA,07.957.093/0001-96,20168
ONCO3 BS Equity,Oncoclinicas do Brasil Servicos Medicos SA,12.104.241/0004-02,26123
PMAM3 BS Equity,Paranapanema SA,60.398.369/0004-79,9393
PETZ3 BS Equity,Pet Center Comercio e Participacoes SA,18.328.118/0001-09,25089
PLAS3 BS Equity,Plascar Participacoes Industriais SA,51.928.174/0001-50,13471
PRTX3 BS Equity,PortX Operacoes Portuarias SA,10.846.981/0001-46,21776
RAPT4 BS Equity,Randoncorp SA,89.086.144/0001-16,14109
RDCD3 BS Equity,Redecard Instituicao De Pagamento SA,01.425.787/0001-04,20893
RPMG3 BS Equity,Refinaria de Petroleos de Manguinhos S/A,33.412.081/0001-96,9989
RUMO3 BS Equity,Rumo Logistica Operadora Multimodal SA,71.550.388/0001-42,23450
SIMH3 BS Equity,SIMPAR SA,07.415.333/0001-20,25003
TESA3 BS Equity,SLC Agricola Centro Oeste SA,05.799.312/0001-20,20354
SEER3 BS Equity,Ser Educacional SA,04.986.320/0001-13,23221
SRNA3 BS Equity,Serena Energia SA,42.500.384/0001-51,26441
CRUZ3 BS Equity,Souza Cruz Ltda,33.009.911/0001-39,4057
LINX3 BS Equity,Stone Corporate SPE SA,06.948.969/0001-75,23035
TCSL4 BS Equity,TIM Participacoes SA,02.558.115/0001-21,17639
TASA4 BS Equity,Taurus Armas SA,92.781.335/0001-02,6173
TCSA3 BS Equity,Tecnisa SA,08.065.557/0001-12,20435
BISA3 BS Equity,Tegra Incorporadora SA,30.213.493/0001-09,25844
TMAR5 BS Equity,Telemar Norte Leste SA,33.000.118/0001-79,11320
ACGU3 BS Equity,Tereos Acucar e Energia Brasil SA,47.080.619/0001-17,20940
TERI3 BS Equity,Tereos Internacional SA,11.566.501/0001-56,22136
TUPY3 BS Equity,Tupy SA,84.683.374/0001-49,6343
FFTL4 BS Equity,Vale Fertilizantes SA/Old,19.443.985/0001-58,14028
VLID3 BS Equity,Valid Solucoes e Servicos de Seguranca em Meios de Pagamento e Identificacao SA,33.113.309/0001-47,20028
VBBR3 BS Equity,Vibra Energia SA,34.274.233/0001-02,14249
VIVR3 BS Equity,Viver Incorporadora e Construtora SA,67.571.414/0001-41,20702
VIVO4 BS Equity,Vivo Participacoes SA,02.558.074/0001-73,17710
XPBR31 BS Equity,XP Inc,16.838.421/0001-26,27111
