CD_CVM,DENOM_CIA,QUARTER_LABEL,period_end_date,filing_date,ID_DOC
22357,ALLOS S.A.,2015Q1,2015-03-31,2015-05-06,46511
22357,ALLOS S.A.,2015Q2,2015-06-30,2015-08-05,49471
22357,ALLOS S.A.,2015Q3,2015-09-30,2015-11-09,51425
22357,ALLOS S.A.,2016Q2,2016-06-30,2016-08-03,58440
22357,ALLOS S.A.,2016Q3,2016-09-30,2016-11-03,60344
22357,ALLOS S.A.,2017Q1,2017-03-31,2017-05-11,65252
22357,ALLOS S.A.,2017Q2,2017-06-30,2017-08-07,67558
22357,ALLOS S.A.,2017Q3,2017-09-30,2017-11-08,69554
22357,ALLOS S.A.,2018Q1,2018-03-31,2018-05-09,74049
22357,ALLOS S.A.,2018Q2,2018-06-30,2018-08-08,76794
22357,ALLOS S.A.,2018Q3,2018-09-30,2018-11-06,78692
22357,ALLOS S.A.,2019Q1,2019-03-31,2019-05-14,83452
22357,ALLOS S.A.,2019Q2,2019-06-30,2019-07-30,85720
22357,ALLOS S.A.,2019Q3,2019-09-30,2019-11-13,89445
22357,ALLOS S.A.,2020Q1,2020-03-31,2020-05-20,93314
22357,ALLOS S.A.,2020Q2,2020-06-30,2020-08-12,95957
22357,ALLOS S.A.,2020Q3,2020-09-30,2020-11-11,98233
22357,ALLOS S.A.,2021Q1,2021-03-31,2021-05-12,103921
22357,ALLOS S.A.,2021Q2,2021-06-30,2021-08-11,107526
22357,ALLOS S.A.,2021Q3,2021-09-30,2021-11-10,109686
22357,ALLOS S.A.,2022Q1,2022-03-31,2022-05-11,114840
22357,ALLOS S.A.,2022Q2,2022-06-30,2022-08-10,119442
22357,ALLOS S.A.,2022Q3,2022-09-30,2022-11-10,121669
22357,ALLOS S.A.,2023Q1,2023-03-31,2023-05-25,127224
22357,ALLOS S.A.,2023Q2,2023-06-30,2023-08-14,130344
22357,ALLOS S.A.,2023Q3,2023-09-30,2023-11-13,132423
22357,ALLOS S.A.,2024Q1,2024-03-31,2024-05-09,136923
22357,ALLOS S.A.,2024Q2,2024-06-30,2024-08-13,140936
22357,ALLOS S.A.,2024Q3,2024-09-30,2024-11-13,143087
10456,ALPARGATAS S.A.,2015Q1,2015-03-31,2015-05-08,46697
10456,ALPARGATAS S.A.,2015Q2,2015-06-30,2015-08-07,49548
10456,ALPARGATAS S.A.,2015Q3,2015-09-30,2015-11-06,51370
10456,ALPARGATAS S.A.,2016Q1,2016-03-31,2016-05-06,55729
10456,ALPARGATAS S.A.,2016Q2,2016-06-30,2016-08-09,58600
10456,ALPARGATAS S.A.,2016Q3,2016-09-30,2016-11-04,60380
10456,ALPARGATAS S.A.,2017Q1,2017-03-31,2017-05-05,64749
10456,ALPARGATAS S.A.,2017Q2,2017-06-30,2017-08-04,67525
10456,ALPARGATAS S.A.,2017Q3,2017-09-30,2017-11-13,69829
10456,ALPARGATAS S.A.,2018Q1,2018-03-31,2018-05-14,74410
10456,ALPARGATAS S.A.,2018Q2,2018-06-30,2018-09-27,77955
10456,ALPARGATAS S.A.,2018Q3,2018-09-30,2018-11-09,78934
10456,ALPARGATAS S.A.,2019Q1,2019-03-31,2019-05-13,83297
10456,ALPARGATAS S.A.,2019Q2,2019-06-30,2019-08-09,86276
10456,ALPARGATAS S.A.,2019Q3,2019-09-30,2019-11-08,89185
