CD_CVM,QUARTER_LABEL,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,DT_REFER,error
23264,2015Q1,46435,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2015Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121001930000000000000000.pdf.pdf', 'size_bytes': 537851}]",AMBEV S.A.,2015-03-31,
23264,2015Q2,49329,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2015Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122301930000000000000000.pdf.pdf', 'size_bytes': 559728}]",AMBEV S.A.,2015-06-30,
23264,2015Q3,51198,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2015Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122901930000000000000000.pdf.pdf', 'size_bytes': 563806}]",AMBEV S.A.,2015-09-30,
23264,2016Q1,55515,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2016Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00131001920000000000000000.pdf.pdf', 'size_bytes': 427430}]",AMBEV S.A.,2016-03-31,
23264,2016Q2,58332,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2016Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00133501930000000000000000.pdf.pdf', 'size_bytes': 479633}]",AMBEV S.A.,2016-06-30,
23264,2016Q3,60227,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2016Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00131001920000000000000000.pdf.pdf', 'size_bytes': 814199}]",AMBEV S.A.,2016-09-30,
23264,2017Q1,64654,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2017Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00135601930000000000000000.pdf.pdf', 'size_bytes': 1495512}]",AMBEV S.A.,2017-03-31,
23264,2017Q2,67344,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2017Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00137401920000000000000000.pdf.pdf', 'size_bytes': 557208}]",AMBEV S.A.,2017-06-30,
23264,2017Q3,69269,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2017Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00137401930000000000000000.pdf.pdf', 'size_bytes': 1680377}]",AMBEV S.A.,2017-09-30,
23264,2018Q1,73996,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2018Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13\\Temp\\files\\00124001920000000000000000.pdf.pdf', 'size_bytes': 509899}]",AMBEV S.A.,2018-03-31,
23264,2018Q2,76490,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2018Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00122101930000000000000000.pdf.pdf', 'size_bytes': 1677335}]",AMBEV S.A.,2018-06-30,
23264,2018Q3,78264,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2018Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00124101920000000000000000.pdf.pdf', 'size_bytes': 684418}]",AMBEV S.A.,2018-09-30,
23264,2019Q1,82754,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2019Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121901930000000000000000.pdf.pdf', 'size_bytes': 558654}]",AMBEV S.A.,2019-03-31,
23264,2019Q2,85570,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2019Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15000\\Temp\\files\\00121901930000000000000000.pdf.pdf', 'size_bytes': 689874}]",AMBEV S.A.,2019-06-30,
23264,2019Q3,88811,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2019Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00122301930000000000000000.pdf.pdf', 'size_bytes': 742232}]",AMBEV S.A.,2019-09-30,
23264,2020Q1,92786,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2020Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00124201930000000000000000.pdf.pdf', 'size_bytes': 1618630}]",AMBEV S.A.,2020-03-31,
23264,2020Q2,95156,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2020Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00125201930000000000000000.pdf.pdf', 'size_bytes': 1941104}]",AMBEV S.A.,2020-06-30,
23264,2020Q3,97931,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2020Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00125401920000000000000000.pdf.pdf', 'size_bytes': 7974839}]",AMBEV S.A.,2020-09-30,
23264,2021Q1,103453,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2021Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00124101930000000000000000.pdf.pdf', 'size_bytes': 1533476}]",AMBEV S.A.,2021-03-31,
23264,2021Q2,110356,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2021Q2\\notas_explicativas.pdf', 'original_filename': '00122801930000000000000000.pdf.pdf', 'size_bytes': 1917022}]",AMBEV S.A.,2021-06-30,
23264,2021Q3,109283,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2021Q3\\notas_explicativas.pdf', 'original_filename': '3º ITR  2021_Ambev SA.pdf', 'size_bytes': 1853668}]",AMBEV S.A.,2021-09-30,
23264,2022Q1,114300,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2022Q1\\notas_explicativas.pdf', 'original_filename': '1º ITR  2022_Ambev SA.pdf', 'size_bytes': 1627091}]",AMBEV S.A.,2022-03-31,
23264,2022Q2,118750,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2022Q2\\notas_explicativas.pdf', 'original_filename': '2º ITR  2022_Ambev SA.pdf', 'size_bytes': 1794058}]",AMBEV S.A.,2022-06-30,
23264,2022Q3,121181,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2022Q3\\notas_explicativas.pdf', 'original_filename': '3º ITR  2022_Ambev SA.pdf', 'size_bytes': 1795673}]",AMBEV S.A.,2022-09-30,
23264,2023Q1,125718,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2023Q1\\notas_explicativas.pdf', 'original_filename': '1º ITR 2023_Ambev SA.pdf', 'size_bytes': 1539541}]",AMBEV S.A.,2023-03-31,
23264,2023Q2,129694,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2023Q2\\notas_explicativas.pdf', 'original_filename': '2º ITR 2023_Ambev SA.pdf', 'size_bytes': 1835395}]",AMBEV S.A.,2023-06-30,
23264,2023Q3,131689,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2023Q3\\notas_explicativas.pdf', 'original_filename': '3º ITR  2023_Ambev SA.pdf', 'size_bytes': 1739055}]",AMBEV S.A.,2023-09-30,
23264,2024Q1,136639,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2024Q1\\notas_explicativas.pdf', 'original_filename': '1º ITR 2024_Ambev SA.pdf', 'size_bytes': 1715953}]",AMBEV S.A.,2024-03-31,
23264,2024Q2,140325,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2024Q2\\notas_explicativas.pdf', 'original_filename': '2º ITR 2024_Ambev SA.pdf', 'size_bytes': 1797515}]",AMBEV S.A.,2024-06-30,
23264,2024Q3,142447,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\023264\\2024Q3\\notas_explicativas.pdf', 'original_filename': '3º ITR 2024_Ambev SA.pdf', 'size_bytes': 1943049}]",AMBEV S.A.,2024-09-30,
4820,2015Q1,46556,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2015Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00120701920000000000000000.pdf.pdf', 'size_bytes': 882009}]",BRASKEM S.A.,2015-03-31,
4820,2015Q2,49493,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2015Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00120801920000000000000000.pdf.pdf', 'size_bytes': 906968}]",BRASKEM S.A.,2015-06-30,
4820,2015Q3,51305,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2015Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00121001920000000000000000.pdf.pdf', 'size_bytes': 877561}]",BRASKEM S.A.,2015-09-30,
4820,2016Q1,55582,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2016Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123001920000000000000000.pdf.pdf', 'size_bytes': 1056352}]",BRASKEM S.A.,2016-03-31,
4820,2016Q2,58481,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2016Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123401920000000000000000.pdf.pdf', 'size_bytes': 1055683}]",BRASKEM S.A.,2016-06-30,
4820,2016Q3,60598,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2016Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123401920000000000000000.pdf.pdf', 'size_bytes': 645509}]",BRASKEM S.A.,2016-09-30,
4820,2017Q1,68265,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2017Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123701920000000000000000.pdf.pdf', 'size_bytes': 530696}]",BRASKEM S.A.,2017-03-31,
4820,2017Q2,68266,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2017Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123801920000000000000000.pdf.pdf', 'size_bytes': 638076}]",BRASKEM S.A.,2017-06-30,
4820,2017Q3,69604,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2017Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123901920000000000000000.pdf.pdf', 'size_bytes': 615733}]",BRASKEM S.A.,2017-09-30,
4820,2018Q1,74091,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2018Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13\\Temp\\files\\00122601920000000000000000.pdf.pdf', 'size_bytes': 839553}]",BRASKEM S.A.,2018-03-31,
4820,2018Q2,76808,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2018Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00122901920000000000000000.pdf.pdf', 'size_bytes': 803578}]",BRASKEM S.A.,2018-06-30,
4820,2018Q3,79008,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2018Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13003\\Temp\\files\\00122101930000000000000000.pdf.pdf', 'size_bytes': 1043250}]",BRASKEM S.A.,2018-09-30,
4820,2019Q1,86146,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\004820\\2019Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15001\\Temp\\files\\00122201930000000000000000.pdf.pdf', 'size_bytes': 1020861}]",BRASKEM S.A.,2019-03-31,
