CD_CVM,ANO,ID_DOC,found,tier,files,DENOM_CIA
22357,2010,7520,False,not_found,[],ALLOS S.A.
22357,2011,16149,False,not_found,[],ALLOS S.A.
22357,2012,24778,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\22357\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002516530000000000000000.pdf.pdf', 'size_bytes': 91375}]",ALLOS S.A.
22357,2013,35169,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\22357\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004716530000000000000000.pdf.pdf', 'size_bytes': 236017}]",ALLOS S.A.
22357,2014,44668,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\22357\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122516530000000000000000.pdf.pdf', 'size_bytes': 109733}]",ALLOS S.A.
10456,2010,6003,False,not_found,[],ALPARGATAS S.A.
10456,2011,23121,False,not_found,[],ALPARGATAS S.A.
10456,2012,40224,False,not_found,[],ALPARGATAS S.A.
10456,2013,40225,False,not_found,[],ALPARGATAS S.A.
10456,2014,44912,False,not_found,[],ALPARGATAS S.A.
23264,2012,32204,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\23264\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00002816530000000000000000.pdf.pdf', 'size_bytes': 119392}]",AMBEV S.A.
23264,2013,35475,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\23264\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00005616530000000000000000.pdf.pdf', 'size_bytes': 217454}]",AMBEV S.A.
23264,2014,44295,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\23264\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet_V7\\Temp\\files\\00002716530000000000000000.pdf.pdf', 'size_bytes': 222477}]",AMBEV S.A.
20990,2010,5481,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\20990\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000616530000000000000000.pdf.pdf', 'size_bytes': 503469}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
20990,2011,16136,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\20990\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001216530000000000000000.pdf.pdf', 'size_bytes': 430028}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
20990,2012,24779,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\20990\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001616530000000000000000.pdf.pdf', 'size_bytes': 830386}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
20990,2013,35307,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\20990\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00002816530000000000000000.pdf.pdf', 'size_bytes': 535449}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
20990,2014,45058,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\20990\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121016530000000000000000.pdf.pdf', 'size_bytes': 1072039}]",AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
22349,2010,5887,False,not_found,[],AZZAS 2154 S.A.
22349,2011,14619,False,not_found,[],AZZAS 2154 S.A.
22349,2012,24719,False,not_found,[],AZZAS 2154 S.A.
22349,2013,35300,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\22349\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004516530000000000000000.pdf.pdf', 'size_bytes': 507579}]",AZZAS 2154 S.A.
22349,2014,44468,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\22349\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121916530000000000000000.pdf.pdf', 'size_bytes': 506195}]",AZZAS 2154 S.A.
19909,2010,21727,False,not_found,[],BR MALLS PARTICIPACOES S.A.
19909,2011,21729,False,not_found,[],BR MALLS PARTICIPACOES S.A.
19909,2012,24746,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19909\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00017016530000000000000000.pdf.pdf', 'size_bytes': 65981}]",BR MALLS PARTICIPACOES S.A.
19909,2013,35253,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19909\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002116530000000000000000.pdf.pdf', 'size_bytes': 45692}]",BR MALLS PARTICIPACOES S.A.
19909,2014,44919,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19909\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120416530000000000000000.docx.pdf', 'size_bytes': 84676}]",BR MALLS PARTICIPACOES S.A.
19925,2010,5372,False,not_found,[],BR PROPERTIES S.A.
19925,2011,19623,False,not_found,[],BR PROPERTIES S.A.
19925,2012,24306,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19925\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00018716530000000000000000.pdf.pdf', 'size_bytes': 224617}]",BR PROPERTIES S.A.
19925,2013,34595,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19925\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00036504120000000000000000.pdf.pdf', 'size_bytes': 1103689}]",BR PROPERTIES S.A.
19925,2014,44050,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\19925\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet7\\Temp\\files\\00027004120000000000000000.pdf.pdf', 'size_bytes': 1056675}]",BR PROPERTIES S.A.
18724,2010,5596,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18724\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001216530000000000000000.pdf.pdf', 'size_bytes': 145096}]",BRADESPAR S.A.
18724,2011,15100,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18724\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00004616530000000000000000.pdf.pdf', 'size_bytes': 410939}]",BRADESPAR S.A.
18724,2012,25064,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18724\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00003616530000000000000000.pdf.pdf', 'size_bytes': 280915}]",BRADESPAR S.A.
18724,2013,35387,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18724\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00010116530000000000000000.pdf.pdf', 'size_bytes': 324551}]",BRADESPAR S.A.
18724,2014,45084,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18724\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00119816530000000000000000.pdf.pdf', 'size_bytes': 470127}]",BRADESPAR S.A.
4820,2010,5303,False,not_found,[],BRASKEM S.A.
4820,2011,15385,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\4820\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00002816530000000000000000.pdf.pdf', 'size_bytes': 1098824}]",BRASKEM S.A.
4820,2012,24137,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\4820\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00003116530000000000000000.pdf.pdf', 'size_bytes': 1178414}]",BRASKEM S.A.
4820,2013,35243,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\4820\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00006316530000000000000000.pdf.pdf', 'size_bytes': 651732}]",BRASKEM S.A.
4820,2014,44019,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\4820\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00007916530000000000000000.pdf.pdf', 'size_bytes': 892945}]",BRASKEM S.A.
16292,2010,6508,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\16292\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000404130000000000000000.pdf.pdf', 'size_bytes': 3055}]",BRF S.A.
16292,2011,15260,False,not_found,[],BRF S.A.
16292,2012,24657,False,not_found,[],BRF S.A.
16292,2013,34932,False,not_found,[],BRF S.A.
16292,2014,44337,False,not_found,[],BRF S.A.
18821,2010,5330,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18821\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00002216530000000000000000.docx.pdf', 'size_bytes': 386058}]",CCR S.A.
18821,2011,14776,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18821\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00007016530000000000000000.pdf.pdf', 'size_bytes': 153632}]",CCR S.A.
18821,2012,25009,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18821\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004816530000000000000000.pdf.pdf', 'size_bytes': 143343}]",CCR S.A.
18821,2013,35137,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18821\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00014116530000000000000000.pdf.pdf', 'size_bytes': 119810}]",CCR S.A.
18821,2014,45811,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\18821\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00132204190000000000000000.pdf.pdf', 'size_bytes': 100262}]",CCR S.A.
2437,2010,15148,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2437\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00001416530000000000000000.pdf.pdf', 'size_bytes': 2643864}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS
2437,2011,16247,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2437\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000716530000000000000000.pdf.pdf', 'size_bytes': 3161306}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS
2437,2012,26089,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2437\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002316530000000000000000.pdf.pdf', 'size_bytes': 1167901}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS
2437,2013,36071,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2437\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00000716530000000000000000.pdf.pdf', 'size_bytes': 1705891}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS
2437,2014,45901,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2437\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120816530000000000000000.pdf.pdf', 'size_bytes': 3340502}]",CENTRAIS ELET BRAS S.A. - ELETROBRAS
2577,2010,6343,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2577\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000816530000000000000000.pdf.pdf', 'size_bytes': 202055}]",CESP - CIA ENERGETICA DE SAO PAULO
2577,2011,15266,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2577\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000616530000000000000000.docx.pdf', 'size_bytes': 149284}]",CESP - CIA ENERGETICA DE SAO PAULO
2577,2012,25195,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2577\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001916530000000000000000.docx.pdf', 'size_bytes': 205874}]",CESP - CIA ENERGETICA DE SAO PAULO
2577,2013,35426,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2577\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002616530000000000000000.docx.pdf', 'size_bytes': 211546}]",CESP - CIA ENERGETICA DE SAO PAULO
2577,2014,45412,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2577\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121616530000000000000000.docx.pdf', 'size_bytes': 212086}]",CESP - CIA ENERGETICA DE SAO PAULO
14826,2010,7730,False,not_found,[],CIA BRASILEIRA DE DISTRIBUICAO
14826,2011,14402,False,not_found,[],CIA BRASILEIRA DE DISTRIBUICAO
14826,2012,24367,False,not_found,[],CIA BRASILEIRA DE DISTRIBUICAO
14826,2013,35298,False,not_found,[],CIA BRASILEIRA DE DISTRIBUICAO
14826,2014,44071,False,not_found,[],CIA BRASILEIRA DE DISTRIBUICAO
2453,2010,6653,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2453\\2010\\relatorio_administracao.pdf', 'original_filename': 'D:\\EmpresasNet\\Temp\\files\\00000216530000000000000000.pdf.pdf', 'size_bytes': 1531924}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG
2453,2011,15488,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2453\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00004216530000000000000000.pdf.pdf', 'size_bytes': 1080420}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG
2453,2012,26149,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2453\\2012\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00007516530000000000000000.pdf.pdf', 'size_bytes': 1511921}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG
2453,2013,36107,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2453\\2013\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00013116530000000000000000.pdf.pdf', 'size_bytes': 1693355}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG
2453,2014,45347,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\2453\\2014\\relatorio_administracao.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123216530000000000000000.pdf.pdf', 'size_bytes': 1986492}]",CIA ENERGETICA DE MINAS GERAIS - CEMIG
14761,2010,5143,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\14761\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Program Files\\CVM\\EmpresasNet\\Temp\\files\\00000116530000000000000000.pdf.pdf', 'size_bytes': 435828}]",CIA HERING
14761,2011,14615,False,not_found,[],CIA HERING
14761,2012,24394,False,not_found,[],CIA HERING
14761,2013,34703,False,not_found,[],CIA HERING
14761,2014,44328,False,not_found,[],CIA HERING
14311,2010,5889,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\14311\\2010\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000216530000000000000000.pdf.pdf', 'size_bytes': 448028}]",CIA PARANAENSE DE ENERGIA - COPEL
14311,2011,15394,True,content_match,"[{'path': 'data\\raw\\dfp_mgmt_report\\14311\\2011\\relatorio_administracao.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00002016530000000000000000.pdf.pdf', 'size_bytes': 439646}]",CIA PARANAENSE DE ENERGIA - COPEL
