cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2015,2018,0.9156,369414,312934,AXIA3,2019-03-27,2019-03-27,2020-03-31,-0.2874904405027696,-0.20547270285974184,-0.08201773764302778
2437,2018,2019,0.855,312934,692624,AXIA3,2020-03-27,2020-03-27,2021-04-06,0.6603415559772299,0.6001746181810457,0.060166937796184206
2437,2019,2020,0.9443,692624,640997,AXIA3,2021-03-19,2021-03-19,2022-03-24,0.08910295003010238,0.0243614826093399,0.06474146742076248
2437,2020,2021,0.9461,640997,608744,AXIA3,2022-03-18,2022-03-18,2023-03-21,-0.12065031374786084,-0.12412338086656327,0.003473067118702433
2437,2021,2022,0.8359,608744,161659,AXIA3,2023-03-13,2023-03-13,2024-03-18,0.29978049545312024,0.23111429096745817,0.06866620448566207
2437,2022,2023,0.7069,161659,400841,AXIA3,2024-05-14,2024-05-14,2025-05-19,0.10355648535564854,0.08653369333144201,0.017022792024206534
2437,2023,2024,0.6985,400841,98617,AXIA3,2025-03-16,2025-03-17,2026-03-19,0.7963813569051086,0.3778580117883765,0.41852334511673206
2453,2015,2016,0.9518,112760,120701,CMIG4,2017-04-11,2017-04-11,2018-04-20,-0.12084656799971338,0.3292475006521929,-0.45009406865190627
2453,2016,2017,0.9424,120701,103430,CMIG4,2018-03-29,2018-03-29,2019-04-09,0.6436915887906693,0.12799342029736582,0.5156981684933035
2453,2017,2018,0.5449,103430,6226,CMIG4,2019-04-01,2019-04-01,2020-04-03,-0.42764578841350065,-0.2760610258035937,-0.15158476260990694
2453,2018,2019,0.5518,6226,129256,CMIG4,2020-04-01,2020-04-01,2021-04-09,0.5536687995806324,0.6581002075621383,-0.10443140798150585
2453,2019,2020,0.9557,129256,133202,CMIG4,2021-03-30,2021-03-30,2022-04-04,0.3069675229082971,0.03791059059045687,0.2690569323178402
2453,2020,2021,0.9539,133202,127131,CMIG4,2022-03-29,2022-03-29,2023-03-30,0.007855191340609302,-0.13582329486593125,0.14367848620654056
2453,2021,2022,0.9512,127131,145632,CMIG4,2023-03-25,2023-03-27,2024-04-02,0.164370982560474,0.27970220266845347,-0.11533122010797947
2453,2022,2023,0.9573,145632,172598,CMIG4,2024-03-21,2024-03-21,2025-03-25,0.14800995023923713,0.030502213000660028,0.1175077372385771
2453,2023,2024,0.9694,172598,232098,CMIG4,2025-03-21,2025-03-21,2026-03-25,0.15370370370370368,0.4010687833182516,-0.2473650796145479
2577,2015,2016,0.9491,49106,55268,CESP6,2017-03-24,2017-03-24,2018-04-04,-0.1537199124726477,0.3211387518700932,-0.47485866434274093
2577,2016,2017,0.9446,55268,50127,CESP6,2018-03-21,2018-03-21,2019-04-01,0.5773324984345649,0.13036366839384828,0.44696883004071664
2577,2017,2018,0.8922,50127,46664,CESP6,2019-03-22,2019-03-22,2020-03-26,0.11260162601626011,-0.17096564095752753,0.28356726697378765
3980,2018,2019,0.8086,28622,39264,GGBR4,2020-02-19,2020-02-19,2021-03-01,0.3054331870410838,-0.05306297074433397,0.35849615778541777
3980,2019,2022,0.7214,39264,38250,GGBR4,2023-03-01,2023-03-01,2024-03-06,-0.23953252022929683,0.23476205845168652,-0.47429457868098335
3980,2022,2023,0.8514,38250,45753,GGBR4,2024-02-20,2024-02-20,2025-02-19,-0.026542055892811556,-0.02006918156647397,-0.006472874326337585
3980,2023,2024,0.8965,45753,42643,GGBR4,2025-02-24,2025-02-24,2026-03-02,0.2784265519360787,0.509608745932461,-0.2311821939963823
4030,2015,2016,0.824,34094,31064,CSNA3,2017-10-28,2017-10-30,2018-11-08,0.14619883040935666,0.14464894143529317,0.0015498889740634958
4030,2016,2017,0.9171,31064,33223,CSNA3,2018-04-06,2018-04-06,2019-04-16,0.8120649651972158,0.11215329987755296,0.6999116653196629
4030,2017,2018,0.9384,33223,37556,CSNA3,2019-02-20,2019-02-20,2020-02-27,0.07400379506641386,0.06669120794789496,0.007312587118518898
4030,2018,2019,0.941,37556,45318,CSNA3,2020-03-04,2020-03-04,2021-03-11,2.025974025974026,0.07236761850403162,1.9536064074699946
4030,2019,2020,0.9012,45318,108318,CSNA3,2021-02-22,2021-02-22,2022-02-23,-0.3376187814421465,-0.0058587332483045484,-0.33176004819384197
4030,2020,2021,0.9343,108318,136925,CSNA3,2022-03-09,2022-03-09,2023-03-10,-0.4308187343582409,-0.09027312824527123,-0.3405456061129697
4030,2021,2022,0.9535,136925,159185,CSNA3,2023-03-16,2023-03-16,2024-03-21,0.10216508795669821,0.23902925769756478,-0.13686416974086657
4030,2022,2023,0.9712,159185,146853,CSNA3,2024-03-06,2024-03-06,2025-03-10,-0.4798798798798798,-0.03391141438726575,-0.44596846549261404
4030,2023,2024,0.9351,146853,76538,CSNA3,2025-03-12,2025-03-12,2026-03-16,-0.2880755608028336,0.4522069859159479,-0.7402825467187815
4170,2015,2016,0.8122,33615,26615,VALE3,2017-02-23,2017-02-23,2018-03-07,0.29182996683750373,0.2671477714882542,0.024682195349249536
4170,2016,2017,0.7992,26615,42195,VALE3,2018-02-27,2018-02-27,2019-03-08,0.032114937671667176,0.09696172239997858,-0.0648467847283114
4170,2017,2018,0.411,42195,67137,VALE3,2019-04-18,2019-04-18,2020-04-24,-0.16774438950171167,-0.20351029930134046,0.03576590979962879
4170,2018,2019,0.6444,67137,90315,VALE3,2020-03-02,2020-03-02,2021-03-09,1.1283433994823122,0.04412850971719684,1.0842148897651154
4170,2019,2020,0.8199,90315,122425,VALE3,2021-02-25,2021-02-25,2022-03-02,0.0411660223592103,0.025987391716602914,0.015178630642607382
4170,2020,2021,0.8141,122425,71028,VALE3,2022-02-24,2022-02-24,2023-03-01,0.018962759881197222,-0.06458535016932687,0.0835481100505241
4170,2021,2022,0.793,71028,90523,VALE3,2023-02-16,2023-02-16,2024-02-26,-0.26280973203273905,0.17889147551797113,-0.4417012075507102
4170,2022,2023,0.6847,90523,141526,VALE3,2024-02-22,2024-02-22,2025-02-21,-0.13478131508479618,-0.023898010258709745,-0.11088330482608644
4170,2023,2024,0.7652,141526,120130,VALE3,2025-03-17,2025-03-17,2026-03-19,0.34203152364273204,0.3778580117883765,-0.035826488145644486
4820,2015,2016,0.905,64386,103178,BRKM5,2017-08-15,2017-08-15,2018-08-23,0.5273396424815984,0.10648271753707439,0.420856924944524
4820,2016,2017,0.929,103178,95352,BRKM5,2018-03-29,2018-03-29,2019-04-09,-0.006041666666666612,0.12799342029736582,-0.13403508696403243
4820,2017,2018,0.9417,95352,93770,BRKM5,2019-03-13,2019-03-13,2020-03-17,-0.6875800256081946,-0.24555801046430126,-0.4420220151438934
4820,2018,2019,0.9145,93770,123768,BRKM5,2020-04-03,2020-04-03,2021-04-13,2.003201024327785,0.7155783147985062,1.2876227095292787
4820,2019,2020,0.9003,123768,133746,BRKM5,2021-03-10,2021-03-10,2022-03-15,0.40330115228900665,-0.033847391419967066,0.4371485437089737
4820,2020,2021,0.9299,133746,153279,BRKM5,2022-03-16,2022-03-16,2023-03-17,-0.5865763008307827,-0.08217712455753146,-0.5043991762732513
4820,2021,2022,0.9176,153279,135512,BRKM5,2023-03-23,2023-03-23,2024-03-28,0.5865384615384615,0.3081883791429354,0.27835008239552606
4820,2022,2023,0.9323,135512,109681,BRKM5,2024-07-01,2024-07-01,2025-07-04,-0.4733257661748014,0.1326631337383588,-0.6059888999131602
5410,2015,2016,0.5556,25191,23517,WEGE3,2017-02-22,2017-02-22,2018-03-06,0.32865497067451854,0.24877652645337367,0.07987844422114487
5410,2016,2017,0.4826,23517,17168,WEGE3,2018-02-28,2018-02-28,2019-03-11,0.05399401963171302,0.14847682446631705,-0.09448280483460403
5410,2017,2018,0.6233,17168,19623,WEGE3,2019-04-10,2019-04-10,2020-04-15,1.0731042007637752,-0.17844058759742343,1.2515447883611985
5410,2018,2019,0.5735,19623,22402,WEGE3,2020-02-19,2020-02-19,2021-03-01,0.5977058582548136,-0.05306297074433397,0.6507688289991476
5410,2019,2020,0.6666,22402,24910,WEGE3,2021-02-24,2021-02-24,2022-02-25,-0.32179930795847755,-0.021837023240179776,-0.2999622847182978
5410,2020,2021,0.7089,24910,23057,WEGE3,2022-02-16,2022-02-16,2023-02-17,0.26581469648562295,-0.052126935921261275,0.3179416324068842
5410,2021,2022,0.7451,23057,27543,WEGE3,2023-02-15,2023-02-15,2024-02-23,-0.07458847736625529,0.18082632011236477,-0.25541479747862006
5410,2022,2023,0.7494,27543,27253,WEGE3,2024-02-21,2024-02-21,2025-02-20,0.4223314223314223,-0.018695458441710833,0.4410268807731331
5410,2023,2024,0.8175,27253,28251,WEGE3,2025-02-26,2025-02-26,2026-03-04,-0.01065830721003136,0.48568050435081034,-0.4963388115608417
6505,2017,2018,0.3048,6628,20543,BHIA3,2019-02-20,2019-02-20,2020-02-27,1.7024952015355086,0.06669120794789496,1.6358039935876136
6505,2018,2019,0.731,20543,23443,BHIA3,2020-03-26,2020-03-26,2021-04-05,1.1964912280701756,0.5122758225939992,0.6842154054761764
6505,2019,2020,0.5058,23443,33975,BHIA3,2021-03-02,2021-03-02,2022-03-07,-0.7171381031613977,0.00048108388216583364,-0.7176191870435635
6505,2020,2021,0.5871,33975,24588,BHIA3,2022-03-09,2022-03-09,2023-03-10,-0.46627565982404695,-0.09027312824527123,-0.3760025315787757
6505,2021,2022,0.6594,24588,27241,BHIA3,2023-03-09,2023-03-09,2024-03-14,-0.8348453608247423,0.2152709986438719,-1.050116359468614
6505,2022,2023,0.3841,27241,23246,BHIA3,2024-03-25,2024-03-25,2025-03-27,0.4696969696969697,0.048981391297209464,0.42071557839976026
6505,2023,2024,0.5691,23246,17871,BHIA3,2025-03-12,2025-03-12,2026-03-16,-0.4652014652014652,0.4522069859159479,-0.9174084511174131
8133,2015,2017,0.8412,35487,58968,LREN3,2018-02-08,2018-02-08,2019-02-19,0.28234617572728893,0.19779369044478323,0.0845524852825057
8133,2017,2018,0.8963,58968,60721,LREN3,2019-02-07,2019-02-07,2020-02-12,0.43748558248365077,0.23588126508186646,0.2016043174017843
