cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2015,2018,0.9156,369414,312934,AXIA3,2019-03-27,2019-03-27,2019-06-27,0.017910447541733987,0.09597653623260949,-0.0780660886908755
2437,2018,2019,0.855,312934,692624,AXIA3,2020-03-27,2020-03-27,2020-06-30,0.47058823529411775,0.29453083654665124,0.1760573987474665
2437,2019,2020,0.9443,692624,640997,AXIA3,2021-03-19,2021-03-19,2021-06-21,0.4319686935580975,0.112228555144406,0.31974013841369153
2437,2020,2021,0.9461,640997,608744,AXIA3,2022-03-18,2022-03-18,2022-06-20,0.24500855675984012,-0.13405704629336468,0.3790656030532048
2437,2021,2022,0.8359,608744,161659,AXIA3,2023-03-13,2023-03-13,2023-06-14,0.23769206647852004,0.15464701008598025,0.08304505639253978
2437,2022,2023,0.7069,161659,400841,AXIA3,2024-05-14,2024-05-14,2024-08-12,0.030857740585774174,0.020234214568220388,0.010623526017553786
2437,2023,2024,0.6985,400841,98617,AXIA3,2025-03-16,2025-03-17,2025-06-17,0.024981449418748358,0.06119252218613558,-0.03621107276738722
2453,2015,2016,0.9518,112760,120701,CMIG4,2017-04-11,2017-04-11,2017-07-13,-0.10829959518088472,0.012718500169127234,-0.12101809535001196
2453,2016,2017,0.9424,120701,103430,CMIG4,2018-03-29,2018-03-29,2018-06-29,-0.14719626166564337,-0.14763623644008195,0.00043997477443857846
2453,2017,2018,0.5449,103430,6226,CMIG4,2019-04-01,2019-04-01,2019-07-02,0.05831533475155948,0.047376774319149106,0.010938560432410371
2453,2018,2019,0.5518,6226,129256,CMIG4,2020-04-01,2020-04-01,2020-07-03,0.320284697553618,0.3635247235675325,-0.04324002601391452
2453,2019,2020,0.9557,129256,133202,CMIG4,2021-03-30,2021-03-30,2021-06-30,0.04436864641555238,0.08516917506057142,-0.04080052864501904
2453,2020,2021,0.9539,133202,127131,CMIG4,2022-03-29,2022-03-29,2022-06-29,-0.07739071036572642,-0.16991818549426285,0.09252747512853643
2453,2021,2022,0.9512,127131,145632,CMIG4,2023-03-25,2023-03-27,2023-06-28,0.14967860424104984,0.1706709118558385,-0.020992307614788652
2453,2022,2023,0.9573,145632,172598,CMIG4,2024-03-21,2024-03-21,2024-06-21,0.13291873962576362,-0.05319535010417176,0.18611408972993537
2453,2023,2024,0.9694,172598,232098,CMIG4,2025-03-21,2025-03-21,2025-06-24,-0.030555555555555558,0.0364179558740767,-0.06697351142963226
2577,2015,2016,0.9491,49106,55268,CESP6,2017-03-24,2017-03-24,2017-06-27,-0.15645514223194756,-0.03411403899879362,-0.12234110323315395
2577,2016,2017,0.9446,55268,50127,CESP6,2018-03-21,2018-03-21,2018-06-21,-0.029430181590482163,-0.17536229683963556,0.1459321152491534
2577,2017,2018,0.8922,50127,46664,CESP6,2019-03-22,2019-03-22,2019-06-24,0.09308943089430888,0.08883700511494363,0.004252425779365243
3980,2018,2019,0.8086,28622,39264,GGBR4,2020-02-19,2020-02-19,2020-05-25,-0.3950073419546274,-0.26480222730299974,-0.13020511465162765
3980,2019,2022,0.7214,39264,38250,GGBR4,2023-03-01,2023-03-01,2023-06-01,-0.1360264226746326,0.05920399997432568,-0.1952304226489583
3980,2022,2023,0.8514,38250,45753,GGBR4,2024-02-20,2024-02-20,2024-05-21,0.06261682262852664,-0.019278286580471038,0.08189510920899767
3980,2023,2024,0.8965,45753,42643,GGBR4,2025-02-24,2025-02-24,2025-05-29,-0.0319606637984019,0.10472229252979526,-0.13668295632819716
4030,2015,2016,0.824,34094,31064,CSNA3,2017-10-28,2017-10-30,2018-02-05,0.1871345029239766,0.09439462440946134,0.09273987851451526
4030,2016,2017,0.9171,31064,33223,CSNA3,2018-04-06,2018-04-06,2018-07-06,-0.07540603248259858,-0.11565646574256527,0.04025043325996669
4030,2017,2018,0.9384,33223,37556,CSNA3,2019-02-20,2019-02-20,2019-05-24,0.6347248576850097,-0.0302140529356264,0.6649389106206361
4030,2018,2019,0.941,37556,45318,CSNA3,2020-03-04,2020-03-04,2020-06-04,-0.14853896103896103,-0.12493065931011837,-0.02360830172884265
4030,2019,2020,0.9012,45318,108318,CSNA3,2021-02-22,2021-02-22,2021-05-24,0.26411403018446045,0.10086227019811345,0.163251759986347
4030,2020,2021,0.9343,108318,136925,CSNA3,2022-03-09,2022-03-09,2022-06-08,-0.24776546299606717,-0.048574657459319215,-0.19919080553674795
4030,2021,2022,0.9535,136925,159185,CSNA3,2023-03-16,2023-03-16,2023-06-19,-0.09201623815967519,0.15877753163204655,-0.25079376979172174
4030,2022,2023,0.9712,159185,146853,CSNA3,2024-03-06,2024-03-06,2024-06-06,-0.23843843843843837,-0.0464847490767919,-0.19195368936164647
4030,2023,2024,0.9351,146853,76538,CSNA3,2025-03-12,2025-03-12,2025-06-12,-0.02125147579693054,0.11251288717015084,-0.13376436296708138
4170,2015,2016,0.8122,33615,26615,VALE3,2017-02-23,2017-02-23,2017-05-30,-0.13777509798010246,-0.051868483587426906,-0.08590661439267555
4170,2016,2017,0.7992,26615,42195,VALE3,2018-02-27,2018-02-27,2018-05-29,0.05979294316501149,-0.12496008532308578,0.18475302848809727
4170,2017,2018,0.411,42195,67137,VALE3,2019-04-18,2019-04-18,2019-07-22,-0.0024724229745148874,0.09908450419789916,-0.10155692717241405
4170,2018,2019,0.6444,67137,90315,VALE3,2020-03-02,2020-03-02,2020-06-02,0.15228645383951678,-0.14610983874386396,0.29839629258338074
4170,2019,2020,0.8199,90315,122425,VALE3,2021-02-25,2021-02-25,2021-05-27,0.159648939504754,0.10787994551043711,0.05176899399431689
4170,2020,2021,0.8141,122425,71028,VALE3,2022-02-24,2022-02-24,2022-05-30,-0.010166780900159877,-0.005016136032132024,-0.005150644868027854
4170,2021,2022,0.793,71028,90523,VALE3,2023-02-16,2023-02-16,2023-05-23,-0.2537279964121538,-0.00011760804340787967,-0.25361038836874594
4170,2022,2023,0.6847,90523,141526,VALE3,2024-02-22,2024-02-22,2024-05-23,-0.032282058911038414,-0.04231516221330456,0.010033103302266144
4170,2023,2024,0.7652,141526,120130,VALE3,2025-03-17,2025-03-17,2025-06-17,-0.09964973730297733,0.06119252218613558,-0.1608422594891129
4820,2015,2016,0.905,64386,103178,BRKM5,2017-08-15,2017-08-15,2017-11-16,0.21608832807570977,0.060809773896999264,0.1552785541787105
4820,2016,2017,0.929,103178,95352,BRKM5,2018-03-29,2018-03-29,2018-06-29,0.057499999999999885,-0.14763623644008195,0.20513623644008183
4820,2017,2018,0.9417,95352,93770,BRKM5,2019-03-13,2019-03-13,2019-06-12,-0.37369672580940183,-0.005894612021287715,-0.3678021137881141
4820,2018,2019,0.9145,93770,123768,BRKM5,2020-04-03,2020-04-03,2020-07-07,0.5236875800256082,0.40587389031194077,0.11781368971366746
4820,2019,2020,0.9003,123768,133746,BRKM5,2021-03-10,2021-03-10,2021-06-10,0.8517595764559327,0.15339792894777982,0.6983616475081529
4820,2020,2021,0.9299,133746,153279,BRKM5,2022-03-16,2022-03-16,2022-06-15,-0.11565369479667686,-0.07474960272221554,-0.04090409207446133
4820,2021,2022,0.9176,153279,135512,BRKM5,2023-03-23,2023-03-23,2023-06-26,0.721153846153846,0.20746828687766738,0.5136855592761786
4820,2022,2023,0.9323,135512,109681,BRKM5,2024-07-01,2024-07-01,2024-09-26,0.1628830874006808,0.06648362983808198,0.09639945756259882
5410,2015,2016,0.5556,25191,23517,WEGE3,2017-02-22,2017-02-22,2017-05-29,0.10877192976480954,-0.07039862486340853,0.17917055462821807
5410,2016,2017,0.4826,23517,17168,WEGE3,2018-02-28,2018-02-28,2018-05-30,-0.045963263578881475,-0.10075698046209891,0.054793716883217436
5410,2017,2018,0.6233,17168,19623,WEGE3,2019-04-10,2019-04-10,2019-07-12,0.25968357883251514,0.08287925030314192,0.17680432852937322
5410,2018,2019,0.5735,19623,22402,WEGE3,2020-02-19,2020-02-19,2020-05-25,-0.2208111429741909,-0.26480222730299974,0.04399108432880883
5410,2019,2020,0.6666,22402,24910,WEGE3,2021-02-24,2021-02-24,2021-05-26,-0.243367935409458,0.07194216055672542,-0.3153100959661834
5410,2020,2021,0.7089,24910,23057,WEGE3,2022-02-16,2022-02-16,2022-05-20,-0.16964856230031955,-0.058109175171762284,-0.11153938712855727
5410,2021,2022,0.7451,23057,27543,WEGE3,2023-02-15,2023-02-15,2023-05-22,0.0380658436213992,0.005592876067494146,0.03247296755390505
5410,2022,2023,0.7494,27543,27253,WEGE3,2024-02-21,2024-02-21,2024-05-22,0.07234507234507226,-0.03369604522224523,0.10604111756731749
5410,2023,2024,0.8175,27253,28251,WEGE3,2025-02-26,2025-02-26,2025-06-02,-0.12539184952978055,0.09632174605315691,-0.22171359558293746
6505,2017,2018,0.3048,6628,20543,BHIA3,2019-02-20,2019-02-20,2019-05-24,-0.1938579654510557,-0.0302140529356264,-0.1636439125154293
6505,2018,2019,0.731,20543,23443,BHIA3,2020-03-26,2020-03-26,2020-06-29,1.6982456140350877,0.23196202376898833,1.4662835902660993
6505,2019,2020,0.5058,23443,33975,BHIA3,2021-03-02,2021-03-02,2021-06-01,0.1514143094841931,0.149966648676078,0.0014476608081150921
6505,2020,2021,0.5871,33975,24588,BHIA3,2022-03-09,2022-03-09,2022-06-08,-0.11730205278592376,-0.048574657459319215,-0.06872739532660455
6505,2021,2022,0.6594,24588,27241,BHIA3,2023-03-09,2023-03-09,2023-06-12,0.31958762886597936,0.11673180821498264,0.20285582065099672
6505,2022,2023,0.3841,27241,23246,BHIA3,2024-03-25,2024-03-25,2024-06-25,-0.12575757575757573,-0.03624065804957588,-0.08951691770799985
6505,2023,2024,0.5691,23246,17871,BHIA3,2025-03-12,2025-03-12,2025-06-12,-0.2783882783882784,0.11251288717015084,-0.39090116555842924
8133,2015,2017,0.8412,35487,58968,LREN3,2018-02-08,2018-02-08,2018-05-14,-0.08884416349600177,0.0453764896048241,-0.13422065310082587
8133,2017,2018,0.8963,58968,60721,LREN3,2019-02-07,2019-02-07,2019-05-13,0.0264129181987951,-0.028378086509495914,0.05479100470829101
