cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2019,2020,0.4072,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2022-09-22,0.3877182420228777,-0.018508610879322,0.4062268529021998
2437,AXIA ENERGIA,2020,2021,0.9366,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2023-09-20,0.0302338847689673,0.0293503017190654,0.0008835830499018
2437,AXIA ENERGIA,2021,2022,0.1851,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2024-09-13,0.3019755409219191,0.3079923499845232,-0.006016809062604
2437,AXIA ENERGIA,2022,2023,0.2157,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2025-11-12,0.6134937238493723,0.2265673188500467,0.3869264049993255
2453,CEMIG,2015,2016,0.9415,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2018-10-22,0.1015521029558366,0.3299715552210471,-0.2284194522652105
2453,CEMIG,2016,2017,0.8388,15122,1941,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2019-10-08,0.6133177571311661,0.1712147146929041,0.4421030424382619
2453,CEMIG,2017,2018,0.5779,1941,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2020-10-05,-0.2129679265806955,0.0003616698653732,-0.2133295964460687
2453,CEMIG,2018,2019,0.9205,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2021-10-08,0.9457308187894712,0.5899457069301517,0.3557851118593196
2453,CEMIG,2019,2020,0.9419,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2022-10-03,0.3330552145952172,-0.0061207703881405,0.3391759849833577
2453,CEMIG,2020,2021,0.8916,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2023-09-29,0.1019808743616559,-0.0287382731555781,0.1307191475172341
2453,CEMIG,2021,2022,0.8024,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2024-09-27,0.3513314967736332,0.3316919243984702,0.019639572375163
2453,CEMIG,2022,2023,0.4892,16412,2587,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2025-09-23,0.2310116086133415,0.1425294461384829,0.0884821624748586
3980,GERDAU,2015,2016,0.9111,6325,5022,font_heading,font_heading,current_66,,GGBR4,2017-02-22,2017-02-22,2018-09-04,0.1906941272726288,0.0892592238905196,0.1014349033821091
3980,GERDAU,2016,2017,0.8321,5022,5266,font_heading,font_heading,current_66,,GGBR4,2018-02-28,2018-02-28,2019-09-09,-0.2111913360726062,0.2088606934986567,-0.420052029571263
3980,GERDAU,2017,2018,0.8958,5266,5334,font_heading,font_heading,current_66,,GGBR4,2019-02-21,2019-02-21,2020-08-28,0.2980132458509714,0.0537553695998245,0.2442578762511469
3980,GERDAU,2021,2022,0.7895,3332,3399,font_heading,font_heading,current_66,,GGBR4,2023-03-01,2023-03-01,2024-09-03,-0.2445121951680176,0.2870997245093558,-0.5316119196773734
3980,GERDAU,2022,2023,0.8007,3399,1936,font_heading,font_heading,current_66,,GGBR4,2024-02-20,2024-02-20,2025-08-22,-0.082616822258433,0.0619787646043281,-0.1445955868627612
4030,SID NACIONAL,2015,2016,0.7888,5211,5743,font_heading,font_heading,current_66,,CSNA3,2017-10-28,2017-10-30,2019-05-20,0.7999999999999998,0.2292215516667437,0.5707784483332561
4030,SID NACIONAL,2016,2017,0.6488,5743,6926,font_heading,font_heading,current_66,,CSNA3,2018-04-06,2018-04-06,2019-10-15,0.580046403712297,0.2318920373183721,0.3481543663939248
4030,SID NACIONAL,2017,2018,0.7259,6926,7544,font_heading,font_heading,current_66,,CSNA3,2019-02-20,2019-02-20,2020-08-27,0.4184060721062619,0.0422476360976835,0.3761584360085783
4030,SID NACIONAL,2018,2019,0.7347,7544,5921,font_heading,font_heading,current_66,,CSNA3,2020-03-04,2020-03-04,2021-09-10,1.739448051948052,0.0658594794831763,1.6735885724648756
4030,SID NACIONAL,2021,2022,0.7027,6982,4393,font_heading,font_heading,current_66,,CSNA3,2023-03-16,2023-03-16,2024-09-18,-0.1955345060893097,0.2930645298200816,-0.4885990359093913
4030,SID NACIONAL,2022,2023,0.9889,4393,4389,font_heading,font_heading,current_66,,CSNA3,2024-03-06,2024-03-06,2025-09-08,-0.5291291291291291,0.1000956395220955,-0.6292247686512247
4170,VALE,2015,2016,0.8425,5438,8641,font_heading,font_heading,current_66,,VALE3,2017-02-23,2017-02-23,2018-09-05,0.5722037986132045,0.1131147757257893,0.4590890228874151
4170,VALE,2016,2017,0.9382,8641,9102,font_heading,font_heading,current_66,,VALE3,2018-02-27,2018-02-27,2019-09-06,-0.0185928586520176,0.1840441596660693,-0.202637018318087
4170,VALE,2017,2018,0.7656,9102,4664,font_heading,font_heading,current_66,,VALE3,2019-04-18,2019-04-18,2020-10-23,0.206732597945987,0.0706456219431401,0.1360869760028469
4170,VALE,2020,2021,0.9237,11224,12192,font_heading,font_heading,current_66,,VALE3,2022-02-24,2022-02-24,2023-08-30,-0.2577107607950651,0.0532586289664291,-0.3109693897614943
4170,VALE,2021,2022,0.438,12192,2673,font_heading,font_heading,current_66,,VALE3,2023-02-16,2023-02-16,2024-08-23,-0.35643009305976,0.2334606980842348,-0.5898907911439949
