cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2019,2020,0.4229,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2021-03-23,-0.0066225165562914,-0.0254666990416065,0.0188441824853151
2437,AXIA ENERGIA,2020,2021,0.9383,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2022-03-22,0.022532800912721,0.0170107928209048,0.0055220080918161
2437,AXIA ENERGIA,2021,2022,0.1881,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2023-03-15,0.061774851050486,-0.0043241283862044,0.0660989794366905
2437,AXIA ENERGIA,2022,2023,0.2172,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2024-05-16,0.0049686192468618,-0.0018042183086257,0.0067728375554876
2437,AXIA ENERGIA,2023,2024,0.6798,16334,7881,font_heading,font_heading,current_66,,AXIA3,2025-03-16,2025-03-17,2025-03-19,0.0373485035864458,0.012798588378736,0.0245499152077097
2453,CEMIG,2015,2016,0.9405,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2017-04-13,-0.0870445344042477,-0.0238271442464309,-0.0632173901578168
2453,CEMIG,2016,2017,0.8959,15122,17835,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2018-04-03,-0.0198598131491719,-0.0086932013331839,-0.0111666118159879
2453,CEMIG,2017,2018,0.8551,17835,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2019-04-03,-0.0143988481879385,-0.0162717083903973,0.0018728602024588
2453,CEMIG,2018,2019,0.9207,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2020-04-03,-0.0569395018803965,-0.020138177483242,-0.0368013243971544
2453,CEMIG,2019,2020,0.9429,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2021-04-01,-0.0138996138626475,-0.0136616560406204,-0.0002379578220271
2453,CEMIG,2020,2021,0.8919,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2022-03-31,0.0389344262884094,-0.0001244853003607,0.0390589115887702
2453,CEMIG,2021,2022,0.8023,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2023-03-29,0.0229568411017175,0.0212906591089618,0.0016661819927556
2453,CEMIG,2022,2023,0.8339,16412,11722,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2024-03-25,0.0315091210279312,-0.0095748571476727,0.0410839781756039
