cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,poc_group,group,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,AXIA ENERGIA,2015,2016,0.6321,9586,14143,regex_only,regex_only,current_66,,AXIA3,2017-03-27,2017-03-27,2017-06-28,-0.29683157282748596,-0.03561619253724124,-0.2612153802902447
2437,AXIA ENERGIA,2016,2017,0.8612,14143,10090,regex_only,regex_only,current_66,,AXIA3,2018-03-27,2018-03-27,2018-06-27,-0.45917907082033005,-0.15749143429539292,-0.30168763652493713
2437,AXIA ENERGIA,2017,2018,0.0165,10090,1362,regex_only,regex_only,current_66,,AXIA3,2019-03-27,2019-03-27,2019-06-27,0.017910447541733987,0.09597653623260949,-0.0780660886908755
2437,AXIA ENERGIA,2018,2019,0.0,1362,239,regex_only,font_heading,current_66,,AXIA3,2020-03-27,2020-03-27,2020-06-30,0.47058823529411775,0.29453083654665124,0.1760573987474665
2437,AXIA ENERGIA,2019,2020,0.4229,239,17147,font_heading,font_heading,current_66,,AXIA3,2021-03-19,2021-03-19,2021-06-21,0.4319686935580975,0.112228555144406,0.31974013841369153
2437,AXIA ENERGIA,2020,2021,0.9383,17147,19339,font_heading,font_heading,current_66,,AXIA3,2022-03-18,2022-03-18,2022-06-20,0.24500855675984012,-0.13405704629336468,0.3790656030532048
2437,AXIA ENERGIA,2021,2022,0.1881,19339,4828,font_heading,font_heading,current_66,,AXIA3,2023-03-13,2023-03-13,2023-06-14,0.23769206647852004,0.15464701008598025,0.08304505639253978
2437,AXIA ENERGIA,2022,2023,0.2172,4828,16334,font_heading,font_heading,current_66,,AXIA3,2024-05-14,2024-05-14,2024-08-12,0.030857740585774174,0.020234214568220388,0.010623526017553786
2437,AXIA ENERGIA,2023,2024,0.6798,16334,7881,font_heading,font_heading,current_66,,AXIA3,2025-03-16,2025-03-17,2025-06-17,0.024981449418748358,0.06119252218613558,-0.03621107276738722
2453,CEMIG,2015,2016,0.9405,15917,15122,font_heading,font_heading,current_66,,CMIG4,2017-04-11,2017-04-11,2017-07-13,-0.10829959518088472,0.012718500169127234,-0.12101809535001196
2453,CEMIG,2016,2017,0.8959,15122,17835,font_heading,font_heading,current_66,,CMIG4,2018-03-29,2018-03-29,2018-06-29,-0.14719626166564337,-0.14763623644008195,0.00043997477443857846
2453,CEMIG,2017,2018,0.8551,17835,16893,font_heading,font_heading,current_66,,CMIG4,2019-04-01,2019-04-01,2019-07-02,0.05831533475155948,0.047376774319149106,0.010938560432410371
2453,CEMIG,2018,2019,0.9207,16893,15903,font_heading,font_heading,current_66,,CMIG4,2020-04-01,2020-04-01,2020-07-03,0.320284697553618,0.3635247235675325,-0.04324002601391452
2453,CEMIG,2019,2020,0.9429,15903,15944,font_heading,font_heading,current_66,,CMIG4,2021-03-30,2021-03-30,2021-06-30,0.04436864641555238,0.08516917506057142,-0.04080052864501904
2453,CEMIG,2020,2021,0.8919,15944,15904,font_heading,font_heading,current_66,,CMIG4,2022-03-29,2022-03-29,2022-06-29,-0.07739071036572642,-0.16991818549426285,0.09252747512853643
2453,CEMIG,2021,2022,0.8023,15904,16412,font_heading,font_heading,current_66,,CMIG4,2023-03-25,2023-03-27,2023-06-28,0.14967860424104984,0.1706709118558385,-0.020992307614788652
2453,CEMIG,2022,2023,0.8339,16412,11722,font_heading,font_heading,current_66,,CMIG4,2024-03-21,2024-03-21,2024-06-21,0.13291873962576362,-0.05319535010417176,0.18611408972993537
2453,CEMIG,2023,2024,0.8613,11722,15533,font_heading,font_heading,current_66,,CMIG4,2025-03-21,2025-03-21,2025-06-24,-0.030555555555555558,0.0364179558740767,-0.06697351142963226
3980,GERDAU,2015,2016,0.9105,6325,5022,font_heading,font_heading,current_66,,GGBR4,2017-02-22,2017-02-22,2017-05-29,-0.2517162467696642,-0.07039862486340853,-0.18131762190625567
3980,GERDAU,2016,2017,0.8342,5022,5266,font_heading,font_heading,current_66,,GGBR4,2018-02-28,2018-02-28,2018-05-30,-0.10950661819889917,-0.10075698046209891,-0.008749637736800264
3980,GERDAU,2017,2018,0.8969,5266,5334,font_heading,font_heading,current_66,,GGBR4,2019-02-21,2019-02-21,2019-05-27,-0.0847682114596553,-0.02133469070723304,-0.06343352075242226
3980,GERDAU,2018,2019,0.1099,5334,2727,font_heading,regex_only,current_66,,GGBR4,2020-02-19,2020-02-19,2020-05-25,-0.3950073419546274,-0.26480222730299974,-0.13020511465162765
3980,GERDAU,2019,2020,0.8471,2727,3256,regex_only,regex_only,current_66,,GGBR4,2021-02-24,2021-02-24,2021-05-26,0.1993367721193906,0.07194216055672542,0.12739461156266518
3980,GERDAU,2020,2021,0.0727,3256,3332,regex_only,font_heading,current_66,,GGBR4,2022-02-23,2022-02-23,2022-05-27,0.1975560082292176,-0.0005886207196100779,0.19814462894882767
3980,GERDAU,2021,2022,0.7876,3332,3399,font_heading,font_heading,current_66,,GGBR4,2023-03-01,2023-03-01,2023-06-01,-0.1360264226746326,0.05920399997432568,-0.1952304226489583
3980,GERDAU,2022,2023,0.8014,3399,1936,font_heading,font_heading,current_66,,GGBR4,2024-02-20,2024-02-20,2024-05-21,0.06261682262852664,-0.019278286580471038,0.08189510920899767
3980,GERDAU,2023,2024,0.7301,1936,3287,font_heading,font_heading,current_66,,GGBR4,2025-02-24,2025-02-24,2025-05-29,-0.0319606637984019,0.10472229252979526,-0.13668295632819716
4030,SID NACIONAL,2015,2016,0.7874,5211,5743,font_heading,font_heading,current_66,,CSNA3,2017-10-28,2017-10-30,2018-02-05,0.1871345029239766,0.09439462440946134,0.09273987851451526
4030,SID NACIONAL,2016,2017,0.65,5743,6926,font_heading,font_heading,current_66,,CSNA3,2018-04-06,2018-04-06,2018-07-06,-0.07540603248259858,-0.11565646574256527,0.04025043325996669
4030,SID NACIONAL,2017,2018,0.7251,6926,7544,font_heading,font_heading,current_66,,CSNA3,2019-02-20,2019-02-20,2019-05-24,0.6347248576850097,-0.0302140529356264,0.6649389106206361
4030,SID NACIONAL,2018,2019,0.7355,7544,5921,font_heading,font_heading,current_66,,CSNA3,2020-03-04,2020-03-04,2020-06-04,-0.14853896103896103,-0.12493065931011837,-0.02360830172884265
4030,SID NACIONAL,2019,2020,0.0752,5921,556,font_heading,regex_only,current_66,,CSNA3,2021-02-22,2021-02-22,2021-05-24,0.26411403018446045,0.10086227019811345,0.163251759986347
4030,SID NACIONAL,2020,2021,0.1125,556,6982,regex_only,font_heading,current_66,,CSNA3,2022-03-09,2022-03-09,2022-06-08,-0.24776546299606717,-0.048574657459319215,-0.19919080553674795
4030,SID NACIONAL,2021,2022,0.7047,6982,4393,font_heading,font_heading,current_66,,CSNA3,2023-03-16,2023-03-16,2023-06-19,-0.09201623815967519,0.15877753163204655,-0.25079376979172174
4030,SID NACIONAL,2022,2023,0.989,4393,4389,font_heading,font_heading,current_66,,CSNA3,2024-03-06,2024-03-06,2024-06-06,-0.23843843843843837,-0.0464847490767919,-0.19195368936164647
4030,SID NACIONAL,2023,2024,0.8944,4389,4138,font_heading,font_heading,current_66,,CSNA3,2025-03-12,2025-03-12,2025-06-12,-0.02125147579693054,0.11251288717015084,-0.13376436296708138
4170,VALE,2015,2016,0.8446,5438,8641,font_heading,font_heading,current_66,,VALE3,2017-02-23,2017-02-23,2017-05-30,-0.13777509798010246,-0.051868483587426906,-0.08590661439267555
4170,VALE,2016,2017,0.9393,8641,9102,font_heading,font_heading,current_66,,VALE3,2018-02-27,2018-02-27,2018-05-29,0.05979294316501149,-0.12496008532308578,0.18475302848809727
4170,VALE,2017,2018,0.7651,9102,4664,font_heading,font_heading,current_66,,VALE3,2019-04-18,2019-04-18,2019-07-22,-0.0024724229745148874,0.09908450419789916,-0.10155692717241405
4170,VALE,2018,2019,0.3085,4664,16358,font_heading,regex_only,current_66,,VALE3,2020-03-02,2020-03-02,2020-06-02,0.15228645383951678,-0.14610983874386396,0.29839629258338074
4170,VALE,2019,2020,0.2846,16358,11224,regex_only,font_heading,current_66,,VALE3,2021-02-25,2021-02-25,2021-05-27,0.159648939504754,0.10787994551043711,0.05176899399431689
4170,VALE,2020,2021,0.9242,11224,12192,font_heading,font_heading,current_66,,VALE3,2022-02-24,2022-02-24,2022-05-30,-0.010166780900159877,-0.005016136032132024,-0.005150644868027854
4170,VALE,2021,2022,0.4372,12192,2673,font_heading,font_heading,current_66,,VALE3,2023-02-16,2023-02-16,2023-05-23,-0.2537279964121538,-0.00011760804340787967,-0.25361038836874594
4170,VALE,2022,2023,0.0607,2673,554,font_heading,font_heading,current_66,,VALE3,2024-02-22,2024-02-22,2024-05-23,-0.032282058911038414,-0.04231516221330456,0.010033103302266144
4170,VALE,2023,2024,1.0,554,554,font_heading,font_heading,current_66,,VALE3,2025-03-17,2025-03-17,2025-06-17,-0.09964973730297733,0.06119252218613558,-0.1608422594891129
4820,BRASKEM,2017,2018,0.315,6565,776,regex_only,regex_only,current_66,,BRKM5,2019-03-13,2019-03-13,2019-06-12,-0.37369672580940183,-0.005894612021287715,-0.3678021137881141
4820,BRASKEM,2018,2019,0.3257,776,5403,regex_only,regex_only,current_66,,BRKM5,2020-04-03,2020-04-03,2020-07-07,0.5236875800256082,0.40587389031194077,0.11781368971366746
4820,BRASKEM,2019,2020,0.2124,5403,1044,regex_only,regex_only,current_66,,BRKM5,2021-03-10,2021-03-10,2021-06-10,0.8517595764559327,0.15339792894777982,0.6983616475081529
4820,BRASKEM,2020,2021,0.2562,1044,11088,regex_only,regex_only,current_66,,BRKM5,2022-03-16,2022-03-16,2022-06-15,-0.11565369479667686,-0.07474960272221554,-0.04090409207446133
4820,BRASKEM,2021,2022,0.9572,11088,11707,regex_only,regex_only,current_66,,BRKM5,2023-03-23,2023-03-23,2023-06-26,0.721153846153846,0.20746828687766738,0.5136855592761786
4820,BRASKEM,2022,2024,0.3114,11707,1199,regex_only,font_heading,current_66,,BRKM5,2025-02-27,2025-02-27,2025-06-03,-0.11939034716342078,0.10214267811206112,-0.2215330252754819
5258,RAIA DROGASIL,2015,2016,0.9765,2768,2725,regex_only,regex_only,current_66,,RADL3,2017-02-16,2017-02-16,2017-05-23,0.02474864612692662,-0.07596870509792641,0.10071735122485304
5258,RAIA DROGASIL,2016,2017,0.308,2725,520,regex_only,regex_only,current_66,,RADL3,2018-02-22,2018-02-22,2018-05-24,-0.2317073175543486,-0.0757227917396548,-0.1559845258146938
5258,RAIA DROGASIL,2017,2018,0.9811,520,553,regex_only,regex_only,current_66,,RADL3,2019-02-26,2019-02-26,2019-05-30,0.14456842813774506,-0.0014870520734612258,0.1460554802112063
5258,RAIA DROGASIL,2018,2019,0.1739,553,8158,regex_only,font_heading,current_66,,RADL3,2020-02-19,2020-02-19,2020-05-25,-0.11044577514754395,-0.26480222730299974,0.1543564521554558
5258,RAIA DROGASIL,2019,2020,0.6223,8158,25292,font_heading,font_heading,current_66,,RADL3,2021-03-09,2021-03-09,2021-06-09,0.21347826126220149,0.16685598265778112,0.046622278604420364
5258,RAIA DROGASIL,2020,2021,0.6294,25292,10190,font_heading,font_heading,current_66,,RADL3,2022-02-22,2022-02-22,2022-05-26,-0.1418947367311474,-0.008875046726157243,-0.13301969000499014
