cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,ticker,event_date,window_start,window_end,stock_return,ibov_return,abnormal_return
2437,2015,2016,0.9939,71930,103883,AXIA3,2017-03-27,2017-03-27,2017-06-28,-0.29683157282748596,-0.03561619253724124,-0.2612153802902447
2437,2016,2017,0.9904,103883,123244,AXIA3,2018-03-27,2018-03-27,2018-06-27,-0.45917907082033005,-0.15749143429539292,-0.30168763652493713
2437,2017,2018,0.9843,123244,112891,AXIA3,2019-03-27,2019-03-27,2019-06-27,0.017910447541733987,0.09597653623260949,-0.0780660886908755
2437,2018,2019,0.9909,112891,118649,AXIA3,2020-03-27,2020-03-27,2020-06-30,0.47058823529411775,0.29453083654665124,0.1760573987474665
2437,2019,2020,0.9892,118649,162801,AXIA3,2021-03-19,2021-03-19,2021-06-21,0.4319686935580975,0.112228555144406,0.31974013841369153
2437,2020,2021,0.9842,162801,162611,AXIA3,2022-03-18,2022-03-18,2022-06-20,0.24500855675984012,-0.13405704629336468,0.3790656030532048
2437,2021,2022,0.8906,162611,218269,AXIA3,2023-03-13,2023-03-13,2023-06-14,0.23769206647852004,0.15464701008598025,0.08304505639253978
2437,2022,2023,0.9393,218269,147537,AXIA3,2024-05-14,2024-05-14,2024-08-12,0.030857740585774174,0.020234214568220388,0.010623526017553786
2437,2023,2024,0.9784,147537,142436,AXIA3,2025-03-16,2025-03-17,2025-06-17,0.024981449418748358,0.06119252218613558,-0.03621107276738722
2453,2015,2016,0.8806,60246,81749,CMIG4,2017-04-11,2017-04-11,2017-07-13,-0.10829959518088472,0.012718500169127234,-0.12101809535001196
2453,2016,2018,0.783,81749,134445,CMIG4,2019-04-01,2019-04-01,2019-07-02,0.05831533475155948,0.047376774319149106,0.010938560432410371
2453,2018,2019,0.9514,134445,132093,CMIG4,2020-04-01,2020-04-01,2020-07-03,0.320284697553618,0.3635247235675325,-0.04324002601391452
2453,2019,2020,0.844,132093,142926,CMIG4,2021-03-30,2021-03-30,2021-06-30,0.04436864641555238,0.08516917506057142,-0.04080052864501904
2453,2020,2021,0.9738,142926,145874,CMIG4,2022-03-29,2022-03-29,2022-06-29,-0.07739071036572642,-0.16991818549426285,0.09252747512853643
2453,2021,2022,0.9487,145874,157146,CMIG4,2023-03-25,2023-03-27,2023-06-28,0.14967860424104984,0.1706709118558385,-0.020992307614788652
2453,2022,2023,0.7848,157146,120528,CMIG4,2024-03-21,2024-03-21,2024-06-21,0.13291873962576362,-0.05319535010417176,0.18611408972993537
2453,2023,2024,0.9586,120528,113271,CMIG4,2025-03-21,2025-03-21,2025-06-24,-0.030555555555555558,0.0364179558740767,-0.06697351142963226
2577,2015,2018,0.7394,18869,22683,CESP6,2019-03-22,2019-03-22,2019-06-24,0.09308943089430888,0.08883700511494363,0.004252425779365243
2577,2018,2020,0.4252,22683,60694,CESP6,2021-03-29,2021-03-29,2021-06-29,-0.1402439024390244,0.10317840988013027,-0.24342231231915468
3980,2015,2016,0.8057,41360,54544,GGBR4,2017-02-22,2017-02-22,2017-05-29,-0.2517162467696642,-0.07039862486340853,-0.18131762190625567
