scenario,n_pairs,n_companies,test,stat,p_value,note
narrow_annual__all,528,88,signed_pearson,-0.03252282138833959,0.4558222655605167,
narrow_annual__all,528,88,signed_spearman,0.01219952248756294,0.7797309090218052,
narrow_annual__all,528,88,magnitude_pearson,-0.06823637888259573,0.11733403261922083,
narrow_annual__all,528,88,clustered_ols_no_controls,-0.23841326715658478,0.5025203649057779,
narrow_annual__all,518,88,clustered_ols_with_controls,-0.2591948364703421,0.4742826927467202,
narrow_annual__all,528,88,tercile_kruskal,0.2665456062592894,0.8752262950655205,low=+0.0934 mid=-0.1832 high=-0.0523
narrow_annual__all,528,88,delisting_mannwhitney_revision,0.1599220134150291,0.29624055481019473,dropped_mean=+0.0765 stayed_mean=-0.0834 n_dropped=119 n_stayed=409
narrow_annual__all,528,88,delisting_clustered_revision,0.15992201341502882,0.6547818063527058,
narrow_annual__reliable_only,344,78,signed_pearson,-0.019935171375632093,0.7125502659325249,
narrow_annual__reliable_only,344,78,signed_spearman,0.043817780352761876,0.41786554426237066,
narrow_annual__reliable_only,344,78,magnitude_pearson,-0.015922276574981672,0.7685607603833969,
narrow_annual__reliable_only,344,78,clustered_ols_no_controls,-0.140726324022168,0.6471174628085365,
narrow_annual__reliable_only,339,78,clustered_ols_with_controls,-0.22270749508692078,0.4832522695431297,
narrow_annual__reliable_only,344,78,tercile_kruskal,1.1189598614557141,0.571506209392328,low=-0.0415 mid=-0.0852 high=-0.1518
narrow_annual__reliable_only,344,78,delisting_mannwhitney_revision,0.05290351110135376,0.13788972226333382,dropped_mean=-0.0513 stayed_mean=-0.1042 n_dropped=74 n_stayed=270
narrow_annual__reliable_only,344,78,delisting_clustered_revision,0.05290351110135387,0.8715399750299162,
narrow_quarterly__all,1704,90,signed_pearson,0.005096941879029867,0.8334753970504504,
narrow_quarterly__all,1704,90,signed_spearman,0.01802478727391833,0.45713711841455174,
narrow_quarterly__all,1704,90,magnitude_pearson,0.03179228678617241,0.18960809593770075,
narrow_quarterly__all,1704,90,clustered_ols_no_controls,0.0548986419278403,0.8505907480594035,
narrow_quarterly__all,1678,90,clustered_ols_with_controls,-0.0649502942423506,0.8083490140623216,
narrow_quarterly__all,1704,90,tercile_kruskal,0.5572756573214309,0.7568139499079503,low=+0.2326 mid=+0.3802 high=+0.0835
