cd_cvm,name,quarter_prev,quarter_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr
002437,AXIA ENERGIA S.A.,2011Q1,2011Q2,0.9927,6180,6558,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2011Q2,2011Q3,0.9941,6558,6195,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2011Q3,2012Q1,0.5717,6195,9432,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2012Q1,2012Q2,0.9842,9432,9490,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2012Q2,2012Q3,0.1979,9490,61,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2012Q3,2013Q1,0.1245,61,9507,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2013Q1,2013Q2,0.9883,9507,9490,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2013Q2,2013Q3,0.7326,9490,15065,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2013Q3,2014Q1,0.5871,15065,7938,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2014Q1,2014Q2,0.9998,7938,7899,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2014Q2,2014Q3,0.9998,7899,7870,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2014Q3,2015Q1,0.9492,7870,7416,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2015Q1,2015Q2,0.9815,7416,7685,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2015Q2,2015Q3,0.9648,7685,8021,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2015Q3,2016Q1,0.9538,8021,7773,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q1,2016Q2,0.9926,7773,7935,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q2,2016Q3,0.9875,7935,8036,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2016Q3,2017Q1,0.9833,8036,8032,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q1,2017Q2,0.9576,8032,7646,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q2,2017Q3,0.9306,7646,7767,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2017Q3,2018Q1,0.8192,7767,10553,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q1,2018Q2,0.9272,10553,9288,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q2,2018Q3,0.951,9288,9358,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2018Q3,2019Q1,0.6435,9358,5749,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q1,2019Q2,0.7493,5749,7169,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q2,2019Q3,0.9463,7169,8496,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2019Q3,2020Q1,0.8191,8496,5545,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q1,2020Q2,0.9556,5545,6390,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q2,2020Q3,0.068,6390,430,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2020Q3,2021Q1,0.1064,430,8727,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q1,2021Q2,0.558,8727,6966,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q2,2021Q3,0.2119,6966,15470,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2021Q3,2022Q1,0.1847,15470,6189,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q1,2022Q2,0.6029,6189,14862,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q2,2022Q3,0.6047,14862,7483,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2022Q3,2023Q1,0.1846,7483,2506,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q1,2023Q2,0.258,2506,10782,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q2,2023Q3,0.9499,10782,12333,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2023Q3,2024Q1,0.0966,12333,1472,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2024Q1,2024Q2,0.4493,1472,1101,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2024Q2,2024Q3,0.2262,1101,82493,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2024Q3,2025Q1,0.5256,82493,9491,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2025Q1,2025Q2,0.982,9491,9708,font_heading,font_heading
002437,AXIA ENERGIA S.A.,2025Q2,2025Q3,0.1879,9708,10802,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2011Q1,2011Q2,0.8208,8912,12764,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2011Q2,2011Q3,0.8271,12764,12680,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2011Q3,2012Q1,0.7985,12680,11542,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2012Q1,2012Q2,0.941,11542,12682,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2012Q2,2012Q3,0.7843,12682,13876,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2012Q3,2013Q1,0.5309,13876,9611,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2013Q1,2013Q2,0.8704,9611,10705,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2013Q2,2013Q3,0.8872,10705,12133,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2013Q3,2014Q1,0.8678,12133,8519,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2014Q1,2014Q2,0.915,8519,11205,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2014Q2,2014Q3,0.9946,11205,11912,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2014Q3,2015Q1,0.8067,11912,9457,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q1,2015Q2,0.9744,9457,11239,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q2,2015Q3,0.7903,11239,2952,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2015Q3,2016Q1,0.2658,2952,15985,font_heading,regex_only
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q1,2016Q2,0.9922,15985,15720,regex_only,regex_only
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q2,2016Q3,0.2867,15720,3144,regex_only,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2016Q3,2017Q1,0.8064,3144,3564,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q1,2017Q2,0.8393,3564,12297,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q2,2017Q3,0.9757,12297,12762,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2017Q3,2018Q1,0.8655,12762,12681,font_heading,font_heading
002453,CIA ENERGETICA DE MINAS GERAIS - CEMIG,2018Q1,2018Q2,0.9712,12681,14449,font_heading,font_heading
