cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
2437,2010,2011,0.907,111304,179105
2437,2011,2012,0.9399,179105,140224
2437,2012,2013,0.9268,140224,127800
2437,2013,2014,0.9512,127800,199819
2437,2014,2015,0.9459,199819,369414
2437,2015,2018,0.913,369414,312934
2437,2018,2019,0.8544,312934,692624
2437,2019,2020,0.9427,692624,640997
2437,2020,2021,0.9443,640997,608744
2437,2021,2022,0.8341,608744,161659
2437,2022,2023,0.6353,161659,400841
2437,2023,2024,0.6281,400841,98617
2453,2010,2011,0.9521,111635,92973
2453,2011,2012,0.9537,92973,109858
2453,2012,2013,0.9679,109858,117625
2453,2013,2014,0.9691,117625,103845
2453,2014,2015,0.9496,103845,112760
2453,2015,2016,0.9529,112760,120701
2453,2016,2017,0.9439,120701,103430
2453,2017,2018,0.5558,103430,6226
2453,2018,2019,0.5617,6226,129256
2453,2019,2020,0.9557,129256,133202
2453,2020,2021,0.9544,133202,127131
2453,2021,2022,0.952,127131,145632
2453,2022,2023,0.9582,145632,172598
2453,2023,2024,0.9701,172598,232098
2461,2010,2014,0.7987,44084,77956
2461,2014,2017,0.8874,77956,80538
2461,2017,2018,0.9275,80538,105628
2461,2018,2019,0.9484,105628,109554
2461,2019,2020,0.9374,109554,134004
2461,2020,2021,0.9692,134004,171332
2461,2021,2022,0.9685,171332,174530
2461,2022,2023,0.9604,174530,167518
2461,2023,2024,0.9527,167518,165254
2461,2024,2025,0.9582,165254,207113
2577,2010,2011,0.8561,39453,32997
2577,2011,2012,0.9423,32997,40139
2577,2012,2013,0.949,40139,44267
2577,2013,2014,0.9578,44267,47434
2577,2014,2015,0.9219,47434,49106
2577,2015,2016,0.9476,49106,55268
2577,2016,2017,0.9445,55268,50127
2577,2017,2018,0.8845,50127,46664
2577,2018,2023,0.3992,46664,9404
3980,2010,2012,0.7583,7965,8428
3980,2012,2013,0.9573,8428,6932
3980,2013,2018,0.1125,6932,28622
3980,2018,2019,0.8079,28622,39264
3980,2019,2022,0.7193,39264,38250
3980,2022,2023,0.8523,38250,45753
3980,2023,2024,0.8942,45753,42643
4030,2012,2013,0.9505,22818,28027
4030,2013,2014,0.9522,28027,27743
4030,2014,2015,0.7963,27743,34094
4030,2015,2016,0.8276,34094,31064
4030,2016,2017,0.9206,31064,33223
4030,2017,2018,0.9408,33223,37556
4030,2018,2019,0.9443,37556,45318
4030,2019,2020,0.9056,45318,108318
4030,2020,2021,0.9353,108318,136925
4030,2021,2022,0.9549,136925,159185
4030,2022,2023,0.9725,159185,146853
4030,2023,2024,0.938,146853,76538
4057,2010,2011,0.8684,25396,28375
4057,2011,2012,0.8732,28375,34232
4057,2012,2014,0.8369,34232,29743
4170,2010,2011,0.7703,132365,37402
4170,2011,2012,0.714,37402,28903
4170,2012,2013,0.706,28903,20232
4170,2013,2014,0.76,20232,15744
4170,2014,2015,0.5691,15744,33615
4170,2015,2016,0.8089,33615,26615
4170,2016,2017,0.7965,26615,42195
4170,2017,2018,0.4077,42195,67137
4170,2018,2019,0.6489,67137,90315
4170,2019,2020,0.8178,90315,122425
4170,2020,2021,0.8124,122425,71028
4170,2021,2022,0.7953,71028,90523
4170,2022,2023,0.6776,90523,141526
4170,2023,2024,0.7651,141526,120130
4650,2010,2011,0.8262,19759,23891
4820,2011,2012,0.9357,88372,75143
4820,2012,2013,0.9388,75143,66587
4820,2013,2014,0.9317,66587,66208
4820,2014,2015,0.9218,66208,64386
4820,2015,2016,0.8964,64386,103178
4820,2016,2017,0.9237,103178,95352
4820,2017,2018,0.9358,95352,93770
4820,2018,2019,0.907,93770,123768
4820,2019,2020,0.8903,123768,133746
4820,2020,2021,0.9241,133746,153279
4820,2021,2022,0.9117,153279,135512
4820,2022,2023,0.9274,135512,109681
4820,2023,2024,0.9453,109681,105391
5410,2010,2011,0.4937,22201,24509
5410,2011,2012,0.5452,24509,26992
5410,2012,2013,0.6594,26992,24827
5410,2013,2014,0.5403,24827,27390
5410,2014,2015,0.6448,27390,25191
5410,2015,2016,0.5487,25191,23517
5410,2016,2017,0.4756,23517,17168
5410,2017,2018,0.6191,17168,19623
5410,2018,2019,0.5654,19623,22402
5410,2019,2020,0.6518,22402,24910
5410,2020,2021,0.7023,24910,23057
5410,2021,2022,0.7439,23057,27543
5410,2022,2023,0.7502,27543,27253
5410,2023,2024,0.7958,27253,28251
6173,2010,2011,0.826,21248,34837
6173,2011,2012,0.7354,34837,58966
6173,2012,2013,0.8938,58966,49269
6173,2013,2014,0.8006,49269,42543
6173,2014,2015,0.7702,42543,33574
6173,2015,2016,0.325,33574,1058
6173,2016,2017,0.3154,1058,29511
6173,2017,2018,0.7528,29511,36301
6173,2018,2019,0.8512,36301,35128
6173,2019,2020,0.8867,35128,41504
6173,2020,2021,0.884,41504,47726
6173,2021,2022,0.9245,47726,51017
6173,2022,2023,0.9089,51017,54657
6173,2023,2024,0.9065,54657,43299
6173,2024,2025,0.8772,43299,41254
6343,2024,2025,0.724,29813,39292
6505,2017,2018,0.3029,6628,20543
6505,2018,2019,0.7365,20543,23443
6505,2019,2020,0.5134,23443,33975
6505,2020,2021,0.5873,33975,24588
6505,2021,2022,0.6547,24588,27241
6505,2022,2023,0.3747,27241,23246
6505,2023,2024,0.562,23246,17871
8087,2010,2011,0.8372,80980,61710
8087,2011,2012,0.9194,61710,68351
8087,2012,2013,0.9133,68351,53394
8087,2013,2014,0.8946,53394,54625
8087,2014,2015,0.9062,54625,66797
8087,2015,2016,0.9134,66797,70625
8087,2016,2018,0.8729,70625,87315
8087,2018,2019,0.7601,87315,66274
8087,2019,2020,0.8976,66274,75754
8133,2010,2011,0.8487,61953,55525
8133,2011,2012,0.876,55525,59191
8133,2012,2014,0.8872,59191,51097
8133,2014,2015,0.8832,51097,35487
8133,2015,2017,0.8411,35487,58968
8133,2017,2018,0.8975,58968,60721
8133,2018,2019,0.9033,60721,75046
8133,2019,2020,0.8607,75046,89551
8133,2020,2021,0.8442,89551,111097
8133,2021,2022,0.8994,111097,103582
8133,2022,2023,0.9066,103582,84379
8133,2023,2024,0.8737,84379,59942
8451,2010,2011,0.9626,45755,42296
8451,2011,2012,0.9625,42296,48035
8451,2012,2013,0.9409,48035,49310
8451,2013,2014,0.9593,49310,47474
8451,2014,2015,0.9329,47474,50109
8451,2015,2016,0.9296,50109,48317
8451,2016,2017,0.9518,48317,53475
8451,2017,2018,0.9503,53475,48709
8451,2018,2019,0.9333,48709,46061
8451,2019,2020,0.9207,46061,50263
8451,2020,2021,0.9432,50263,52876
8451,2021,2022,0.9523,52876,54630
8451,2022,2023,0.9609,54630,56863
8451,2023,2024,0.9643,56863,55170
8575,2012,2014,0.4479,32172,32916
8575,2014,2015,0.8035,32916,34759
8575,2015,2016,0.8409,34759,36957
8575,2016,2017,0.7706,36957,38474
8575,2017,2018,0.8196,38474,38226
8575,2018,2019,0.823,38226,47974
8575,2019,2020,0.7705,47974,73828
8575,2020,2022,0.6066,73828,50877
8575,2022,2023,0.6615,50877,65523
8575,2023,2024,0.9048,65523,72622
8575,2024,2025,0.8733,72622,66269
8656,2010,2014,0.8787,46200,44891
8656,2014,2015,0.8674,44891,37607
8656,2015,2016,0.9049,37607,28931
8656,2016,2017,0.8838,28931,32480
8656,2017,2018,0.8253,32480,25725
8656,2018,2019,0.8443,25725,22298
8656,2019,2022,0.7231,22298,32725
8656,2022,2023,0.8653,32725,38155
8656,2023,2024,0.8567,38155,41977
8672,2010,2011,0.8801,11190,13400
8672,2011,2012,0.8838,13400,17160
8672,2012,2013,0.8729,17160,14609
