família,fonte,amostra,n_simples,p_simples,n_agrup,p_agrup_sc,n_ctrl,p_agrup_cc,n_fe,p_ef_fixos
H1_retorno,narrow_annual,todos os pares,704,0.6451234059288505,704,0.7154238194591105,671,0.7791330699790426,671.0,0.7759672865831979
H1_retorno,narrow_annual,apenas font_heading,450,0.15542825801934224,450,0.2743804567916355,432,0.3208072687992627,432.0,0.20303059926627065
H1_retorno,narrow_quarterly,todos os pares,2245,0.8761531083674681,2245,0.9002879968817363,2138,0.8965977908624446,778.0,0.9999668365291887
H1_retorno,narrow_quarterly,apenas font_heading,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7818950182604442,502.0,0.3480789113079583
H1_delisting,narrow_annual,todos os pares,816,0.630569197772645,816,0.7605038882261204,683,0.7449696020510103,,
H1_delisting,narrow_annual,apenas font_heading,527,0.45111379508560945,527,0.6486303354559362,441,0.8600474932254394,,
H2_revisão,narrow_annual,todos os pares,528,0.4558222655605167,528,0.502520364905778,518,0.4516610216448793,,
H2_revisão,narrow_annual,apenas font_heading,344,0.7125502659325249,344,0.647117462808536,339,0.48010637300412784,,
H2_revisão,narrow_quarterly,todos os pares,1704,0.8334753970504504,1704,0.8505907480594034,1678,0.8019198940877552,,
H2_revisão,narrow_quarterly,apenas font_heading,999,0.23332103309095234,999,0.23997829245307212,982,0.3830060326529663,,
