cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
2437,2015,2016,0.9939,71930,103883
2437,2016,2017,0.9904,103883,123244
2437,2017,2018,0.9843,123244,112891
2437,2018,2019,0.9909,112891,118649
2437,2019,2020,0.9892,118649,162801
2437,2020,2021,0.9842,162801,162611
2437,2021,2022,0.8906,162611,218269
2437,2022,2023,0.9393,218269,147537
2437,2023,2024,0.9784,147537,142436
2453,2015,2016,0.8806,60246,81749
2453,2016,2018,0.783,81749,134445
2453,2018,2019,0.9514,134445,132093
2453,2019,2020,0.844,132093,142926
2453,2020,2021,0.9738,142926,145874
2453,2021,2022,0.9487,145874,157146
2453,2022,2023,0.7848,157146,120528
2453,2023,2024,0.9586,120528,113271
2577,2015,2018,0.7394,18869,22683
2577,2018,2020,0.4252,22683,60694
2577,2020,2021,0.8811,60694,80184
2577,2021,2022,0.9281,80184,68209
2577,2022,2024,0.3983,68209,95607
3980,2015,2016,0.8057,41360,54544
3980,2016,2017,0.8781,54544,56154
3980,2017,2018,0.8925,56154,51213
3980,2018,2019,0.939,51213,65268
3980,2019,2020,0.9307,65268,65169
3980,2020,2021,0.9775,65169,63409
3980,2021,2022,0.9876,63409,67255
3980,2022,2023,0.7918,67255,82888
3980,2023,2024,0.7848,82888,80546
4030,2015,2017,0.9067,41090,57170
4030,2017,2018,0.9599,57170,60416
4030,2018,2019,0.9228,60416,62076
4030,2019,2020,0.9538,62076,69386
4030,2020,2021,0.9528,69386,71123
4030,2021,2022,0.9593,71123,73145
4030,2022,2023,0.8697,73145,105224
4030,2023,2024,0.937,105224,101364
4170,2015,2016,0.8203,54810,51716
4170,2016,2017,0.8118,51716,50787
4170,2017,2018,0.9313,50787,51145
4170,2018,2019,0.8484,51145,64312
4170,2019,2020,0.9448,64312,64688
4170,2020,2021,0.9005,64688,63760
4170,2021,2022,0.928,63760,72239
4170,2022,2023,0.9626,72239,70797
4170,2023,2024,0.9559,70797,72518
4820,2015,2016,0.8857,47452,63413
4820,2016,2017,0.7854,63413,105748
4820,2017,2018,0.9731,105748,108476
4820,2018,2019,0.9541,108476,148464
4820,2019,2020,0.924,148464,215043
4820,2020,2021,0.8855,215043,247899
4820,2021,2022,0.9888,247899,261962
4820,2022,2023,0.9556,261962,289735
4820,2023,2024,0.986,289735,292197
5258,2015,2016,0.9527,27064,32130
5258,2016,2017,0.9736,32130,35081
5258,2017,2018,0.9713,35081,29178
5258,2018,2019,0.9738,29178,31344
5258,2019,2020,0.9521,31344,29397
5258,2020,2021,0.9171,29397,40690
5258,2021,2022,0.9431,40690,38248
5258,2022,2023,0.8292,38248,31236
5258,2023,2024,0.7342,31236,33728
5410,2015,2016,0.9873,22445,23297
5410,2016,2017,0.9993,23297,23205
5410,2017,2018,0.9977,23205,23102
5410,2018,2019,0.895,23102,33058
5410,2019,2020,0.9877,33058,34822
5410,2020,2021,0.9927,34822,34912
5410,2021,2022,0.9984,34912,34910
