cd_cvm,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr
2437,2010,2011,0.5939,35559,34462
2437,2011,2012,0.9899,34462,44055
2437,2012,2013,0.9901,44055,54676
2437,2013,2014,0.998,54676,57602
2437,2014,2015,0.9911,57602,71930
2437,2015,2016,0.9933,71930,103883
2437,2016,2017,0.9902,103883,123244
2437,2017,2018,0.9835,123244,112891
2437,2018,2019,0.9905,112891,118649
2437,2019,2020,0.9886,118649,162801
2437,2020,2021,0.9835,162801,162611
2437,2021,2022,0.8882,162611,218269
2437,2022,2023,0.9379,218269,147537
2437,2023,2024,0.977,147537,142436
2437,2024,2025,0.9569,142436,118320
2453,2010,2011,0.6596,56270,36563
2453,2011,2012,0.7518,36563,39334
2453,2012,2013,0.7087,39334,51730
2453,2013,2014,0.5812,51730,44627
2453,2014,2015,0.8478,44627,60246
2453,2015,2016,0.8816,60246,81749
2453,2016,2018,0.7858,81749,134445
2453,2018,2019,0.9515,134445,132093
2453,2019,2020,0.8449,132093,142926
2453,2020,2021,0.975,142926,145874
2453,2021,2022,0.9506,145874,157146
2453,2022,2023,0.7842,157146,120528
2453,2023,2024,0.958,120528,113271
2453,2024,2025,0.9732,113271,116785
2461,2010,2011,1.0,4547,4547
2461,2011,2012,0.9897,4547,4546
2461,2012,2013,0.9933,4546,4580
2461,2013,2014,0.8175,4580,11851
2461,2014,2015,0.7507,11851,20525
2461,2015,2016,0.8091,20525,17301
2461,2016,2017,0.9541,17301,22439
2461,2017,2018,0.9771,22439,24236
2461,2018,2020,0.946,24236,29910
2461,2020,2021,0.948,29910,36124
2461,2021,2022,0.978,36124,38569
2461,2022,2023,0.9606,38569,43934
2461,2023,2024,0.9716,43934,47957
2461,2024,2025,0.9783,47957,48187
2577,2010,2011,0.9353,17049,16008
2577,2011,2012,0.9656,16008,16067
2577,2012,2013,0.8017,16067,16572
2577,2013,2014,0.9873,16572,17147
2577,2014,2015,0.9453,17147,18869
2577,2015,2018,0.7364,18869,22683
2577,2018,2020,0.4358,22683,60694
2577,2020,2021,0.8877,60694,80184
2577,2021,2022,0.9299,80184,68209
2577,2022,2024,0.4101,68209,95607
2577,2024,2025,0.9359,95607,159599
3980,2010,2011,0.9536,34449,37665
3980,2011,2012,0.9663,37665,37546
3980,2012,2013,0.9617,37546,35099
3980,2013,2014,0.918,35099,42133
3980,2014,2015,0.9488,42133,41360
3980,2015,2016,0.7972,41360,54544
3980,2016,2017,0.8811,54544,56154
3980,2017,2018,0.8953,56154,51213
3980,2018,2019,0.9358,51213,65268
3980,2019,2020,0.9287,65268,65169
3980,2020,2021,0.976,65169,63409
3980,2021,2022,0.9869,63409,67255
3980,2022,2023,0.8021,67255,82888
3980,2023,2024,0.7962,82888,80546
3980,2024,2025,0.9399,80546,83142
4030,2010,2011,0.9277,34211,36004
4030,2011,2012,0.6654,36004,31878
4030,2012,2013,0.9576,31878,32745
4030,2013,2014,0.9306,32745,38041
4030,2014,2015,0.9645,38041,41090
4030,2015,2017,0.9038,41090,57170
4030,2017,2018,0.9608,57170,60416
4030,2018,2019,0.9224,60416,62076
4030,2019,2020,0.954,62076,69386
4030,2020,2021,0.953,69386,71123
4030,2021,2022,0.9604,71123,73145
4030,2022,2023,0.8715,73145,105224
4030,2023,2024,0.9372,105224,101364
4030,2024,2025,0.8817,101364,131504
4057,2010,2011,0.8396,6192,7735
4057,2011,2012,0.9119,7735,9182
4057,2012,2013,0.7919,9182,9971
4057,2013,2014,0.8176,9971,13198
4057,2014,2015,0.9564,13198,13002
4170,2010,2011,0.6472,27781,43017
4170,2011,2012,0.812,43017,52522
4170,2012,2013,0.7956,52522,53752
4170,2013,2014,0.9341,53752,54878
4170,2014,2015,0.9724,54878,54810
4170,2015,2016,0.8155,54810,51716
4170,2016,2017,0.8232,51716,50787
4170,2017,2018,0.9389,50787,51145
4170,2018,2019,0.8497,51145,64312
4170,2019,2020,0.946,64312,64688
4170,2020,2021,0.9015,64688,63760
4170,2021,2022,0.9342,63760,72239
4170,2022,2023,0.9628,72239,70797
4170,2023,2024,0.9577,70797,72518
4170,2024,2025,0.9763,72518,72448
4650,2010,2011,0.4623,1870,8023
4820,2010,2011,0.7177,45585,43312
4820,2011,2012,0.8493,43312,42175
4820,2012,2013,0.9027,42175,45959
4820,2013,2014,1.0,45959,45959
4820,2014,2015,0.9541,45959,47452
4820,2015,2016,0.8824,47452,63413
4820,2016,2017,0.7851,63413,105748
4820,2017,2018,0.9732,105748,108476
4820,2018,2019,0.9525,108476,148464
4820,2019,2020,0.9247,148464,215043
4820,2020,2021,0.8838,215043,247899
4820,2021,2022,0.9886,247899,261962
4820,2022,2023,0.9561,261962,289735
4820,2023,2024,0.9852,289735,292197
4820,2024,2025,0.9785,292197,277148
5258,2010,2011,0.8317,24651,29430
5258,2011,2012,0.9975,29430,29423
5258,2012,2013,0.9696,29423,28215
5258,2013,2014,0.983,28215,27204
5258,2014,2015,0.9978,27204,27064
5258,2015,2016,0.9505,27064,32130
5258,2016,2017,0.9694,32130,35081
5258,2017,2018,0.9709,35081,29178
5258,2018,2019,0.9555,29178,31344
5258,2019,2020,0.9336,31344,29397
5258,2020,2021,0.9159,29397,40690
5258,2021,2022,0.945,40690,38248
5258,2022,2023,0.8301,38248,31236
5258,2023,2024,0.7348,31236,33728
5258,2024,2025,0.8839,33728,34871
5410,2010,2011,0.997,22031,22018
5410,2011,2012,0.9684,22018,22443
5410,2012,2013,1.0,22443,22442
5410,2013,2014,1.0,22442,22445
5410,2014,2015,1.0,22445,22445
5410,2015,2016,0.9866,22445,23297
5410,2016,2017,0.9991,23297,23205
5410,2017,2018,0.9981,23205,23102
5410,2018,2019,0.9,23102,33058
5410,2019,2020,0.9872,33058,34822
5410,2020,2021,0.9934,34822,34912
5410,2021,2022,0.9989,34912,34910
5410,2022,2023,0.9613,34910,41194
5410,2023,2024,0.9644,41194,38787
5410,2024,2025,0.9929,38787,39975
6173,2010,2011,0.3641,3442,27985
6173,2011,2012,0.7924,27985,35617
6173,2012,2013,0.8392,35617,39303
6173,2013,2014,0.9449,39303,35705
6173,2014,2015,0.986,35705,34336
6173,2015,2016,0.9792,34336,38770
6173,2016,2017,0.994,38770,38064
6173,2017,2018,0.9889,38064,37566
6173,2018,2019,0.5841,37566,35888
6173,2019,2020,0.995,35888,35630
6173,2020,2021,0.9621,35630,38085
6173,2021,2022,0.9582,38085,33463
6173,2022,2023,0.9057,33463,34727
6173,2023,2024,0.6268,34727,35526
6173,2024,2025,0.9973,35526,35414
6343,2010,2011,0.0361,10247,9187
6343,2011,2012,0.7749,9187,8885
6343,2012,2013,0.0061,8885,39539
6343,2013,2014,0.9215,39539,41027
6343,2014,2015,0.9143,41027,41726
6343,2015,2016,0.8134,41726,42263
6343,2016,2017,0.9631,42263,42854
6343,2017,2018,0.9735,42854,43876
6343,2018,2019,0.9235,43876,44692
6343,2019,2020,0.9173,44692,51080
6343,2020,2021,0.6886,51080,66114
6343,2021,2022,0.7154,66114,56835
6343,2022,2023,0.8738,56835,59709
6343,2023,2024,0.9835,59709,60137
6343,2024,2025,0.943,60137,65609
6505,2010,2011,0.7843,19980,13525
6505,2011,2012,0.6545,13525,19244
6505,2012,2013,0.2161,19244,40957
6505,2013,2014,0.9673,40957,39630
6505,2014,2015,0.9567,39630,43129
6505,2015,2016,0.984,43129,42807
6505,2016,2017,0.8959,42807,48550
6505,2017,2018,0.8277,48550,45369
6505,2018,2019,0.9635,45369,46862
6505,2019,2020,0.6997,46862,119514
6505,2020,2021,0.9635,119514,133877
6505,2021,2022,0.991,133877,135972
6505,2022,2023,0.7049,135972,172564
6505,2023,2024,0.7796,172564,170055
6505,2024,2025,0.8189,170055,188935
7870,2010,2011,0.9411,14962,15249
7870,2011,2012,0.9612,15249,14945
7870,2012,2013,0.9312,14945,17566
7870,2013,2014,0.9152,17566,16052
7870,2014,2015,0.8655,16052,13872
7870,2015,2016,0.8836,13872,16034
7870,2016,2017,0.8318,16034,13272
7870,2017,2018,0.9176,13272,13567
7870,2018,2019,0.9397,13567,15675
7870,2019,2020,0.9796,15675,14823
7870,2020,2021,0.9436,14823,15402
7870,2021,2022,0.9837,15402,15623
7870,2022,2023,0.4236,15623,12614
7870,2023,2024,0.4008,12614,8756
7870,2024,2025,1.0,8756,8755
8087,2010,2011,0.9982,9878,9897
8087,2011,2012,1.0,9897,9894
8087,2012,2013,0.9969,9894,9891
8087,2013,2014,1.0,9891,9888
8087,2014,2015,1.0,9888,9869
8087,2015,2017,0.1976,9869,66408
8087,2017,2018,0.5603,66408,75608
8087,2018,2019,0.9957,75608,77888
8087,2019,2020,0.9377,77888,128372
8087,2020,2021,0.6916,128372,81733
8133,2010,2011,0.9233,37065,34111
8133,2011,2012,0.9959,34111,33745
8133,2012,2013,0.9946,33745,32748
8133,2013,2014,0.9899,32748,32905
8133,2014,2015,0.9974,32905,32740
8133,2015,2016,0.9789,32740,36085
8133,2016,2017,0.9995,36085,36084
8133,2017,2018,0.961,36084,38986
8133,2018,2019,0.9911,38986,40252
8133,2019,2020,0.9884,40252,43941
8133,2020,2021,0.7773,43941,106147
8133,2021,2022,0.9516,106147,119042
8133,2022,2023,0.9897,119042,125206
8133,2023,2025,0.9715,125206,106039
8451,2010,2011,0.7784,9419,7359
8451,2011,2012,1.0,7359,7359
8451,2012,2013,1.0,7359,7359
8451,2013,2014,0.9988,7359,7399
8451,2014,2015,1.0,7399,7399
8451,2015,2016,0.482,7399,11521
8451,2016,2017,0.9927,11521,11812
8451,2017,2018,1.0,11812,11812
8451,2018,2019,0.7361,11812,15004
8451,2019,2021,0.9108,15004,17116
8451,2021,2022,0.9876,17116,17742
8451,2022,2023,0.9584,17742,19811
8451,2023,2024,0.9945,19811,19901
8451,2024,2025,0.9971,19901,19932
8575,2010,2011,0.9724,23697,24939
8575,2011,2012,0.9634,24939,23500
8575,2012,2013,0.9965,23500,23458
8575,2013,2014,0.9934,23458,23445
8575,2014,2015,1.0,23445,23445
8575,2015,2016,0.7873,23445,19587
8575,2016,2017,0.9052,19587,19711
8575,2017,2018,0.9766,19711,21017
8575,2018,2019,0.9896,21017,21324
8575,2019,2020,0.7959,21324,30482
8575,2020,2021,0.9883,30482,31618
8575,2021,2022,0.9874,31618,30546
8575,2022,2023,0.4455,30546,132190
8575,2023,2024,0.7178,132190,132847
8575,2024,2025,0.9923,132847,131324
8656,2010,2011,0.7359,34470,37626
8656,2011,2012,0.9697,37626,37252
8656,2012,2013,0.9886,37252,34845
8656,2013,2014,0.9791,34845,41860
8656,2014,2015,0.9599,41860,69164
8656,2015,2016,0.9548,69164,57675
8656,2016,2017,0.9943,57675,57459
8656,2017,2018,0.9382,57459,59409
8656,2018,2019,0.9397,59409,68295
8656,2019,2020,0.9136,68295,66033
8656,2020,2021,0.9532,66033,63586
8656,2021,2022,0.9864,63586,66907
8656,2022,2023,0.8166,66907,82938
8656,2023,2024,0.8073,82938,80546
8656,2024,2025,0.9399,80546,83142
8672,2010,2011,1.0,52084,52084
8672,2011,2012,0.5964,52084,44483
8672,2012,2013,0.9696,44483,52453
8672,2013,2014,0.7731,52453,131026
8672,2014,2015,1.0,131026,131026
8672,2015,2016,0.5157,131026,74515
8672,2016,2017,0.6199,74515,33731
8672,2017,2018,1.0,33731,33731
8672,2018,2019,0.999,33731,33334
8672,2019,2021,0.9995,33334,34510
8672,2021,2022,0.3122,34510,121276
8672,2022,2023,0.9785,121276,111423
8672,2023,2024,0.9978,111423,110796
8672,2024,2025,0.9553,110796,103249
9393,2010,2011,0.9469,39590,38869
9393,2011,2012,0.957,38869,35141
9393,2012,2013,0.9836,35141,33956
9393,2013,2014,0.8601,33956,54841
9393,2014,2015,0.9985,54841,56675
9393,2015,2016,0.9474,56675,61084
9393,2016,2017,0.9431,61084,84074
9393,2017,2018,0.9705,84074,71905
9393,2018,2019,0.9974,71905,72644
9393,2019,2020,0.9968,72644,71993
9393,2020,2021,0.9969,71993,71458
9393,2021,2022,0.9926,71458,72628
9393,2022,2023,0.9765,72628,60269
9393,2023,2024,0.9982,60269,60324
9393,2024,2025,0.9956,60324,58913
9512,2010,2011,0.8814,45518,30584
9512,2011,2012,0.8865,30584,28664
9512,2012,2013,0.9216,28664,32335
9512,2013,2014,0.8914,32335,30886
9512,2014,2015,0.5568,30886,49761
9512,2015,2016,0.9398,49761,57798
9512,2016,2017,0.732,57798,70571
9512,2017,2018,0.7821,70571,72113
9512,2018,2019,0.5005,72113,57682
9512,2019,2020,0.9783,57682,58804
9512,2020,2022,0.8263,58804,69825
9512,2022,2023,0.7541,69825,100919
9512,2023,2024,0.9576,100919,100556
9512,2024,2025,0.9759,100556,103700
9989,2010,2011,0.992,5487,5770
9989,2011,2012,1.0,5770,5770
9989,2012,2013,1.0,5770,5770
9989,2013,2016,0.3011,5770,4769
9989,2016,2017,1.0,4769,4769
9989,2017,2018,0.7386,4769,5092
9989,2018,2019,1.0,5092,5111
9989,2019,2020,1.0,5111,5111
9989,2020,2021,1.0,5111,5111
9989,2021,2023,0.2241,5111,13288
9989,2023,2024,0.9551,13288,13699
9989,2024,2025,0.583,13699,11323
10456,2010,2011,0.9768,11694,9556
10456,2011,2012,0.9633,9556,8433
10456,2012,2013,0.9845,8433,8537
10456,2013,2014,0.9992,8537,8498
10456,2014,2015,0.9834,8498,8973
10456,2015,2016,0.9501,8973,10752
10456,2016,2017,0.8555,10752,9549
10456,2017,2018,0.9172,9549,20163
10456,2018,2019,0.9516,20163,26095
10456,2019,2020,0.9369,26095,38376
10456,2020,2021,0.9611,38376,42132
10456,2021,2023,0.3847,42132,142815
10456,2023,2024,0.9879,142815,141430
10456,2024,2025,0.9896,141430,147909
11312,2010,2011,0.8275,56192,50246
11312,2011,2012,0.9217,50246,45781
11312,2012,2013,0.9769,45781,50056
11312,2013,2014,0.2149,50056,147030
11312,2014,2015,0.5017,147030,83293
11312,2015,2016,0.9739,83293,83095
11312,2016,2017,0.928,83095,82790
11312,2017,2018,0.9857,82790,89868
11312,2018,2019,0.6127,89868,96509
11312,2019,2020,0.8389,96509,95225
11312,2020,2021,0.9433,95225,99442
11312,2021,2022,0.91,99442,74109
11312,2022,2023,0.7947,74109,75915
11312,2023,2024,0.8805,75915,74641
11320,2010,2011,0.885,67664,50241
11932,2010,2011,0.9929,4912,6525
11932,2011,2012,0.2659,6525,30286
11932,2012,2013,0.5536,30286,35418
11932,2013,2014,0.8641,35418,37640
11932,2014,2015,0.9733,37640,37733
11932,2015,2016,0.6872,37733,43580
11932,2016,2017,0.9471,43580,39018
11932,2017,2018,0.9706,39018,38563
11932,2018,2019,0.9983,38563,38534
11932,2019,2020,0.8919,38534,43419
11932,2020,2021,0.6777,43419,71913
11932,2021,2022,0.9852,71913,69516
11932,2022,2023,0.9261,69516,75700
11932,2023,2024,0.9919,75700,75491
11932,2024,2025,0.9682,75491,72512
12653,2010,2011,0.9564,17224,16986
12653,2011,2012,0.9916,16986,16871
12653,2012,2013,1.0,16871,16871
12653,2013,2014,0.9808,16871,16509
12653,2014,2015,0.9892,16509,17400
12653,2015,2016,0.9969,17400,17555
12653,2016,2017,0.8164,17555,18073
12653,2017,2018,0.9207,18073,17446
12653,2018,2019,0.9928,17446,17715
12653,2019,2020,0.696,17715,42447
12653,2020,2021,0.8042,42447,53053
12653,2021,2022,0.9343,53053,64131
12653,2022,2023,0.9157,64131,65709
12653,2023,2024,0.7673,65709,78385
12793,2010,2011,0.9253,48291,43710
12793,2011,2012,0.8251,43710,51001
12793,2012,2013,0.9193,51001,56211
12793,2013,2014,0.9659,56211,59602
12793,2014,2015,0.933,59602,58416
12793,2015,2016,0.9347,58416,67391
12793,2016,2017,0.9795,67391,68130
12793,2017,2018,0.9614,68130,74068
13471,2010,2011,0.9917,7850,8193
13471,2011,2012,0.9886,8193,8665
13471,2012,2013,0.9873,8665,8294
13471,2013,2014,0.998,8294,8195
13471,2014,2015,0.9789,8195,7455
13471,2015,2016,0.9548,7455,8523
13471,2016,2017,0.9965,8523,8508
13471,2017,2018,1.0,8508,8508
13471,2018,2019,0.9954,8508,8520
13471,2019,2020,0.9365,8520,10747
13471,2020,2021,0.9929,10747,10593
13471,2021,2022,1.0,10593,10593
13471,2022,2023,0.8372,10593,11891
13471,2023,2024,0.994,11891,11890
13471,2024,2025,0.9431,11890,12174
13986,2010,2011,0.9248,29990,31633
13986,2011,2012,0.8135,31633,39215
13986,2012,2013,0.9822,39215,37075
13986,2013,2014,0.9856,37075,34671
13986,2014,2015,0.8794,34671,33573
13986,2015,2016,0.7934,33573,45801
13986,2016,2017,0.9649,45801,47601
13986,2017,2018,0.8118,47601,54520
13986,2018,2019,0.8607,54520,71610
13986,2019,2020,0.7152,71610,120165
13986,2020,2021,0.9955,120165,121898
13986,2021,2022,0.9195,121898,131336
13986,2022,2023,0.9587,131336,121369
13986,2023,2024,0.896,121369,116872
13986,2024,2025,0.9746,116872,123598
14028,2010,2011,0.3046,3223,27131
14109,2010,2011,0.9647,3432,3206
14109,2011,2012,1.0,3206,3206
14109,2012,2013,1.0,3206,3205
14109,2013,2014,1.0,3205,3205
14109,2014,2015,1.0,3205,3205
14109,2015,2016,0.0973,3205,22956
14109,2016,2017,0.988,22956,22680
14109,2017,2018,0.9901,22680,22705
14109,2018,2019,1.0,22705,22705
14109,2019,2020,0.9739,22705,24158
14109,2020,2021,0.9596,24158,23171
14109,2021,2022,0.4787,23171,121273
14109,2022,2023,0.8728,121273,91739
14109,2023,2024,0.5505,91739,47025
14109,2024,2025,0.6569,47025,18944
14176,2010,2011,0.9188,48120,47213
14176,2011,2012,0.8401,47213,54473
14176,2012,2013,0.942,54473,64696
14176,2013,2014,0.9536,64696,68840
14176,2014,2015,0.9757,68840,69893
14176,2015,2016,0.9542,69893,68346
14176,2016,2017,0.885,68346,61787
14176,2017,2018,0.4831,61787,95773
14176,2018,2019,0.9284,95773,75913
14176,2019,2020,0.9791,75913,69874
14176,2020,2021,0.8574,69874,100514
14176,2021,2022,0.9325,100514,99068
14176,2022,2023,0.9606,99068,89517
14176,2023,2024,0.985,89517,92088
14176,2024,2025,0.9744,92088,93182
14311,2010,2011,0.9624,30287,27169
14311,2011,2012,0.9708,27169,31137
14311,2012,2013,0.9612,31137,33241
14311,2013,2014,0.9625,33241,34690
14311,2014,2015,0.868,34690,37988
14311,2015,2016,0.9357,37988,40177
14311,2016,2017,0.9668,40177,44784
14311,2017,2018,0.9159,44784,65697
14311,2018,2019,0.9481,65697,78700
14311,2019,2020,0.9431,78700,93064
14311,2020,2021,0.9032,93064,66086
14311,2021,2022,0.9536,66086,57673
14311,2022,2023,0.8083,57673,104279
14311,2023,2024,0.8459,104279,74335
14311,2024,2025,0.9352,74335,67086
14320,2010,2011,0.9492,24045,24177
14320,2011,2012,0.9381,24177,24815
14320,2012,2013,0.7362,24815,11481
14320,2013,2014,0.6586,11481,20769
14320,2014,2015,0.918,20769,25508
14320,2015,2016,0.9491,25508,25663
14320,2016,2017,0.9395,25663,26477
14320,2017,2018,0.9627,26477,25406
14320,2018,2020,0.663,25406,60376
14320,2020,2021,0.8442,60376,66554
14320,2021,2022,0.9626,66554,71454
14320,2022,2023,0.9639,71454,68472
14320,2023,2024,0.9448,68472,67201
14320,2024,2025,0.9537,67201,74960
14443,2010,2011,0.9899,43876,48198
14443,2011,2012,0.9683,48198,53662
14443,2012,2013,0.949,53662,49609
14443,2013,2014,0.504,49609,47582
14443,2014,2015,0.9033,47582,52013
14443,2015,2016,0.9379,52013,54477
14443,2016,2017,0.9617,54477,54976
14443,2017,2019,0.8801,54976,79418
14443,2019,2020,0.8123,79418,91104
14443,2020,2021,0.8886,91104,100364
14443,2021,2022,0.9415,100364,102642
14443,2022,2023,0.8642,102642,97234
14443,2023,2024,0.6275,97234,168573
14443,2024,2025,0.8905,168573,135744
14460,2010,2011,0.9197,39569,38799
14460,2011,2012,0.9752,38799,39358
14460,2012,2013,0.826,39358,35335
14460,2013,2014,1.0,35335,35335
14460,2014,2015,1.0,35335,35334
14460,2015,2016,0.7927,35334,30674
14460,2016,2018,0.9078,30674,28965
14460,2018,2019,0.9935,28965,28797
14460,2019,2021,0.986,28797,29456
14460,2021,2022,0.986,29456,28462
14460,2022,2023,0.7122,28462,32276
14460,2023,2024,1.0,32276,32276
14460,2024,2025,0.8676,32276,32855
14621,2010,2011,0.9789,43738,42248
14621,2011,2012,0.9499,42248,43443
14621,2012,2013,0.9398,43443,39362
14621,2013,2014,0.8385,39362,37295
14761,2010,2011,0.9817,21584,23358
14761,2011,2012,0.9853,23358,24041
14761,2012,2013,0.9963,24041,24222
14761,2013,2014,0.9969,24222,24236
14761,2014,2015,0.9983,24236,24257
14761,2015,2017,0.9508,24257,27200
14761,2017,2018,0.9955,27200,27641
14761,2018,2019,0.992,27641,26906
14761,2019,2020,0.9027,26906,31135
14761,2020,2021,0.9592,31135,32525
14826,2010,2011,0.8383,20411,20807
14826,2011,2012,0.7877,20807,28978
14826,2012,2013,0.5077,28978,22265
