cd_cvm,name,group,year_prev,year_curr,cosine_similarity_cmn,diagnostic_prev,diagnostic_curr
002437,AXIA ENERGIA,stayed,2015,2016,0.7635,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2016,2017,0.9186,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2017,2018,0.1002,regex_only,regex_only
002437,AXIA ENERGIA,stayed,2018,2019,0.0,regex_only,font_heading
002437,AXIA ENERGIA,stayed,2019,2020,0.3178,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2020,2021,0.93,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2021,2022,0.3674,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2022,2023,0.4354,font_heading,font_heading
002437,AXIA ENERGIA,stayed,2023,2024,0.6928,font_heading,font_heading
002453,CEMIG,stayed,2015,2016,0.9619,font_heading,font_heading
002453,CEMIG,stayed,2016,2017,0.9125,font_heading,font_heading
002453,CEMIG,stayed,2017,2018,0.9153,font_heading,font_heading
002453,CEMIG,stayed,2018,2019,0.9411,font_heading,font_heading
002453,CEMIG,stayed,2019,2020,0.9615,font_heading,font_heading
002453,CEMIG,stayed,2020,2021,0.9331,font_heading,font_heading
002453,CEMIG,stayed,2021,2022,0.8854,font_heading,font_heading
002453,CEMIG,stayed,2022,2023,0.927,font_heading,font_heading
002453,CEMIG,stayed,2023,2024,0.9137,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2015,2016,0.1104,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2016,2017,0.4042,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2017,2018,1.0,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2018,2019,0.1141,font_heading,regex_only
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2019,2020,0.2441,regex_only,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2020,2022,0.4721,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2022,2023,0.343,font_heading,font_heading
002577,CESP - Companhia Energética de São Paulo,dropped_or_delisted,2023,2024,0.2542,font_heading,regex_only
003980,GERDAU,stayed,2015,2016,0.9204,font_heading,font_heading
003980,GERDAU,stayed,2016,2017,0.9115,font_heading,font_heading
003980,GERDAU,stayed,2017,2018,0.9431,font_heading,font_heading
003980,GERDAU,stayed,2018,2019,0.2775,font_heading,regex_only
003980,GERDAU,stayed,2019,2020,0.8772,regex_only,regex_only
