cd_cvm,name,year_prev,year_curr,cosine_similarity,chars_prev,chars_curr,diagnostic_prev,diagnostic_curr,cosine_similarity_expanding
2437,AXIA ENERGIA,2010,2011,0.1493,10078,11348,font_heading,regex_only,0.184
2437,AXIA ENERGIA,2011,2012,0.1629,11348,9749,regex_only,font_heading,0.1837
2437,AXIA ENERGIA,2012,2013,0.1756,9749,14546,font_heading,regex_only,0.1961
2437,AXIA ENERGIA,2013,2014,0.2324,14546,10926,regex_only,font_heading,0.249
2437,AXIA ENERGIA,2014,2015,0.2146,10926,9586,font_heading,regex_only,0.2232
2437,AXIA ENERGIA,2015,2016,0.6309,9586,14143,regex_only,regex_only,0.6389
2437,AXIA ENERGIA,2016,2017,0.8519,14143,10090,regex_only,regex_only,0.8544
2437,AXIA ENERGIA,2017,2018,0.1058,10090,7550,regex_only,font_heading,0.1058
2437,AXIA ENERGIA,2018,2019,0.4125,7550,5516,font_heading,font_heading,0.4061
2437,AXIA ENERGIA,2019,2020,0.4136,5516,17774,font_heading,font_heading,0.4112
2437,AXIA ENERGIA,2020,2021,0.9376,17774,19339,font_heading,font_heading,0.9373
2437,AXIA ENERGIA,2021,2022,0.174,19339,4828,font_heading,font_heading,0.18
2437,AXIA ENERGIA,2022,2023,0.1993,4828,16334,font_heading,font_heading,0.1967
2437,AXIA ENERGIA,2023,2024,0.68,16334,7881,font_heading,font_heading,0.6802
2453,CEMIG,2010,2011,0.734,14034,18058,font_heading,font_heading,0.7308
2453,CEMIG,2011,2012,0.8483,18058,22412,font_heading,font_heading,0.8643
2453,CEMIG,2012,2013,0.641,22412,11131,font_heading,font_heading,0.6468
2453,CEMIG,2013,2014,0.8284,11131,17321,font_heading,font_heading,0.8314
2453,CEMIG,2014,2015,0.8649,17321,15917,font_heading,font_heading,0.8914
2453,CEMIG,2015,2016,0.9466,15917,15122,font_heading,font_heading,0.9501
2453,CEMIG,2016,2017,0.8671,15122,1941,font_heading,font_heading,0.8693
2453,CEMIG,2017,2018,0.617,1941,16893,font_heading,font_heading,0.6151
2453,CEMIG,2018,2019,0.9247,16893,15903,font_heading,font_heading,0.924
2453,CEMIG,2019,2020,0.9438,15903,15944,font_heading,font_heading,0.9433
2453,CEMIG,2020,2021,0.8918,15944,15904,font_heading,font_heading,0.8912
2453,CEMIG,2021,2022,0.8015,15904,16412,font_heading,font_heading,0.8011
2453,CEMIG,2022,2023,0.4993,16412,2587,font_heading,font_heading,0.499
2453,CEMIG,2023,2024,0.4148,2587,2392,font_heading,font_heading,0.4147
2461,Centrais Eletricas de Santa Catarina SA,2011,2012,0.5529,4455,861,font_heading,font_heading,0.548
2461,Centrais Eletricas de Santa Catarina SA,2012,2013,0.0623,861,438,font_heading,font_heading,0.0615
2461,Centrais Eletricas de Santa Catarina SA,2013,2014,1.0,438,438,font_heading,font_heading,1.0
2461,Centrais Eletricas de Santa Catarina SA,2014,2015,1.0,438,438,font_heading,font_heading,1.0
2461,Centrais Eletricas de Santa Catarina SA,2015,2016,0.084,438,707,font_heading,font_heading,0.0916
2461,Centrais Eletricas de Santa Catarina SA,2016,2017,0.5421,707,1499,font_heading,font_heading,0.5556
2461,Centrais Eletricas de Santa Catarina SA,2017,2018,0.0474,1499,1301,font_heading,font_heading,0.0366
2461,Centrais Eletricas de Santa Catarina SA,2018,2019,1.0,1301,1301,font_heading,font_heading,1.0
2461,Centrais Eletricas de Santa Catarina SA,2019,2020,0.0852,1301,16564,font_heading,font_heading,0.0762
2461,Centrais Eletricas de Santa Catarina SA,2020,2021,0.9025,16564,17899,font_heading,font_heading,0.9034
2461,Centrais Eletricas de Santa Catarina SA,2021,2022,0.5925,17899,6314,font_heading,font_heading,0.5892
2461,Centrais Eletricas de Santa Catarina SA,2022,2023,0.6304,6314,20237,font_heading,font_heading,0.6254
2461,Centrais Eletricas de Santa Catarina SA,2023,2024,0.8247,20237,15420,font_heading,font_heading,0.8253
2461,Centrais Eletricas de Santa Catarina SA,2024,2025,0.9122,15420,18800,font_heading,font_heading,0.9122
2577,CESP - Companhia Energética de São Paulo,2010,2011,0.9288,86509,90356,font_heading,font_heading,0.9356
2577,CESP - Companhia Energética de São Paulo,2011,2012,0.9799,90356,95178,font_heading,font_heading,0.9817
2577,CESP - Companhia Energética de São Paulo,2012,2013,0.9437,95178,111842,font_heading,font_heading,0.9545
2577,CESP - Companhia Energética de São Paulo,2013,2014,0.0729,111842,687,font_heading,font_heading,0.0741
2577,CESP - Companhia Energética de São Paulo,2014,2015,0.9264,687,686,font_heading,font_heading,0.9187
2577,CESP - Companhia Energética de São Paulo,2015,2016,0.0151,686,1699,font_heading,font_heading,0.0156
2577,CESP - Companhia Energética de São Paulo,2016,2017,0.2033,1699,154,font_heading,font_heading,0.2103
2577,CESP - Companhia Energética de São Paulo,2017,2018,1.0,154,154,font_heading,font_heading,1.0
2577,CESP - Companhia Energética de São Paulo,2018,2019,0.0495,154,3326,font_heading,font_heading,0.0494
2577,CESP - Companhia Energética de São Paulo,2019,2020,0.4816,3326,3042,font_heading,font_heading,0.4836
2577,CESP - Companhia Energética de São Paulo,2020,2022,0.4133,3042,451,font_heading,font_heading,0.4164
2577,CESP - Companhia Energética de São Paulo,2022,2023,0.2171,451,5068,font_heading,font_heading,0.2174
2577,CESP - Companhia Energética de São Paulo,2023,2024,0.0719,5068,2585,font_heading,regex_only,0.0715
3980,GERDAU,2010,2011,0.497,5663,13622,font_heading,font_heading,0.502
3980,GERDAU,2011,2012,0.9743,13622,13586,font_heading,font_heading,0.9747
3980,GERDAU,2012,2013,0.8412,13586,11407,font_heading,font_heading,0.8404
3980,GERDAU,2013,2014,0.9241,11407,10165,font_heading,font_heading,0.9239
3980,GERDAU,2014,2015,0.6984,10165,6325,font_heading,font_heading,0.7049
3980,GERDAU,2015,2016,0.9168,6325,5022,font_heading,font_heading,0.9173
3980,GERDAU,2016,2017,0.8256,5022,5266,font_heading,font_heading,0.8266
3980,GERDAU,2017,2018,0.8947,5266,5334,font_heading,font_heading,0.8931
3980,GERDAU,2018,2019,0.7726,5334,5500,font_heading,font_heading,0.7728
3980,GERDAU,2019,2020,0.0815,5500,3256,font_heading,regex_only,0.0823
3980,GERDAU,2020,2021,0.0679,3256,3332,regex_only,font_heading,0.0683
