CD_CVM,ANO,ID_DOC,found,n_bytes,error,DENOM_CIA
2437,2015,56651,True,363712,,CENTRAIS ELET BRAS S.A. - ELETROBRAS
2453,2015,56807,True,249584,,CIA ENERGETICA DE MINAS GERAIS - CEMIG
2577,2015,55377,True,76735,,CESP - CIA ENERGETICA DE SAO PAULO
3980,2015,56861,True,77241,,GERDAU S.A.
4030,2015,56776,True,243535,,CIA SIDERURGICA NACIONAL
4170,2015,56619,True,141566,,VALE S.A.
4820,2015,56777,True,190894,,BRASKEM S.A.
5258,2015,54851,True,246932,,RAIA DROGASIL S.A.
5410,2015,55832,True,124205,,WEG S.A.
6505,2015,56986,True,307847,,GRUPO CASAS BAHIA S.A.
8087,2015,55902,True,166742,,LOJAS AMERICANAS S.A.
8133,2015,55380,True,130474,,LOJAS RENNER S.A.
8451,2015,56658,True,19266,,MARCOPOLO S.A.
8656,2015,55691,True,126844,,METALURGICA GERDAU S.A.
8672,2015,56523,True,276820,,IGUATEMI S.A.
9512,2015,55824,True,131812,,PETROLEO BRASILEIRO S.A. PETROBRAS
10456,2015,56032,True,88207,,ALPARGATAS S.A.
11312,2015,56802,True,217293,,OI S.A. - EM RECUPERAÇÃO JUDICIAL
12653,2015,55580,True,48694,,KLABIN S.A.
12793,2015,52797,True,331634,,FIBRIA CELULOSE S.A.
13986,2015,55625,True,252081,,SUZANO S.A.
14176,2015,56794,True,180939,,ELETROPAULO METROP. ELET. SAO PAULO S.A.
14311,2015,56830,True,70453,,CIA PARANAENSE DE ENERGIA - COPEL
14320,2015,55865,True,217694,,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
14443,2015,56731,True,171540,,CIA SANEAMENTO BASICO EST SAO PAULO
14460,2015,55606,True,227896,,CYRELA BRAZIL REALTY S.A.EMPREEND E PART
14761,2015,55547,True,233212,,CIA HERING
14826,2015,56631,True,176183,,CIA BRASILEIRA DE DISTRIBUICAO
15253,2015,55471,True,354625,,ENERGISA S.A.
16101,2015,55562,True,180174,,GAFISA S.A.
16292,2015,55139,True,493309,,BRF S.A.
16306,2015,53432,True,249068,,ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL
17329,2015,56611,True,195869,,ENGIE BRASIL ENERGIA S.A.
17450,2015,56770,True,179266,,RUMO S.A.
17671,2015,55190,True,66591,,TELEFÔNICA BRASIL S.A
17892,2015,55698,True,58407,,SANTOS BRASIL PARTICIPACOES S.A.
17914,2015,56143,True,185339,,MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.
17973,2015,56728,True,269514,,COGNA EDUCAÇÃO S.A.
18376,2015,56621,True,131665,,ISA ENERGIA BRASIL
18465,2015,55247,True,248044,,ULTRAPAR PARTICIPACOES S.A.
18627,2015,55764,True,81490,,CIA SANEAMENTO DO PARANA - SANEPAR
18660,2015,55812,True,142510,,CPFL ENERGIA S.A.
18724,2015,56934,True,29298,,BRADESPAR S.A.
18821,2015,55297,True,182952,,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.
19445,2015,55726,True,209624,,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
19453,2015,56595,True,302866,,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
19550,2015,55323,True,95671,,NATURA COSMÉTICOS S.A.
19569,2015,55394,True,174403,,GOL LINHAS AEREAS INTELIGENTES S.A.
19623,2015,56793,True,221860,,DIAGNOSTICOS DA AMERICA S.A.
19739,2015,55272,True,192260,,LOCALIZA RENT A CAR S.A.
19763,2015,55160,True,170658,,EDP - ENERGIAS DO BRASIL S.A.
19836,2015,55531,True,281874,,COSAN S.A.
19879,2015,55619,True,313081,,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL
19909,2015,55881,True,87972,,BR MALLS PARTICIPACOES S.A.
19925,2015,56874,True,391935,,BR PROPERTIES S.A.
19992,2015,55435,True,408663,,TOTVS S.A.
20010,2015,56889,True,232879,,EQUATORIAL S.A.
