CD_CVM,ANO,ID_DOC,found,n_bytes,error,DENOM_CIA
2437,2010,8288,True,111426,,CENTRAIS ELET BRAS S.A. - ELETROBRAS
2453,2010,8283,True,567128,,CIA ENERGETICA DE MINAS GERAIS - CEMIG
2461,2010,4370,True,11336,,CENTRAIS ELET DE SANTA CATARINA S.A.
2577,2010,7437,True,293477,,CESP - CIA ENERGETICA DE SAO PAULO
3980,2010,4644,True,59658,,GERDAU S.A.
4030,2010,7504,True,122816,,CIA SIDERURGICA NACIONAL
4057,2010,6757,True,27674,,SOUZA CRUZ SA
4170,2010,8573,True,50387,,VALE S.A.
4650,2010,8471,True,5887,,CONFAB INDUSTRIAL SA
4820,2010,7525,True,128650,,BRASKEM S.A.
5258,2010,8446,True,86213,,RAIA DROGASIL S.A.
5410,2010,8497,True,47628,,WEG S.A.
6173,2010,7337,True,73977,,TAURUS ARMAS S.A.
6343,2010,7517,True,83955,,TUPY S.A.
6505,2010,7018,True,68429,,GRUPO CASAS BAHIA S.A.
7870,2010,6729,True,441039,,KEPLER WEBER S.A.
8087,2010,7710,True,67913,,LOJAS AMERICANAS S.A.
8133,2010,6632,True,69484,,LOJAS RENNER S.A.
8451,2010,6138,True,39709,,MARCOPOLO S.A.
8575,2010,6360,True,105207,,MAHLE METAL LEVE S.A.
8656,2010,8229,True,67001,,METALURGICA GERDAU S.A.
8672,2010,2804,True,214176,,IGUATEMI S.A.
9393,2010,5041,True,208289,,PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL
9512,2010,7246,True,107049,,PETROLEO BRASILEIRO S.A. PETROBRAS
9989,2010,4275,True,65562,,REFINARIA DE PETROLEOS MANGUINHOS S.A.
10456,2010,5470,True,25777,,ALPARGATAS S.A.
11312,2010,4755,True,152660,,OI S.A. - EM RECUPERAÇÃO JUDICIAL
11320,2010,6618,True,196665,,TELEMAR NORTE LESTE SA
11932,2010,8203,True,9803,,IOCHPE MAXION S.A.
12653,2010,7020,True,134090,,KLABIN S.A.
12793,2010,6412,True,110997,,FIBRIA CELULOSE S.A.
13471,2010,6419,True,234852,,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.
13986,2010,8428,True,170532,,SUZANO S.A.
14028,2010,7442,True,9812,,VALE FERTILIZANTES S.A.
14109,2010,7787,True,123676,,RANDONCORP S.A.
14176,2010,7462,True,72636,,ELETROPAULO METROP. ELET. SAO PAULO S.A.
14311,2010,6292,True,114040,,CIA PARANAENSE DE ENERGIA - COPEL
14320,2010,7172,True,141992,,USINAS SID DE MINAS GERAIS S.A.-USIMINAS
14443,2010,8357,True,338069,,CIA SANEAMENTO BASICO EST SAO PAULO
14460,2010,6964,True,82965,,CYRELA BRAZIL REALTY S.A.EMPREEND E PART
14621,2010,4757,True,176946,,NET SERVIÇOS DE COMUNICAÇÃO S.A.
14761,2010,6667,True,101560,,CIA HERING
14826,2010,8282,True,65572,,CIA BRASILEIRA DE DISTRIBUICAO
15253,2010,8050,True,80643,,ENERGISA S.A.
15539,2010,7300,True,92009,,NEOENERGIA S.A.
15636,2010,7223,True,183947,,CIA GAS DE SAO PAULO - COMGAS
16101,2010,8240,True,452162,,GAFISA S.A.
16292,2010,5189,True,514720,,BRF S.A.
16306,2010,7293,True,100319,,ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL
17329,2010,7280,True,165098,,ENGIE BRASIL ENERGIA S.A.
17450,2010,4786,True,140060,,RUMO S.A.
17639,2010,7951,True,74963,,TIM PARTICIPACOES S.A.
17671,2010,5504,True,38959,,TELEFÔNICA BRASIL S.A
17710,2010,8349,True,187859,,VIVO PARTICIPAÇÕES SA
17892,2010,7092,True,46541,,SANTOS BRASIL PARTICIPACOES S.A.
17914,2010,7178,True,144876,,MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.
17973,2010,7407,True,196605,,COGNA EDUCAÇÃO S.A.
